,level_upper,Название технического места
2693,11-ZIF-Z123-GMO2-USR2-TA19,Колонна
2694,11-ZIF-Z123-ORP2-UIKR-CN02,Конвейер ленточный №4-2б
2695,05-ZIF-2ORP-2OGR-TA08,Бак для воды I.740.2
2696,05-ZIF-5UPR-PU05,Насос химический I.215.2
2697,11-ZIF-Z123-GMO1-KIPA,Оборудование КИПиА. Резерв
2698,11-ZIF-Z123-STKM-UKM1-KO06-KIPA,Оборудование КИПиА
2699,05-ZIF-8MLB-SPEC,Оборудование специального назначения
2700,11-ZIF-Z123-ORP3-UFLT-PU25-KIPA,Оборудование КИПиА
2701,11-ZIF-Z123-GMO3-USRB-TA31-KIPA,Оборудование КИПиА
2702,11-ZIF-Z123-GMO3-USRB-TA10,Чан контактный №196-1
2703,14-OZH-BL07-VENT,Вентиляторы
2704,05-ZIF-3GMU-KIPA,Оборудование КИПиА
2705,03-ZIF-0DSK-CN03-SP01,Секция передвижения
2706,03-ZIF-0GMO-USRB-SI01,Грохот вибрационный поз.116
2707,11-ZIF-Z123-GMO3-UKST-KO07-KIPA,Оборудование КИПиА
2708,11-ZIF-Z123-GMO3-USRB-TA01,Чан контактный №170
2709,11-ZIF-ZIF4-ORP4-UFLT-PU30,Насос центробежный №69-5
2710,71-TRA-AVTR-AVT3-TR53,Тягач седельный №М033МК
2711,11-ZIF-Z123-ORP3-VE08,Вентилятор центробежный №В-24
2712,73-BOD-TRUC-TR0U,ТЯГАЧ СЕДЕЛЬНЫЙ №Е907ВС
2713,11-ZIF-Z123-UPVC-UCEN-PU02-KIPA,Оборудование КИПиА
2714,05-ZIF-4GTS-KSGU-CS01-VENT,Вентиляторы
2715,71-TRA-AVTR-AVT3-TR1Z,Полуприцеп сортиментовоз №МС9363
2716,11-ZIF-Z123-ORP1-UIKR-PU26-KIPA,Оборудование КИПиА
2717,05-ZIF-3GMU-1OSC-3US1-PU08,Насос дренаж. I.137.02
2718,11-ZIF-Z123-GMO1-USRB-TA09,Колонна сорбции №103/1-4
2719,11-ZIF-Z123-GMO2-USR2-TA55-KIPA,Оборудование КИПиА
2720,12-TRC-TR19,Микроавтобус №С830КТ24
2721,11-ZIF-ZIF4-GMO4-UDKU-LIFT,Оборудование грузоподъемное
2722,03-ENS-0USP-DD01,Дизельная электростанция
2723,05-SGE-CSPS-UPST-PW82-DISD,Устройства распределительные
2724,11-RUD-CGTR-SEBT-CD28,Самосвал карьерный №729
2725,03-ZIF-DT01-KIPA,Оборудование КИПиА
2726,05-SGE-CSPS-UPST-PW83-DD02,Яч.РУ-10 кВ ТИ-43/42 Береговая насосная
2727,71-PPE-SKLA-REGB-SHLD,"Шкафы, щиты, панели"
2728,11-ZIF-Z123-UPVC-UCEN-DY06,Декантер №511-6
2729,71-TRA-AVTR-AVT1-TR91,Автомобиль бортовой №Х093НС124
2730,71-TRA-AVTR-AVT3-TR5A,Тягач седельный №Р298КН
2731,05-SGE-CSPS-UPST-PW68-BB01-DISD,Устройства распределительные
2732,11-ZIF-ZIF4-GMO4-UDKU-TA05-KIPA,Оборудование КИПиА
2733,11-ZIF-ZIF4-ORP4-UIZK-HC02,Гидроциклон №35-2
2734,05-RSU-MACH,Оборудование станочное
2735,11-RUD-CGTR-SEBT-CC25,Самосвал карьерный №426
2736,11-ZIF-Z123-OBOK-BIO3-PUMP,Насосы
2737,05-SGE-CTVS-UTVS-UEXP-ST2P-STOB-EAPP,Аппараты электрические
2738,11-ZIF-Z123-OBOK-OFZF-TA11-KIPA,Оборудование КИПиА
2739,11-MGO-CRGT-ENSL-SPEC,Оборудование специального назначения
2740,11-ZIF-ZIF4-ORP4-KKDR-ML01-KIPA,Оборудование КИПиА поз.8
2741,05-ZIF-3GMU-2ODR-TA11,Емк. свежего угля с МПУ I.151.29
2742,73-BOD-UNIZ,ПБ Бодайбо. Участок Нижний
2743,11-ZIF-Z123-ORP3-UFLT-TA04,Чан контактный №41-2
2744,11-ZIF-ZIF4-GMO4-USOC-TANK,Оборудование емкостное
2745,11-ZIF-ZIF4-GMO4-UFLT-SPEC,Оборудование специального назначения
2746,11-ZIF-ZIF4-GMO4-UDKU-TA12,Емкость пригот. раствора кислоты
2747,05-SGE-CTVS-UKTL-U928-HEEX,Теплообменники
2748,05-SGE-CTVS-UTVS-UEXP-ST1P-WL01-ASUT,АСУТП
2749,05-ZIF-3GMU-1OSC-3US1-PUMP,Насосы
2750,11-ZIF-Z123-OBOK-BIO2-TA18,Реактор биоокисления №167-3-1
2751,11-ZIF-ZIF4-ORP4-KMDR-TANK,Оборудование емкостное
2752,05-ZIF-2ORP-2OGR-MQ21-KIPA,Оборудование КИПиА
2753,11-ZIF-Z123-ORP2-UGR1,Участок гравитации ОРПиО-2
2754,73-BOD-TRUC-TR2B,Автобус специальный №В477КВ49
2755,71-TRA-AVTR-AVT3-TR9T,Полуприцеп сортиментовоз №НВ365824
2756,11-ZIF-Z123-GMO1-UREG-TA07-EAPP,Аппараты электрические
2757,03-ZIF-ORPO-UIZR-PI07-KIPA,Оборудование КИПиА
2758,11-ZIF-Z123-OBOK-BIO2-PWCO,Подстанции трансформаторные
2759,05-SGE-CSPS-UPST-PW20-DISD,Устройства распределительные
2760,05-SGE-CTVS-UTVS-UEXP-PI04,Трубопр.магистр.скв.№128-скв.№129
2761,05-SGE-CSPS-UPST-PW40-DISD,Устройства распределительные
2762,11-ZIF-Z123-GMO2-USR2-TA38-KIPA,Оборудование КИПиА
2763,11-ZIF-ZIF4-UPRG-HC03-KIPA,Оборудование КИПиА
2764,71-TRA-AVTR-AVT2-TR85,Самосвал №М152УР24
2765,11-ZIF-Z123-ORP2-UFLT-MQ13-KIPA,Оборудование КИПиА
2766,11-RUD-CGTR-SEBT-CD90,Самосвал карьерный №791
2767,05-ZIF-3GMU-1OSC-3US1-TA06,Реактор сорбц. циан. I.650.10
2768,11-MGO-CRGT-RGBB-CNST,Сооружения
2769,71-NAZ-OPRN-SELC,Силовая электроника
2770,71-TRA-AVTR-AVT3-TR1T,Полуприцеп №МС3045
2771,11-ZIF-Z123-OBOK-BIO1-TA29-KIPA,Оборудование КИПиА
2772,11-RUD-CGTR-SEBT-CD57,Самосвал карьерный №758
2773,05-ZIF-2ORP-2OGR-MQ22-KIPA,Оборудование КИПиА
2774,05-ZIF-2ORP-1OIZ-CN06-KIPA,Оборудование КИПиА
2775,11-MGO-CRGT-RGTT-TR02,Мастерская ПАРМ №2
2776,05-SGE-CTVS-UTVS-UEXP-ST2P-VPU1-KOMP,Оборудование компрессорное
2777,71-TRA-AVTR-AVT2-TR0R,Прицеп-самосвальный №МР5428
2778,05-SGE-CSPS-UPST-NZIF-SOP2-POWR,Источники питания
2779,71-TRA-AVTR-AVT3-TR6P,Автоцистерна №С580МН
2780,11-RSC-KOMP,Оборудование компрессорное
2781,11-ZIF-Z123-ORP2-UIKR-PU01,Насос центробежный №13-1
2782,73-BOD-TRUC-TR96,Автомобиль грузовой №О863ХУ
2783,11-ZIF-Z123-STKM-UKM2-KMP2-RP07-BUSB,Токопроводы и шинопроводы
2784,11-ZIF-ZIF4-HVHZ-PU02-KIPA,Оборудование КИПиА
2785,11-CSP-UDES-KOMP,Оборудование компрессорное
2786,11-ZIF-ZIF4-ORP4-UFLT-SPEC,Оборудование специального назначения
2787,11-ICC-LAMS-SPEC,Оборудование специального назначения
2788,11-CSP-UPSB,Участок ПС к.Благодатное
2789,11-ZIF-ZIF4-GMO4-USOC-SIZE,Оборуд-е для классификации по крупности
2790,11-ENC,Энергоцех
2791,11-ZIF-Z123-OBOK-BIO2-TA17-KIPA,Оборудование КИПиА
2792,71-TRA-AVTR-AVT3-KIPA,Оборудование КИПиА
2793,11-ZIF-Z123-ORP2-UFLT-MQ08,Флотомашина №24-7
2794,11-ZIF-Z123-GMO3-URUG-PU07-KIPA,Оборудование КИПиА
2795,71-TRA-AVTR-AVTP-KIPA,Оборудование КИПиА
2796,11-ZIF-Z123-OBOK-BIO1-TA42,Чан приемный №5
2797,05-ZIF-2ORP-1OIZ-HC01-GT01,Ванна бат. I.006
2798,73-BOD-TRUC-TR0P,ТЯГАЧ СЕДЕЛЬНЫЙ №А676ВТ
2799,05-KAR-UBVR-HP06,Станок буровой №2
2800,05-SGE-CTVS-UTVS-UEXP-ST1P,Станция первого подъема
2801,05-ZIF-1RDK-HT01,Кондиционер пром. П1
2802,05-SGE-CSPS-UPST-PW39,КТП-38 ОМ-8/4 ОПУ
2803,11-ZIF-ZIF4-GMO4-PU54,Насос №141-2
2804,05-ZIF-BL04-HEEX,Теплообменники
2805,11-ENC-UOS1-BOS1-TANK,Оборудование емкостное
2806,11-ZIF-ZIF4-ORP4-UFLT-MQ08-VA03,Клапан подачи ксантогената поз.63-2-1
2807,71-LES-TRUC-TR1T,Автомобиль легковой №У571ХН24
2808,11-ZIF-Z123-GMO3-UFLT-FI06-VALV,Запорно-регулирующая арматура поз.223-3
2809,11-ZIF-Z123-ORP1-UIKR-PI05,Трубопровод обор воды
2810,03-UTS-PGPM,Парк ГПМ уч. ТВСиК
2811,11-RUD-CGTR-SEBT-BE04,Самосвал карьерный №24
2812,11-ZIF-Z123-OBOK-BIO3-BLDN,Здания производственные и бытовые
2813,11-ZIF-Z123-GMO2-USR1-TA07,Чан контактный №144-4
2814,11-ZIF-ZIF4-GMO4-UOPL-OVEN,Печи
2815,05-ZIF-2ORP-2OGR-FILT,Фильтры
2816,11-ZIF-Z123-GMO3-USRB-TA20,Чан контактный №196-9
2817,11-OZH-OZVP-BL10-HEAT,Оборудование отопления и кондиционир-я
2818,11-RUD-CGTR-SEBT-VL05,Самосвал №66
2819,11-ZIF-Z123-UPVC-UCEN-DY03-ASUT,АСУТП
2820,71-NAZ-TRUC-TR06,Автоцистерна №Е367АК24
2821,11-ZIF-Z123-HVHZ-UNFU-PU01,Насос центробежный №86а-1
2822,11-ZIF-Z123-UPPR-CN03-KIPA,Оборудование КИПиА
2823,71-TRA-AVTR-AVT2-TR3U,Самосвал №С386ЕВ124
2824,11-ZIF-ZIF4-GMO4-UINC-PU10-VALV,Запорно-регулирующая арматура
2825,11-ZIF-Z123-GMO2-UREG-TA39,Сборник №232
2826,11-ZIF-Z123-ORP3-UFLT-MQ17,Флотомашина №42-8
2827,71-TRA-AVTR-AVT1-TR73,Автомобиль специальный №С593МН
2828,11-ZIF-Z123-UPPR-KPRK-ML03,Мельница шаровая №А-25
2829,03-ZIF-0GMO-UDSR-KIPA,Оборудование КИПиА
2830,72-OMK-TRUC-TR1S,Тягач седельный №Т525УТ24
2831,73-VER-TRUC-TR84,Автобус вахтовый №С089СВ 124
2832,71-TRA-AVTR-AVTP-TR29,Автомобиль СМП №В680УК24
2833,11-ZIF-Z123-OBOK-BIO2-PI04,Пульподелитель 6-ти струйный №166-1
2834,11-RUD-CGTR-SEBT-C77F,Самосвалы CAT 777F
2835,71-TRA-AVTR-AVT2-TR32,Самосвал №В648РВ49
2836,11-ZIF-Z123-OBOK-BIO4-TA13,Чан контактный №36983
2837,11-ZIF-Z123-ORP1-PW01,Комплектная трансформаторная подстанция
2838,11-ZIF-ZIF4-GMO4-TA11-KIPA,Оборудование КИПиА
2839,05-KAR-SGMT-UVDO,Участок водоотлива
2840,11-ZIF-Z123-GMO3-USRB-TA01-KIPA,Оборудование КИПиА
2841,11-ZIF-Z123-HVHZ-SNOV-PU04,Передвижная насосная станция №1
2842,05-ZIF-3GMU-1OSC-3US1-TA08-KIPA,Оборудование КИПиА
2843,11-RUD-CGTR-SEBT-KE04,Самосвал карьерный №604
2844,11-ZIF-Z123-ORP3-UIKR-TA04-KIPA,Оборудование КИПиА
2845,11-ZIF-Z123-UOIZ-LIFT,Оборудование грузоподъемное
2846,73-BOD-TRUC-TR52,Полуприцеп №АР897238
2847,71-TRA-AVTR-AVTP-TR37,Автобус №К603ТН24
2848,03-ZIF-0GMO-UOBS-TA01-KIPA,Оборудование КИПиА
2849,11-ZIF-Z123-GMO2-KOMP,Оборудование компрессорное
2850,71-TRA-AVTR-AVT3-TR6U,Тягач седельный №С998КТ
2851,03-ZIF-HHOZ-PU11-KIPA,Оборудование КИПиА
2852,11-ZIF-Z123-ORP3-RP06-BUSB,Токопроводы и шинопроводы
2853,11-ENC-TEC1-MILL,Оборудование дробильно-размольное
2854,05-SGE-CTVS-UTVS-UEXP-ST2P-VPU1,Установка водоподготовительная №1
2855,05-ZIF-2ORP-1OIZ-HC01-HC03-KIPA,Оборудование КИПиА
2856,11-ZIF-Z123-BL03-FIRE,АСПЗ (Противопожарные системы)
2857,05-SGE-CTVS-KZIF-KTL1-PU01,Насос ц/б №1
2858,11-RUD-CGTR-SEBT-KH14,Самосвал карьерный №235
2859,11-ZIF-ZIF4-GMO4-UOSH-SC02,Пробоотборник с вращ. ножом №142-А5
2860,11-ZIF-Z123-GMO2-USR2-TA57,Колонна сорбции №157-6/5
2861,11-RUD-CGTR-SETT-UCTT-EX09,Экскаватор гидравлический №3609
2862,72-OMK-UREM-MACH,Оборудование станочное
2863,11-ENC-TEC2-LINE,Линии воздушные и кабельные
2864,11-ZIF-Z123-ORP3-UFLT-TA10,Зумпф №58
2865,11-ENC-TEC2-TNC4-PUMP,Насосы
2866,11-OZH-OZBG-BL02,Здание Общежитие №6 на 987 мест
2867,71-PPE-SKLA-REGE-KIPA,Оборудование КИПиА
2868,11-RUD-CGTR-SEBT-CD71,Самосвал карьерный №772
2869,11-ZIF-Z123-GMO2-UREG-TA35-EAPP,Аппараты электрические
2870,11-ZIF-ZIF4-GMO4-BLDN,Здания производственные и бытовые
2871,71-TRA-AVTR-AVT3-TR5R,Тягач седельный №Р730НК124
2872,11-ZIF-Z123-ORP3-USDR-CN03,Конвейер ленточный №27-8
2873,11-ICC-LAMI-HEAT,Оборудование отопления и кондиционир-я
2874,11-ZIF-ZIF4-ORP4-UPRR-PU12-KIPA,Оборудование КИПиА поз.117
2875,05-ZIF-5UPR-PU22,Насос дренаж. I.247
2876,11-OZH-OZVP-CS01-FIRE,АСПЗ (Противопожарные системы)
2877,11-ZIF-Z123-STKM-UKM1-KO07-SELC,Силовая электроника
2878,11-ZIF-Z123-ORP3-UMDR-ML01-ASUT,АСУТП
2879,11-ZIF-Z123-STKM-EAPP,Аппараты электрические
2880,71-TRA-AVTR-AVT3-TR4X,Тягач седельный №Р256КН
2881,05-SGE-CSPS-UPST-PW70,КТП-60 СК-5 Обогрев трубопровода
2882,11-RUD-CGTR-SEBT-CF07,Самосвал карьерный №142
2883,11-ZIF-Z123-HVHZ-PW02,Комплектная трансформаторная подстанция
2884,11-ZIF-ZIF4-ORP4-UIZK-ML04,Мельница шаровая №31-2
2885,05-ZIF-5UPR-PU46,Насос химический I.295.2
2886,11-ZIF-Z123-UPPR-KPRK-HC03-KIPA,Оборудование КИПиА
2887,11-ZIF-Z123-GMO1-UREG-TA43,Чан контактный №165
2888,11-ZIF-ZIF4-GMO4-STKL-CTOW,Градирни
2889,11-ZIF-ZIF4-ORP4-UFLT-PI04,Пульподелитель 2-х струйный №66
2890,11-ZIF-Z123-GMO1-USRB-TA26,Колонна сорбции №103/2-9
2891,73-BOD-TRUC-TR34,Полуприцеп №АН2976
2892,11-ZIF-Z123-ORP3-UFLT-KO02-SELC,Силовая электроника
2893,11-ZIF-ZIF4-UPRG-PW01,Комплектная трансформаторная подстанция
2894,11-ZIF-Z123-GMO3-USRB-TA36,Чан контактный №292-2
2895,11-ZIF-ZIF4-GMO4-UOSH-PU01,Насос центробежный №131-10
2896,11-ZIF-Z123-ORP3-UPRR-PU04,Насос центробежный №71-1
2897,11-ZIF-Z123-ORP3-UFLT-SC02,Пробоотборник №43
2898,11-ZIF-Z123-OBOK-OFZF-TA10,Емкость для растворения флотанола
2899,11-ZIF-Z123-ORP3-UFLT-PU08,Насос центробежный №46-3
2900,05-ZIF-5UPR-TA22-KIPA,Оборудование КИПиА
2901,11-ZIF-Z123-GMO3-UKST-KO07,Установка кислородная №290-10
2902,11-ZIF-Z123-GMO3-UFLT-CN02-KIPA,Оборудование КИПиА
2903,11-ZIF-ZIF4-GMO4-ASKT,АСК КЦИ и СДР ТВЭЛЛ
2904,71-TRA-AVTR-AVTP-TR55,Автомобиль СМП №Н944ММ124
2905,05-SGE-CTVS-UKTL-U928-PUMP,Насосы
2906,03-IKT-OPLA-TRAN,Автотранспорт
2907,71-TRA-AVTR-AVT3-TR27,Тягач седельный №В612УК24
2908,03-ZIF-ORPO-GROH-SI04-KIPA,Оборудование КИПиА
2909,71-TRA-AVTR-AVT3-TR15,Автомобиль грузовой №А854НН124
2910,11-ZIF-ZIF4-ORP4-UDSF-KIPA,Оборудование КИПиА сгущения
2911,11-ZIF-Z123-ORP3-KIPA,Оборудование КИПиА
2912,11-ZIF-ZIF4-GMO4-UOPL,Участок обжига и плавки ГМО-4
2913,71-TRA-AVTR-AVT2-TR4U,Автоцистерна №Т827ХУ24
2914,71-TRA-AVTR-AVT2-TR48,Самосвал №Е346АК124
2915,11-ZIF-Z123-ORP1-UIKR-TANK,Оборудование емкостное
2916,73-BOD-TRUC-LF01,Кран автомобильный №Р742СХ
2917,11-ZIF-Z123-OBOK-BIO4-TA10-KIPA,Оборудование КИПиА
2918,11-ZIF-Z123-UPVC-UCEN-TA02,Машина оттирочная №516-2
2919,11-ZIF-Z123-GMO1-USRB-PUMP,Насосы
2920,11-ZIF-Z123-OBOK-BIO2-PU41,Насос центробежный №169-3
2921,11-ZIF-Z123-GMO3-SHLD,"Шкафы, щиты, панели"
2922,11-ZIF-ZIF4-GMO4-PU12-KIPA,Оборудование КИПиА
2923,73-VER-TRUC-LF01,Погрузчик вилочный №J1.5
2924,11-ZIF-Z123-ORP1-UIKR-PU12,Насос центробежный №73-1
2925,03-ZIF-0GMO-OTRG-TA02,Чан питания с пер. устр-вом поз.183
2926,11-MGO-CRGT-RGTT-MACH,Оборудование станочное
2927,11-ZIF-Z123-OBOK-OFZF-CS01-KIPA,Оборудование КИПиА
2928,73-BOD-TRUC-TR48,Полуприцеп №АР484338
2929,11-RUD-CGTR-SEBT-VOLV,Самосвалы Volvo FM
2930,11-ZIF-Z123-UPVC-UCEN-PU22,Насос центробежный №518-1
2931,73-BOD-TRUC-TR0N,Тягач седельный №Х108ВМ138
2932,11-ZIF-ZIF4-ORP4-KMDR,Комплекс мелкого дробления ОРПиО-4
2933,72-OMK-SKLA-STMC-POWR,Источники питания
2934,05-SGE-CTVS-UTVS-UEXP-ST1P-WL02-SHLD,"Шкафы, щиты, панели"
2935,11-ICC-LOMS-KIPA,Оборудование КИПиА
2936,11-RUD-CGTR-SEBT-CD33,Самосвал карьерный №734
2937,11-ZIF-Z123-ORP2-UPRR-TA02-KIPA,Оборудование КИПиА
2938,11-ZIF-ZIF4-GMO4-UDKU-PU14,Насос центробежный №306-1
2939,05-ZIF-7SKS,Станция кислородная
2940,11-ZIF-Z123-ORP3-UFLT-PU19-KIPA,Оборудование КИПиА
2941,05-ZIF-2ORP-2OGR-TANK,Оборудование емкостное
2942,71-TRA-AVTR-AVT2-TR0W,Прицеп №МР5433
2943,11-ZIF-ZIF4-GMO4-UOSH-PU33-VALV,Запорно-регулирующая арматура
2944,03-ZIF-ORPO-KSGF-KIPA,Оборудование КИПиА
2945,11-ZIF-Z123-OBOK-BIO3-SELC,Силовая электроника
2946,11-ZIF-ZIF4-ORP4-UGRT-MQ04,Концентратор №43-12
2947,73-BOD-TRUC-TR76,Автомобиль легковой №К999РВ
2948,11-RUD-CGTR-SEBT-CD13,Самосвал карьерный №714
2949,05-SGE-CTVS-UTVS-UEXP-KNSE-KNZO,Сети канализационные ЖК Омчак
2950,14-REG-KOMP,Оборудование компрессорное
2951,05-ZIF-2ORP-2OGR-PU16,Зумпф насос I.088.2
2952,11-ZIF-ZIF4-GMO4-UINC-TA09,Зумпф №55
2953,05-ZIF-5UPR-PU03,Насос химический I.213.2
2954,05-SGE-CTVS-UTVS-UEXP-PIPE,Трубопроводы
2955,11-ZIF-Z123-UOSO-TA03-KIPA,Оборудование КИПиА
2956,11-ZIF-Z123-UOIZ-BL02-KIPA,Оборудование КИПиА
2957,05-ZIF-3GMU-1OSC-2UIK-PU02,Насос ц/б I.770.2
2958,03-ZIF-0GMO,Гидрометаллургическое отделение (ГМО)
2959,73-BOD-SKLA-AVZA-LINE,Сети электрические силовые
2960,11-ZIF-Z123-GMO1-UREG-PU21-KIPA,Оборудование КИПиА
2961,11-ZIF-ZIF4-ORP4-UDSF-ML01-KIPA,Оборудование КИПиА поз.31-3
2962,11-ZIF-ZIF4-ORP4-UIZK-PU14-KIPA,Оборудование КИПиА поз.32-1
2963,05-SGE-CTVS-UKTL-U372-KIPA,Оборудование КИПиА
2964,11-ZIF-Z123-GMO3-UDEL-TA13-KIPA,Оборудование КИПиА
2965,05-SGE-CTVS-KZIF-KTL1-TH01-TH05,Экономайзер №1
2966,05-ZIF-2ORP-2OGR-MQ19-KIPA,Оборудование КИПиА
2967,03-ZIF-0GMO-ZOLG-PU03,Насос с совмещенным резервуаром поз.333
2968,11-ZIF-ZIF4-GMO4-UFLT-PU12-KIPA,Оборудование КИПиА
2969,71-TRA-AVTR-AVT2-TR07,Самосвал №А134ЕР124
2970,03-ZIF-ENSZ-SH03,Тиристорный возбудитель ВТЦ3
2971,14-OZH-BL01,Здание жилого дома на 16 чел. №1
2972,71-TRA-AVTR-AVT3-TR1D,Полуприцеп №МС2951
2973,71-TRA-AVTR-AVT2-TR0C,Прицеп-самосвальный №МР541324
2974,05-ZIF-3GMU-1OSC-3US1-MPEQ,Оборудование обогатительное
2975,05-SGE-CSPS-UPST-1RP4-BB01-DISD,Устройства распределительные
2976,11-ENC-TEC2-BO03-GOLD,Золоуловители
2977,11-ZIF-ZIF4-ORP4-KMDR-TA01-KIPA,Оборудование КИПиА поз.80-5
2978,05-ZIF-5UPR,Участок приготовления реагентов
2979,11-MGO-CRGT-RGBB-LF13,Машина многоцелевая
2980,11-RUD-CGTR-SETT-UCTT-BZ14,Бульдозер гусеничный №32
2981,11-ZIF-ZIF4-ORP4-UGRT-PU05-KIPA,Оборудование КИПиА
2982,11-RUD-VOST-ENSL,Энергослужба к.Восточный
2983,73-BOD-TRUC-TR46,Полуприцеп №АН8268
2984,03-ZIF-ORPO-UPFL-TA03,Ёмкость растворная поз.610-1
2985,05-KAR-UBVR-SP04,Станок буровой №4
2986,11-ZIF-Z123-ORP1-UIKR-TA03-KIPA,Оборудование КИПиА
2987,11-RUD-CGTR-SEBT-CD30,Самосвал карьерный №731
2988,11-ZIF-Z123-ORP1-UDRB-PW01,Комплектная трансформаторная подстанция
2989,11-ZIF-Z123-ORP1-UDRB-PW01-TRNS,Трансформаторы
2990,14-TRC-TRAN,Автотранспорт
2991,11-OZH-OZVP-BL18-HEAT,Оборудование отопления и кондиционир-я
2992,71-LES-TRUC-LF07,Погрузчик дизельный №МВ0141
2993,11-ZIF-ZIF4-GMO4-UOSH-PU25,Насос центробежный №160-1
2994,11-ZIF-ZIF4-ORP4-UIZK-ML01-KIPA,Оборудование КИПиА поз.30-1
2995,05-SGE-CTVS-KZIF-KTL1-CNST,Сооружения
2996,71-NAZ-SKLA-REMU,ПП Назимово. Ремонтный участок
2997,73-BOD-TRUC-TR09,Автомобиль пассажирский №А660ВТ138
2998,12-TRC-TR29,Автомобиль легковой №Т203ТТ24
2999,72-OMK-UREM-BL03,Сварочный пост СП
3000,03-RUD-UBVR,Участок БВР
3001,05-ZIF-4GTS-NOVS-PU04,Насос ц/б I.080.4
3002,11-ZIF-ZIF4-GMO4-UFLT-TA05-KIPA,Оборудование КИПиА
3003,11-RUD-CBVZ-SB07,Станок буровой №25
3004,11-ICC-LPMP-HEAT,Оборудование отопления и кондиционир-я
3005,11-MGO-CRGT-RGBB-KOMP,Оборудование компрессорное
3006,11-ZIF-ZIF4-UPRG-SHLD,"Шкафы, щиты, панели"
3007,71-LES-TRUC-TR29,Автомобиль пассажирский №С611МН124
3008,05-SGE-CTVS-UKTL-U372-PIPE,Трубопроводы
3009,73-BOD-TRUC-TR42,Полуприцеп №АН8264
3010,05-ZIF-5UPR-PU39-KIPA,Оборудование КИПиА
3011,11-RUD-CGTR-SEBT-SPCT-TEHN,Оборудование горно-транспортное
3012,11-ZIF-ZIF4-ORP4-UGRT-PI03-KIPA,Оборудование КИПиА поз.36-3
3013,11-ZIF-ZIF4-GMO4-UDKU-TA06-KIPA,Оборудование КИПиА
3014,71-NAZ-TRUC,ПП Назимово. Транспортный участок
3015,05-ZIF-2ORP-2OGR-MQ38-KIPA,Оборудование КИПиА
3016,11-ZIF-Z123-GMO3-UDEL-TA15,Колонна десорбции №305-5
3017,11-ZIF-Z123-GMO1-UREG-TA37-KIPA,Оборудование КИПиА
3018,11-ZIF-Z123-GMO1-USRB-TA21,Колонна сорбции №103/2-4
3019,11-ZIF-Z123-GMO2-USR1-TA16,Колонна сорбции №152-1/9
3020,11-ZIF-Z123-GMO1-USRB-TA04-KIPA,Оборудование КИПиА
3021,05-AHB-CS02,"Здание моб. ""Туалетное"" №4"
3022,11-ZIF-ZIF4-ORP4-UFLT-MQ12-VA01,Клапан донный регулирующий 63-2-5.1
3023,03-RUD-RMM1,Ремонтно-механические мастерские
3024,11-ZIF-Z123-ORP2-USGN-PU13,Насос центробежный №82-1
3025,11-ZIF-Z123-ORP1-UIKR-PU11-KIPA,Оборудование КИПиА
3026,11-ZIF-Z123-ORP1-UIKR-KOMP,Оборудование компрессорное
3027,11-ZIF-Z123-UPPR-KIIZ-PU07,Насос центробежный №9-1
3028,05-ZIF-BL01-SYST,Узлы автономные (локальные системы)
3029,11-ZIF-Z123-ORP2-PWCO,Подстанции трансформаторные
3030,11-ZIF-ZIF4-ORP4-UDSF-HC15,Гидроциклон №35-8
3031,11-ZIF-Z123-ORP3-UIKR-TANK,Оборудование емкостное
3032,71-TRA-AVTR-AVT1-LF29,Автокран №У562ХН24
3033,11-ZIF-Z123-UPVC-UCEN-PU30,Насос центробежный №525-1
3034,05-ZIF-3GMU-1OSC-2UIK-HC01,Уст-ка гидроциклонов I.809
3035,11-RUD-CGTR-SETT-UDOT-OS16,Автогрейдер №704
3036,11-ZIF-Z123-GMO1-SHLD,"Шкафы, щиты, панели"
3037,73-VER-TRUC-TR60,Автоцистерна №X158BM
3038,71-TRA-AVTR-AVT1-TRM2,УЗСТ 5676-19 У067OM124
3039,11-ZIF-ZIF4-ORP4-UFLT-PU37-VALV,Запорно-регулирующая арматура поз.7а-2
3040,71-PPE-TEHS-ERSK,ПП Еруда. Отдел экс-ции и ремонта СК
3041,11-ZIF-Z123-OBOK-BIO1-TA15,Реактор биоокисления №106-3-3
3042,11-ZIF-Z123-OBOK-BIO2-TA39-KIPA,Оборудование КИПиА
3043,73-TAK-TRUC-CNST,Сооружения
3044,11-ZIF-ZIF4-ORP4-UFLT-TA09-VALV,Запорно-регулирующая арматура поз.64-2
3045,11-RUD-VOST-UGVS-P601,Экскаватор гидравлический №501
3046,71-TRA-AVTR-AVT2-TR3Q,Самосвал №С319ЕВ124
3047,11-ENC-TEC1-BO08-HEAT,Оборудование отопления и кондиционир-я
3048,11-RUD-CGTR-SEBT-CD88,Самосвал карьерный №789
3049,03-ZIF-DT01,Дизельная электростанция соор. 24
3050,11-ZIF-Z123-OBOK-BIO2-PU26,Насос центробежный №165-1
3051,11-ZIF-Z123-OBOK-UPRR-PU05-KIPA,Оборудование КИПиА
3052,11-ZIF-Z123-UPPR-SHLD,"Шкафы, щиты, панели"
3053,05-SGE-CTVS-KZIF-KTL1-PIPE,Трубопроводы
3054,05-SGE-CTVS-UTVS-UEXP-PL43-NS43-ASUT,АСУТП
3055,11-MGO-CRGT-RGBB-BLDN,Здания производственные и бытовые
