,Завод,ЕО код,ЕО описание,Основной Класс ЕО код,Основной Класс ЕО описание,Класс ЕО код,Техместо код,Техместо описание,Вышестоящее техместо код,Вышестоящее техместо наименование,Дата начала эксплуатации
209,Олимпиадинский ГОК,100000065974,Самосвал карьерный 785C №422,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC21,Самосвал карьерный №422,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,30.04.2011
210,Олимпиадинский ГОК,100000055913,Гидротрансформатор,E01_01,Самосвалы карьерные,Узлы,11-RUD-CGTR-SEBT-CC60,Самосвал карьерный №511,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,16.06.2009
211,Олимпиадинский ГОК,100000065975,Самосвал карьерный 785C №425,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC24,Самосвал карьерный №425,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,26.05.2011
212,Олимпиадинский ГОК,100000065622,Самосвал карьерный 785C №516,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC64,Самосвал карьерный №516,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,20.05.2011
213,Олимпиадинский ГОК,100000063332,Экскаватор гидравл. PC3000-6 №504,E03_01,Экскаваторы гидравли,Экскаваторы гидравлические,11-RUD-BLAG-UGBL-P602,Экскаватор гидравлический №504,11-RUD-BLAG-UGBL-PC36,Экскаваторы PC3000-6,25.06.2011
214,Олимпиадинский ГОК,100000065976,Самосвал карьерный 785C №426,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC25,Самосвал карьерный №426,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,31.07.2011
215,Олимпиадинский ГОК,100000055970,Гидротрансформатор,E01_01,Самосвалы карьерные,Узлы,11-RUD-CGTR-SEBT-CC69,Самосвал карьерный №521,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,26.05.2011
216,Олимпиадинский ГОК,100000062381,Самосвал карьерный 785C №427,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC26,Самосвал карьерный №427,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,31.07.2011
217,Олимпиадинский ГОК,100000038596,Дифференциал,E01_01,Самосвалы карьерные,Узлы,11-RUD-CGTR-SEBT-CC70,Самосвал карьерный №522,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,31.07.2011
218,Олимпиадинский ГОК,100000055977,Гидротрансформатор,E01_01,Самосвалы карьерные,Узлы,11-RUD-CGTR-SEBT-CC73,Самосвал карьерный №525,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,31.07.2011
219,Олимпиадинский ГОК,100000062382,Самосвал карьерный 785C №428,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC27,Самосвал карьерный №428,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,31.07.2011
220,Олимпиадинский ГОК,100000038597,Дифференциал,E01_01,Самосвалы карьерные,Узлы,11-RUD-CGTR-SEBT-CC84,Самосвал карьерный №536,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,31.07.2011
221,Олимпиадинский ГОК,100000038792,Коробка передач №2BE06144,E01_01,Самосвалы карьерные,Узлы,11-RUD-CGTR-SEBT-CC24,Самосвал карьерный №425,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,31.07.2011
222,Олимпиадинский ГОК,100000062383,Самосвал карьерный 785C №429,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC28,Самосвал карьерный №429,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,31.07.2011
223,Олимпиадинский ГОК,100000062384,Самосвал карьерный 785C №430,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC29,Самосвал карьерный №430,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,22.08.2011
224,Олимпиадинский ГОК,100000058916,Бульдозер Т-11.01Я1БР-1 №13,E05_02,Бульдозеры гусеничны,Бульдозеры гусеничные,11-999-1105,Удал. оборудование КБЕ ГТК,11-999,Удаленное оборудование,14.11.2011
225,Олимпиадинский ГОК,100000065907,Автогрейдер ГС-25.11 №21,E06_01,Автогрейдеры,Автогрейдеры,11-RUD-CGTR-SETT-UDST-OS03,Автогрейдер №21,11-RUD-CGTR-SETT-UDST-ODRS,Оборудование дорожно-строительное,19.10.2011
226,Олимпиадинский ГОК,100000030461,Экскаватор гидравл. ЕК 450FS №04,E03_01,Экскаваторы гидравли,Экскаваторы гидравлические,11-RUD-CGTR-SETT-UCTT-EX18,Экскаватор гидравлический №04,11-RUD-CGTR-SETT-UCTT-EXCV,Экскаваторы,05.11.2011
227,Олимпиадинский ГОК,100000043579,ЭД асинх,E03_02,Экскаваторы электрич,Двигатели асинхронные,11-RUD-VOST-UGVS-E110,Экскаватор электрический №27,11-RUD-VOST-UGVS-EG10,Экскаваторы ЭКГ-10,30.11.2011
228,Олимпиадинский ГОК,100000062733,Экскаватор электрический ЭКГ-10 №27,E03_02,Экскаваторы электрич,Экскаваторы электрические,11-RUD-VOST-UGVS-E110,Экскаватор электрический №27,11-RUD-VOST-UGVS-EG10,Экскаваторы ЭКГ-10,30.11.2011
229,Олимпиадинский ГОК,100000061885,Станок буровой DML LP №71,E02_03,Станки буровые ударн,Станки буровые ударно-вращательного бур.,11-RUD-CBVZ-LP06,Станок буровой №71,11-RUD-CBVZ-DMLP,Станки буровые DML LP,08.05.2014
230,Олимпиадинский ГОК,100000058922,Погрузчик фронтальный WA800-3 №30,E17_11,Погрузчики фронтальн,Погрузчики фронтальные,11-RUD-CGTR-SETT-UCTT-LF10,Погрузчик фронтальный №30,11-RUD-CGTR-SETT-UCTT-LIFT,Оборудование грузоподъемное,31.12.2017
231,Олимпиадинский ГОК,100000038614,Дифференциал,E01_01,Самосвалы карьерные,Узлы,11-RUD-CGTR-SEBT-CC27,Самосвал карьерный №428,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,30.08.2021
232,Олимпиадинский ГОК,100000062385,Самосвал карьерный 785C №445,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC44,Самосвал карьерный №445,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,19.06.2014
233,Олимпиадинский ГОК,100000038610,Дифференциал,E01_01,Самосвалы карьерные,Узлы,11-RUD-CGTR-SEBT-CC60,Самосвал карьерный №511,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,19.06.2014
234,Олимпиадинский ГОК,100000055916,Гидротрансформатор №5RT02592,E01_01,Самосвалы карьерные,Узлы,11-RUD-CGTR-SEBT-CC22,Самосвал карьерный №423,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,19.06.2014
235,Олимпиадинский ГОК,100000062386,Самосвал карьерный 785C №441,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC40,Самосвал карьерный №441,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,19.06.2014
236,Олимпиадинский ГОК,100000038613,Дифференциал,E01_01,Самосвалы карьерные,Узлы,11-RUD-CGTR-SEBT-CC43,Самосвал карьерный №444,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,31.07.2013
237,Олимпиадинский ГОК,100000062387,Самосвал карьерный 785C №444,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC43,Самосвал карьерный №444,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,19.06.2014
238,Олимпиадинский ГОК,100000062388,Самосвал карьерный 785C №443,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC42,Самосвал карьерный №443,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,19.06.2014
239,Олимпиадинский ГОК,100000038611,Дифференциал,E01_01,Самосвалы карьерные,Узлы,11-RUD-CGTR-SEBT-CC41,Самосвал карьерный №442,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,19.06.2014
240,Олимпиадинский ГОК,100000055920,Гидротрансформатор №5RT01682,E01_01,Самосвалы карьерные,Узлы,11-RUD-CGTR-SEBT-CC41,Самосвал карьерный №442,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,31.12.2013
241,Олимпиадинский ГОК,100000062389,Самосвал карьерный 785C №442,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC41,Самосвал карьерный №442,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,19.06.2014
242,Олимпиадинский ГОК,100000069363,Двигатель внутр.сгорания №785C BR 38-3,E01_01,Самосвалы карьерные,Узлы. ДВС,11-RUD-CGTR-SEBT-CC41,Самосвал карьерный №442,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,31.03.2011
243,Олимпиадинский ГОК,100000058937,Погрузчик фронтальный WA500-3 №37,E17_11,Погрузчики фронтальн,Погрузчики фронтальные,11-RUD-CGTR-SETT-UCTT-LF21,Погрузчик фронтальный №37,11-RUD-CGTR-SETT-UCTT-LIFT,Оборудование грузоподъемное,05.04.2013
244,Олимпиадинский ГОК,100000061760,Установка буровая УРБ-2А2 №08,E02_02,Станки буровые вращ.,Станки буровые вращ. бур. коронками,11-GRS-UBUR-DR02,Установка буровая №08,11-GRS-UBUR-DRIL,Оборудование буровое,23.04.2013
245,Олимпиадинский ГОК,100000043580,ЭД асинх,E03_02,Экскаваторы электрич,Двигатели асинхронные,11-RUD-VOST-UGVS-E113,Экскаватор электрический №31,11-RUD-VOST-UGVS-EG10,Экскаваторы ЭКГ-10,30.04.2013
246,Олимпиадинский ГОК,100000062734,Экскаватор электрический ЭКГ-10 №31,E03_02,Экскаваторы электрич,Экскаваторы электрические,11-RUD-VOST-UGVS-E113,Экскаватор электрический №31,11-RUD-VOST-UGVS-EG10,Экскаваторы ЭКГ-10,30.04.2013
247,Олимпиадинский ГОК,100000061761,Бульдозер Т-11.02ЯБР-1 №1165KY24,E05_02,Бульдозеры гусеничны,Бульдозеры гусеничные,11-GRS-UBUR-BZ01,Бульдозер гусеничный №КУ116524,11-GRS-UBUR-BLDZ,Выемочно-транспортирующие машины,22.05.2013
248,Олимпиадинский ГОК,100000065912,Бульдозер К-702МБА-01-БКУ №17,E05_01,Бульдозеры колесные,Бульдозеры колесные,11-RUD-CGTR-SETT-UDST-BZ05,Бульдозер колесный №17,11-RUD-CGTR-SETT-UDST-BLDZ,Выемочно-транспортирующие машины,11.07.2013
249,Олимпиадинский ГОК,100000055972,Гидротрансформатор,E01_01,Самосвалы карьерные,Узлы,11-RUD-CGTR-SEBT-CC34,Самосвал карьерный №435,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,31.07.2013
250,Олимпиадинский ГОК,100000062390,Самосвал карьерный 785C №435,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC34,Самосвал карьерный №435,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,31.07.2013
251,Олимпиадинский ГОК,100000056063,Гидротрансформатор №5RT02156,E01_01,Самосвалы карьерные,Узлы,11-RUD-CGTR-SEBT-CC30,Самосвал карьерный №431,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,01.01.2011
252,Олимпиадинский ГОК,100000062391,Самосвал карьерный 785C №431,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC30,Самосвал карьерный №431,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,31.07.2013
253,Олимпиадинский ГОК,100000062392,Самосвал карьерный 785C №434,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC33,Самосвал карьерный №434,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,31.07.2013
254,Олимпиадинский ГОК,100000062393,Самосвал карьерный 785C №432,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC31,Самосвал карьерный №432,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,31.07.2013
255,Олимпиадинский ГОК,100000062394,Самосвал карьерный 785C №433,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC32,Самосвал карьерный №433,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,31.07.2013
256,Олимпиадинский ГОК,100000039659,ЭД асинх,E02_01,Станки буровые вращ.,Двигатели асинхронные,11-RUD-CBVZ-SB10,Станок буровой №28,11-RUD-CBVZ-SBSH,Станки буровые СБШ-250,31.07.2013
257,Олимпиадинский ГОК,100000061886,Станок буровой СБШ-250 МНА-32 №28,E02_01,Станки буровые вращ.,Станки буровые вращ. бур. шарошками,11-RUD-CBVZ-SB10,Станок буровой №28,11-RUD-CBVZ-SBSH,Станки буровые СБШ-250,31.07.2013
258,Олимпиадинский ГОК,100000071913,ЭД вращателя ДПВ52,E02_01,Станки буровые вращ.,Двигатели постоянного тока,11-RUD-CBVZ-SB06,Станок буровой №24,11-RUD-CBVZ-SBSH,Станки буровые СБШ-250,31.07.2013
259,Олимпиадинский ГОК,100000065954,Бульдозер WD600-3 №31,E05_01,Бульдозеры колесные,Бульдозеры колесные,11-RUD-CGTR-SETT-UDOT-BZ06,Бульдозер колесный №31,11-RUD-CGTR-SETT-UDOT-BLDZ,Выемочно-транспортирующие машины,22.11.2013
260,Олимпиадинский ГОК,100000055922,Гидротрансформатор №5RT03040,E01_01,Самосвалы карьерные,Узлы,11-RUD-CGTR-SEBT-CC35,Самосвал карьерный №436,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,31.12.2013
261,Олимпиадинский ГОК,100000062395,Самосвал карьерный 785C №436,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC35,Самосвал карьерный №436,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,31.12.2013
262,Олимпиадинский ГОК,100000055923,Гидротрансформатор №5RT03017,E01_01,Самосвалы карьерные,Узлы,11-RUD-CGTR-SEBT-CC36,Самосвал карьерный №437,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,31.07.2013
263,Олимпиадинский ГОК,100000062396,Самосвал карьерный 785C №437,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC36,Самосвал карьерный №437,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,13.12.2013
264,Олимпиадинский ГОК,100000055974,Гидротрансформатор №5RT01862,E01_01,Самосвалы карьерные,Узлы,11-RUD-CGTR-SEBT-CC37,Самосвал карьерный №438,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,31.07.2013
265,Олимпиадинский ГОК,100000062397,Самосвал карьерный 785C №438,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC37,Самосвал карьерный №438,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,31.12.2013
266,Олимпиадинский ГОК,100000057006,Гидротрансформатор,E01_01,Самосвалы карьерные,Узлы,11-RUD-CGTR-SEBT-CC66,Самосвал карьерный №518,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,13.12.2013
267,Олимпиадинский ГОК,100000062398,Самосвал карьерный 785C №439,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC38,Самосвал карьерный №439,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,13.12.2013
268,Олимпиадинский ГОК,100000062399,Самосвал карьерный 785C №440,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC39,Самосвал карьерный №440,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,13.12.2013
269,Олимпиадинский ГОК,100000038646,Дифференциал,E01_01,Самосвалы карьерные,Узлы,11-RUD-CGTR-SEBT-CC55,Самосвал карьерный №506,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,13.12.2013
270,Олимпиадинский ГОК,100000038807,Коробка передач №2BE05778,E01_01,Самосвалы карьерные,Узлы,11-RUD-CGTR-SEBT-CC73,Самосвал карьерный №525,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,16.12.2010
271,Олимпиадинский ГОК,100000039415,Редуктор бортовой левый,E01_01,Самосвалы карьерные,Узлы,11-RUD-CGTR-SEBT-CC73,Самосвал карьерный №525,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,25.03.2012
272,Олимпиадинский ГОК,100000039484,Редуктор бортовой правый,E01_01,Самосвалы карьерные,Узлы,11-RUD-CGTR-SEBT-CC73,Самосвал карьерный №525,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,31.12.2013
273,Олимпиадинский ГОК,100000065623,Самосвал карьерный 785C №525,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC73,Самосвал карьерный №525,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,13.12.2013
274,Олимпиадинский ГОК,100000038790,Коробка передач №2BE06142,E01_01,Самосвалы карьерные,Узлы,11-RUD-CGTR-SEBT-CC72,Самосвал карьерный №524,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,06.03.2014
275,Олимпиадинский ГОК,100000039219,Редуктор бортовой левый,E01_01,Самосвалы карьерные,Узлы,11-RUD-CGTR-SEBT-CC72,Самосвал карьерный №524,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,25.03.2012
276,Олимпиадинский ГОК,100000039259,Редуктор бортовой левый,E01_01,Самосвалы карьерные,Узлы,11-RUD-CGTR-SEBT-CC72,Самосвал карьерный №524,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,10.08.2016
277,Олимпиадинский ГОК,100000065624,Самосвал карьерный 785C №524,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC72,Самосвал карьерный №524,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,13.12.2013
278,Олимпиадинский ГОК,100000055967,Гидротрансформатор №5RT02140,E01_01,Самосвалы карьерные,Узлы,11-RUD-CGTR-SEBT-CC74,Самосвал карьерный №526,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,19.06.2014
279,Олимпиадинский ГОК,100000065625,Самосвал карьерный 785C №526,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC74,Самосвал карьерный №526,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,31.12.2013
280,Олимпиадинский ГОК,100000056020,Гидротрансформатор,E01_01,Самосвалы карьерные,Узлы,11-RUD-CGTR-SEBT-CC71,Самосвал карьерный №523,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,29.11.2017
281,Олимпиадинский ГОК,100000065626,Самосвал карьерный 785C №523,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC71,Самосвал карьерный №523,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,13.12.2013
282,Олимпиадинский ГОК,100000038648,Дифференциал,E01_01,Самосвалы карьерные,Узлы,11-RUD-CGTR-SEBT-CC72,Самосвал карьерный №524,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,24.08.2021
283,Олимпиадинский ГОК,100000055919,Гидротрансформатор №5RT03013,E01_01,Самосвалы карьерные,Узлы,11-RUD-CGTR-SEBT-CC65,Самосвал карьерный №517,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,31.12.2013
284,Олимпиадинский ГОК,100000065627,Самосвал карьерный 785C №527,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC75,Самосвал карьерный №527,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,31.12.2013
285,Олимпиадинский ГОК,100000065946,Автогрейдер 24M №24,E06_01,Автогрейдеры,Автогрейдеры,11-RUD-CGTR-SETT-UDOT-OS04,Автогрейдер №24,11-RUD-CGTR-SETT-UDOT-ODRS,Оборудование дорожно-строительное,31.03.2015
286,Олимпиадинский ГОК,100000055961,Гидротрансформатор №5RT03139,E01_01,Самосвалы карьерные,Узлы,11-RUD-CGTR-SEBT-CC06,Самосвал карьерный №406,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,31.01.2019
287,Олимпиадинский ГОК,100000065628,Самосвал карьерный 785C №528,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC76,Самосвал карьерный №528,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,28.02.2014
288,Олимпиадинский ГОК,100000080696,Гидротрансформатор,E01_01,Самосвалы карьерные,Узлы,11-RUD-CGTR-SEBT-CC33,Самосвал карьерный №434,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,13.12.2013
289,Олимпиадинский ГОК,100000065629,Самосвал карьерный 785C №531,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC79,Самосвал карьерный №531,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,03.07.2021
290,Олимпиадинский ГОК,100000065630,Самосвал карьерный 785C №529,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC77,Самосвал карьерный №529,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,28.02.2014
291,Олимпиадинский ГОК,100000039441,Редуктор бортовой левый,E01_01,Самосвалы карьерные,Узлы,11-RUD-CGTR-SEBT-CC80,Самосвал карьерный №532,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,19.02.2008
292,Олимпиадинский ГОК,100000065631,Самосвал карьерный 785C №532,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC80,Самосвал карьерный №532,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,28.02.2014
293,Олимпиадинский ГОК,100000065632,Самосвал карьерный 785C №530,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC78,Самосвал карьерный №530,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,28.02.2014
294,Олимпиадинский ГОК,100000065633,Самосвал карьерный 785C №533,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC81,Самосвал карьерный №533,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,06.03.2014
295,Олимпиадинский ГОК,100000065634,Самосвал карьерный 785C №534,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC82,Самосвал карьерный №534,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,06.03.2014
296,Олимпиадинский ГОК,100000038658,Дифференциал,E01_01,Самосвалы карьерные,Узлы,11-RUD-CGTR-SEBT-CC67,Самосвал карьерный №519,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,06.03.2014
297,Олимпиадинский ГОК,100000055969,Гидротрансформатор №5RT03043,E01_01,Самосвалы карьерные,Узлы,11-RUD-CGTR-SEBT-CC84,Самосвал карьерный №536,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,13.12.2013
298,Олимпиадинский ГОК,100000065635,Самосвал карьерный 785C №536,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC84,Самосвал карьерный №536,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,06.03.2014
299,Олимпиадинский ГОК,100000038657,Дифференциал,E01_01,Самосвалы карьерные,Узлы,11-RUD-CGTR-SEBT-CC40,Самосвал карьерный №441,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,17.09.2021
300,Олимпиадинский ГОК,100000065636,Самосвал карьерный 785C №535,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC83,Самосвал карьерный №535,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,06.03.2014
301,Олимпиадинский ГОК,100000081056,Дифференциал,E01_01,Самосвалы карьерные,Узлы,11-RUD-CGTR-SEBT-CC65,Самосвал карьерный №517,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,17.09.2021
302,Олимпиадинский ГОК,100000061887,Станок буровой DML LP №69,E02_03,Станки буровые ударн,Станки буровые ударно-вращательного бур.,11-RUD-CBVZ-LP04,Станок буровой №69,11-RUD-CBVZ-DMLP,Станки буровые DML LP,30.09.2013
303,Олимпиадинский ГОК,100000061888,Станок буровой PV-235 №58,E02_01,Станки буровые вращ.,Станки буровые вращ. бур. шарошками,11-RUD-CBVZ-P204,Станок буровой №58,11-RUD-CBVZ-PV23,Станки буровые PV-235,31.10.2013
304,Олимпиадинский ГОК,100000030466,Экскаватор гидравл. ЕК 450FS №05,E03_01,Экскаваторы гидравли,Экскаваторы гидравлические,11-RUD-CGTR-SETT-UCTT-EX19,Экскаватор гидравлический №05,11-RUD-CGTR-SETT-UCTT-EXCV,Экскаваторы,14.03.2012
305,Олимпиадинский ГОК,100000065913,Бульдозер К-702МБА-01-БКУ №16,E05_01,Бульдозеры колесные,Бульдозеры колесные,11-RUD-CGTR-SETT-UDST-BZ04,Бульдозер колесный №16,11-RUD-CGTR-SETT-UDST-BLDZ,Выемочно-транспортирующие машины,30.10.2011
306,Олимпиадинский ГОК,100000059208,Компьютер пром. бортовой RMB-C2 LP,E01_01,Самосвалы карьерные,Компьютеры промышленные бортовые,11-RUD-CGTR-SEBT-CC59,Самосвал карьерный №510,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,25.03.2012
307,Олимпиадинский ГОК,100000067265,Автогрейдер ДЗ-98В.00110 №3714,E06_01,Автогрейдеры,Автогрейдеры,11-RUD-CGTR-SETT-UDOT-OS17,Автогрейдер №3714,11-RUD-CGTR-SETT-UDOT-ODRS,Оборудование дорожно-строительное,31.10.2015
308,Олимпиадинский ГОК,100000065955,Бульдозер К-702МБА-01-БКУ №802,E05_01,Бульдозеры колесные,Бульдозеры колесные,11-RUD-CGTR-SETT-UDOT-BZ20,Бульдозер колесный №802,11-RUD-CGTR-SETT-UDOT-BLDZ,Выемочно-транспортирующие машины,25.11.2015
309,Олимпиадинский ГОК,100000065956,Бульдозер К-702МБА-01-БКУ №805,E05_01,Бульдозеры колесные,Бульдозеры колесные,11-RUD-CGTR-SETT-UDOT-BZ22,Бульдозер колесный №805,11-RUD-CGTR-SETT-UDOT-BLDZ,Выемочно-транспортирующие машины,25.11.2015
310,Олимпиадинский ГОК,100000065959,Бульдозер К-702МБА-01-БКУ №806,E05_01,Бульдозеры колесные,Бульдозеры колесные,11-RUD-CGTR-SETT-UDOT-BZ23,Бульдозер колесный №806,11-RUD-CGTR-SETT-UDOT-BLDZ,Выемочно-транспортирующие машины,25.11.2015
311,Олимпиадинский ГОК,100000059018,Экскаватор гидравл. ЕК 270LC №601,E03_01,Экскаваторы гидравли,Экскаваторы гидравлические,11-RUD-CGTR-SETT-UCTT-EX10,Экскаватор гидравлический №601,11-RUD-CGTR-SETT-UCTT-EXCV,Экскаваторы,14.11.2015
312,Олимпиадинский ГОК,100000065960,Бульдозер К-702МБА-01-БКУ №801,E05_01,Бульдозеры колесные,Бульдозеры колесные,11-RUD-CGTR-SETT-UDOT-BZ19,Бульдозер колесный №801,11-RUD-CGTR-SETT-UDOT-BLDZ,Выемочно-транспортирующие машины,13.12.2015
313,Олимпиадинский ГОК,100000058882,Машина многоцел МКСМ-1000 №7113ХЕ24,E17_11,Погрузчики фронтальн,Погрузчики фронтальные,11-MGO-CRGT-RGBV-LF05,Машина многоцелевая №7113ХЕ24,11-MGO-CRGT-RGBV-LIFT,Оборудование грузоподъемное,01.12.2015
