,Завод,ЕО код,ЕО описание,Основной Класс ЕО код,Основной Класс ЕО описание,Класс ЕО код,Техместо код,Техместо описание,Вышестоящее техместо код,Вышестоящее техместо наименование,Дата начала эксплуатации
21,Полюс Магадан,100000084504,Самосвал карьерный 730E-10 №49,E01_01,Самосвалы карьерные,Самосвалы карьерные,05-KAR-UTTR-K113,Самосвал карьерный №49,05-KAR-UTTR-K731,Самосвалы Komatsu 730E-10,01.07.2022
22,Полюс Магадан,100000084505,Самосвал карьерный 730E-10 №50,E01_01,Самосвалы карьерные,Самосвалы карьерные,05-KAR-UTTR-K114,Самосвал карьерный №50,05-KAR-UTTR-K731,Самосвалы Komatsu 730E-10,01.07.2022
23,Полюс Магадан,100000084506,Самосвал карьерный 730E-10 №51,E01_01,Самосвалы карьерные,Самосвалы карьерные,05-KAR-UTTR-K115,Самосвал карьерный №51,05-KAR-UTTR-K731,Самосвалы Komatsu 730E-10,01.07.2022
24,Полюс Магадан,100000084507,Экскаватор электрический 2300XPC №3,E03_02,Экскаваторы электрич,Экскаваторы электрические,05-KAR-UOGR-PH01,Экскаватор электрический №3,05-KAR-UOGR-PH23,Экскаваторы PH 2300XPC,01.09.2022
25,Полюс Магадан,100000084508,Экскаватор электрический 2300XPC №4,E03_02,Экскаваторы электрич,Экскаваторы электрические,05-KAR-UOGR-PH02,Экскаватор электрический №4,05-KAR-UOGR-PH23,Экскаваторы PH 2300XPC,01.10.2022
26,Полюс Магадан,100000084509,Бульдозер колесный WD600-6 №2,E05_01,Бульдозеры колесные,Бульдозеры колесные,05-KAR-UOGR-BZ09,Бульдозер колесный №2,05-KAR-UOGR-BLDZ,Выемочно-транспортирующие машины,01.07.2022
27,Полюс Магадан,100000084822,Экскаватор гидравл. R950 №1,E03_01,Экскаваторы гидравли,Экскаваторы гидравлические,05-KAR-UOGR-R901,Экскаватор гидравл. №1,05-KAR-UOGR,Участок открытых горных работ,01.03.2022
28,Полюс Магадан,100000084823,Автогрейдер 16M №4,E06_01,Автогрейдеры,Автогрейдеры,05-ATC-AG05,Автогрейдер №4,05-ATC-AVGR,Автогрейдеры,01.07.2022
29,Полюс Магадан,100000089945,Бульдозер гусеничный D275A-5D №7,E05_02,Бульдозеры гусеничны,Бульдозеры гусеничные,05-KAR-UOGR-BZ15,Бульдозер гусеничный №7,05-KAR-UOGR-BLDZ,Выемочно-транспортирующие машины,01.08.2022
30,Полюс Магадан,100000090003,Станок буровой SmartROC D65SF №7,E02_03,Станки буровые ударн,Станки буровые ударно-вращательного бур.,05-KAR-UBVR-RD01,Станок буровой №7,05-KAR-UBVR-RD65,Станки буровые SmartROC D65,01.08.2022
31,Полюс Магадан,100000090004,Станок буровой SmartROC D65SF №8,E02_03,Станки буровые ударн,Станки буровые ударно-вращательного бур.,05-KAR-UBVR-RD02,Станок буровой №8,05-KAR-UBVR-RD65,Станки буровые SmartROC D65,01.08.2022
32,Полюс Магадан,100000090005,Станок буровой SmartROC D65SF №9,E02_03,Станки буровые ударн,Станки буровые ударно-вращательного бур.,05-KAR-UBVR-RD03,Станок буровой №9,05-KAR-UBVR-RD65,Станки буровые SmartROC D65,01.08.2022
33,Полюс Магадан,100000090006,Экскаватор гидравл. PC400-7 №5,E03_01,Экскаваторы гидравли,Экскаваторы гидравлические,05-KAR-UOGR-EG04,Экскаватор гидравл. №5,05-KAR-UOGR-EXGD,Экскаваторы гидравлические,01.07.2022
34,Полюс Вернинское,100000068268,Автогрейдер САТ 140М №1503,E06_01,Автогрейдеры,Автогрейдеры,03-KON-0PDT-OS07,Автогрейдер 140М №1502,03-KON-0PDT-ODRS,Оборудование дорожно-строительное,01.01.2021
35,Полюс Вернинское,100000068229,Самосвал карьерный БЕЛАЗ-7547 №2443,E01_01,Самосвалы карьерные,Самосвалы карьерные,03-KON-OBSL-OB04,БелАЗ-7547 №2443,03-KON-OBSL-PBEL,Самосвалы БелАЗ-7547,01.01.2021
36,Полюс Вернинское,100000068227,Самосвал карьерный БЕЛАЗ-7547 №2441,E01_01,Самосвалы карьерные,Самосвалы карьерные,03-KON-OBSL-OB02,БелАЗ-7547 №2441,03-KON-OBSL-PBEL,Самосвалы БелАЗ-7547,01.01.2021
37,Полюс Вернинское,100000068228,Самосвал карьерный БЕЛАЗ-7547 №2442,E01_01,Самосвалы карьерные,Самосвалы карьерные,03-KON-OBSL-OB03,БелАЗ-7547 №2442,03-KON-OBSL-PBEL,Самосвалы БелАЗ-7547,01.02.2021
38,Полюс Вернинское,100000068231,Самосвал карьерный БЕЛАЗ-7547 №2445,E01_01,Самосвалы карьерные,Самосвалы карьерные,03-KON-OBSL-OB06,БелАЗ-7547 №2445,03-KON-OBSL-PBEL,Самосвалы БелАЗ-7547,01.01.2021
39,Полюс Вернинское,100000068232,Самосвал карьерный БЕЛАЗ-7547 №2446,E01_01,Самосвалы карьерные,Самосвалы карьерные,03-KON-OBSL-OB07,БелАЗ-7547 №2446,03-KON-OBSL-PBEL,Самосвалы БелАЗ-7547,01.02.2021
40,Полюс Вернинское,100000068230,Самосвал карьерный БЕЛАЗ-7547 №2444,E01_01,Самосвалы карьерные,Самосвалы карьерные,03-KON-OBSL-OB05,БелАЗ-7547 №2444,03-KON-OBSL-PBEL,Самосвалы БелАЗ-7547,01.01.2021
41,Олимпиадинский ГОК,100000043583,ЭД асинх,E03_02,Экскаваторы электрич,Двигатели асинхронные,11-RUD-BLAG-UGBL-E105,Экскаватор электрический №02,11-RUD-BLAG-UGBL-EG10,Экскаваторы ЭКГ-10,01.09.1996
42,Олимпиадинский ГОК,100000062743,Экскаватор электрический ЭКГ-10 №02,E03_02,Экскаваторы электрич,Экскаваторы электрические,11-RUD-BLAG-UGBL-E105,Экскаватор электрический №02,11-RUD-BLAG-UGBL-EG10,Экскаваторы ЭКГ-10,01.09.1996
43,Олимпиадинский ГОК,100000043608,ЭД асинх,E03_02,Экскаваторы электрич,Двигатели асинхронные,11-RUD-VOST-UGVS-E102,Экскаватор электрический №08,11-RUD-VOST-UGVS-EG10,Экскаваторы ЭКГ-10,14.09.2021
44,Олимпиадинский ГОК,100000043632,ЭД асинх,E03_02,Экскаваторы электрич,Двигатели асинхронные,11-RUD-VOST-UGVS-E102,Экскаватор электрический №08,11-RUD-VOST-UGVS-EG10,Экскаваторы ЭКГ-10,14.09.2021
45,Олимпиадинский ГОК,100000062744,Экскаватор электрический ЭКГ-10 №08,E03_02,Экскаваторы электрич,Экскаваторы электрические,11-RUD-VOST-UGVS-E102,Экскаватор электрический №08,11-RUD-VOST-UGVS-EG10,Экскаваторы ЭКГ-10,01.04.1998
46,Олимпиадинский ГОК,100000043277,Генератор постоянного тока,E03_02,Экскаваторы электрич,Узлы,11-RUD-VOST-UGVS-E103,Экскаватор электрический №09,11-RUD-VOST-UGVS-EG10,Экскаваторы ЭКГ-10,01.04.1998
47,Олимпиадинский ГОК,100000043609,ЭД асинх,E03_02,Экскаваторы электрич,Двигатели асинхронные,11-RUD-VOST-UGVS-E103,Экскаватор электрический №09,11-RUD-VOST-UGVS-EG10,Экскаваторы ЭКГ-10,01.04.1998
48,Олимпиадинский ГОК,100000062745,Экскаватор электрический ЭКГ-10 №09,E03_02,Экскаваторы электрич,Экскаваторы электрические,11-RUD-VOST-UGVS-E103,Экскаватор электрический №09,11-RUD-VOST-UGVS-EG10,Экскаваторы ЭКГ-10,01.04.1998
49,Олимпиадинский ГОК,100000043279,Генератор постоянного тока,E03_02,Экскаваторы электрич,Узлы,11-RUD-VOST-UGVS-E104,Экскаватор электрический №10,11-RUD-VOST-UGVS-EG10,Экскаваторы ЭКГ-10,01.04.1999
50,Олимпиадинский ГОК,100000043306,Генератор привода поворота,E03_02,Экскаваторы электрич,Узлы,11-RUD-VOST-UGVS-E104,Экскаватор электрический №10,11-RUD-VOST-UGVS-EG10,Экскаваторы ЭКГ-10,01.04.1999
