Unnamed: 0,eo_code,eo_model_name,eo_model_id,strategy_id,eo_description,teh_mesto,mvz,eo_class_code,eo_class_description,eo_main_code,eo_main_description,eo_main_class_code,eo_main_class_description,teh_mesto_description,level_upper,code,level_1,level_1_code,level_2_code,level_2_path,level_3_code,level_5,level_6,level_7,level_8,operation_start_date,avearage_day_operation_hours,operation_finish_date,level_1_description,constr_type,avearage_day_operation_hours_updated,avearage_day_operation_hours 2,operation_status 01.03.2022,Дата ввода в экспл.(полностью включая день),Плановая дата вывода из эксплуат.(полностью включая день),Наработка 1.03.2022,ТипЕдОборуд,constr_type_description,Дата списания,Дата последнего капитального ремонта,Вышестоящая ЕО,Unnamed: 42,Unnamed: 43
51640,100000065614,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №508,11-RUD-CGTR-SEBT-CC57,1113011620,E01_01,Самосвалы карьерные,100000065614,Самосвал карьерный 785C №508,E01_01,Самосвалы карьерные,Самосвал карьерный №508,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC57,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2011-02-28,20.0,2023-07-01,Олимпиадинский ГОК,960000001,20,20,Эксплуатация,28.02.2011,01.07.2023,"86337,42",,,,,,,
51669,100000065615,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №509,11-RUD-CGTR-SEBT-CC58,1113011620,E01_01,Самосвалы карьерные,100000065615,Самосвал карьерный 785C №509,E01_01,Самосвалы карьерные,Самосвал карьерный №509,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC58,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2011-02-18,20.0,2023-07-01,Олимпиадинский ГОК,960000001,20,20,Эксплуатация,18.02.2011,01.07.2023,"85427,7",,,,,,,
51706,100000065616,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №510,11-RUD-CGTR-SEBT-CC59,1113011620,E01_01,Самосвалы карьерные,100000065616,Самосвал карьерный 785C №510,E01_01,Самосвалы карьерные,Самосвал карьерный №510,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC59,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2011-02-28,20.0,2023-07-01,Олимпиадинский ГОК,960000001,20,20,Эксплуатация,28.02.2011,01.07.2023,"87705,88",,,,,,,
51861,100000065617,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №511,11-RUD-CGTR-SEBT-CC60,1113011620,E01_01,Самосвалы карьерные,100000065617,Самосвал карьерный 785C №511,E01_01,Самосвалы карьерные,Самосвал карьерный №511,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC60,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2011-02-28,20.0,2023-07-01,Олимпиадинский ГОК,960000001,20,20,Эксплуатация,28.02.2011,01.07.2023,"84103,72",,,,,,,
51874,100000065618,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №512,11-RUD-CGTR-SEBT-CC61,1113011620,E01_01,Самосвалы карьерные,100000065618,Самосвал карьерный 785C №512,E01_01,Самосвалы карьерные,Самосвал карьерный №512,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC61,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2011-03-31,20.27,2023-07-01,Олимпиадинский ГОК,960000001,"20,2739726","20,2739726",Эксплуатация,31.03.2011,01.07.2023,85973,,,,,,,
52183,100000065619,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №514,11-RUD-CGTR-SEBT-CC62,1113011620,E01_01,Самосвалы карьерные,100000065619,Самосвал карьерный 785C №514,E01_01,Самосвалы карьерные,Самосвал карьерный №514,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC62,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2011-03-31,20.0,2023-07-01,Олимпиадинский ГОК,960000001,20,20,Эксплуатация,31.03.2011,01.07.2023,"81411,13",,,,,,,
52342,100000065620,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №515,11-RUD-CGTR-SEBT-CC63,1113011620,E01_01,Самосвалы карьерные,100000065620,Самосвал карьерный 785C №515,E01_01,Самосвалы карьерные,Самосвал карьерный №515,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC63,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2011-04-30,20.27,2023-07-01,Олимпиадинский ГОК,960000001,"20,2739726","20,2739726",Эксплуатация,30.04.2011,01.07.2023,"85986,22",,,,,,,
52351,100000065968,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №416,11-RUD-CGTR-SEBT-CC15,1113011620,E01_01,Самосвалы карьерные,100000065968,Самосвал карьерный 785C №416,E01_01,Самосвалы карьерные,Самосвал карьерный №416,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC15,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2011-04-30,20.27,2023-07-01,Олимпиадинский ГОК,960000001,"20,2739726","20,2739726",Эксплуатация,30.04.2011,01.07.2023,"83649,36",,,,,,,
52359,100000065969,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №417,11-RUD-CGTR-SEBT-CC16,1113011620,E01_01,Самосвалы карьерные,100000065969,Самосвал карьерный 785C №417,E01_01,Самосвалы карьерные,Самосвал карьерный №417,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC16,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2011-04-30,20.27,2023-07-01,Олимпиадинский ГОК,960000001,"20,2739726","20,2739726",Эксплуатация,30.04.2011,01.07.2023,"80693,17",,,,,,,
52370,100000065970,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №418,11-RUD-CGTR-SEBT-CC17,1113011620,E01_01,Самосвалы карьерные,100000065970,Самосвал карьерный 785C №418,E01_01,Самосвалы карьерные,Самосвал карьерный №418,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC17,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2011-04-30,20.27,2023-07-01,Олимпиадинский ГОК,960000001,"20,2739726","20,2739726",Эксплуатация,30.04.2011,01.07.2023,"86186,37",,,,,,,
52382,100000065971,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №419,11-RUD-CGTR-SEBT-CC18,1113011620,E01_01,Самосвалы карьерные,100000065971,Самосвал карьерный 785C №419,E01_01,Самосвалы карьерные,Самосвал карьерный №419,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC18,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2011-04-30,20.27,2023-07-01,Олимпиадинский ГОК,960000001,"20,2739726","20,2739726",Эксплуатация,30.04.2011,01.07.2023,"83894,72",,,,,,,
52741,100000065972,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №420,11-RUD-CGTR-SEBT-CC19,1113011620,E01_01,Самосвалы карьерные,100000065972,Самосвал карьерный 785C №420,E01_01,Самосвалы карьерные,Самосвал карьерный №420,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC19,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2011-04-30,20.27,2023-07-01,Олимпиадинский ГОК,960000001,"20,2739726","20,2739726",Эксплуатация,30.04.2011,01.07.2023,"83969,03",,,,,,,
52754,100000065974,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №422,11-RUD-CGTR-SEBT-CC21,1113011620,E01_01,Самосвалы карьерные,100000065974,Самосвал карьерный 785C №422,E01_01,Самосвалы карьерные,Самосвал карьерный №422,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC21,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2011-04-30,20.27,2023-07-01,Олимпиадинский ГОК,960000001,"20,2739726","20,2739726",Эксплуатация,30.04.2011,01.07.2023,"83384,04",,,,,,,
52771,100000065975,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №425,11-RUD-CGTR-SEBT-CC24,1113011620,E01_01,Самосвалы карьерные,100000065975,Самосвал карьерный 785C №425,E01_01,Самосвалы карьерные,Самосвал карьерный №425,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC24,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2011-05-26,20.72,2023-07-01,Олимпиадинский ГОК,960000001,"20,71780822","20,71780822",Эксплуатация,26.05.2011,01.07.2023,"80234,58",,,,,,,
52796,100000065622,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №516,11-RUD-CGTR-SEBT-CC64,1113011620,E01_01,Самосвалы карьерные,100000065622,Самосвал карьерный 785C №516,E01_01,Самосвалы карьерные,Самосвал карьерный №516,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC64,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2011-05-20,20.27,2023-07-01,Олимпиадинский ГОК,960000001,"20,2739726","20,2739726",Эксплуатация,20.05.2011,01.07.2023,"83784,41",,,,,,,
