,Unnamed: 0.1,Название ЕО,ЕО,ТекстПланаПредупрТОРО,Название ВРТ,ВидЗаказа,Заказ,КраткийТекст заказа,СистСтатус,ПользСтатус,ПланДатаНачала,НовДатаНачала,ПланДатаНачала_month,НовДатаНачала_month,статус переноса,planned_in_jan_and_remaining_in_jan,planned_in_jan_moved_to_somewhere,planned_in_jan_moved_to_feb,planned_in_jan_moved_to_mar,planned_in_jan_moved_to_apr,planned_in_jan_moved_to_may,planned_in_jan_moved_to_jun,planned_in_jan_moved_to_jul,planned_in_jan_moved_to_aug,planned_in_jan_moved_to_sep,planned_in_jan_moved_to_oct,planned_in_jan_moved_to_nov,planned_in_jan_moved_to_dec,eo_description,teh_mesto,mvz,eo_class_code,eo_class_description,eo_main_code,eo_main_description,eo_main_class_code,eo_main_class_description,teh_mesto_description,level_upper,code,level_1,level_1_code,level_2_code,level_2_path,level_3_code,level_5,level_6,level_7,level_8,level_1_description,Unnamed: 0,Вышестоящее техместо,Комментарий,comment_category
0,0,Экскаватор гидравл. PC220-8 №1214,100000008679,Экскаватор PC220-8 №1214 МТЧ,Текущий ремонт 1,APP1,1100360866,ТР1 рабочего оборудования,ПЕЧТ ПДТВ ПКАЛ ПРВВ ТЗКР ДМНП KKMP JBFI,ГОД  УТВГ МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПРНТ СГГС,2022-01-01,2022-01-07,1,1,без переноса в другой месяц,1,0,0,0,0,0,0,0,0,0,0,0,0,Экскаватор гидравл. PC220-8 №1214,03-RUD-EKSK-VOBR-EX06,1214011820.0,E03_01,Экскаваторы гидравлические,100000008679,Экскаватор гидравл. PC220-8 №1214,E03_01,Экскаваторы гидравли,Экскаватор №1214,03-RUD-EKSK-VOBR-EXCV,first03-RUD-EKSK-VOBR-EX06,first03,03,RUD,03-RUD,EKSK,-,EKSK,VOBR,no_data,Полюс Вернинское,3627,Экскаваторы,нет комментария,нет комментария
1,1,Самосвал карьерный 785C №1620,100000008674,Самосвал 785C №1620,Техническое обслуживание 5,APP1,1100358748,Техническое обслуживание 5,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-01-01,2022-07-06,1,7,перенос в другой месяц,0,1,0,0,0,0,0,1,0,0,0,0,0,Самосвал карьерный 785C №1620,03-CTT-CC02,1213011420.0,E01_01,Самосвалы карьерные,100000008674,Самосвал карьерный 785C №1620,E01_01,Самосвалы карьерные,Самосвал №1620,03-CTT-C785,first03-CTT-CC02,first03,03,CTT,03-CTT,CC02,-,CC02,no_data,no_data,Полюс Вернинское,2523,Самосвалы CAT 785C,нет комментария,нет комментария
2,2,Экскаватор гидравл. PC220-8 №1214,100000008679,Экскаватор PC220-8 №1214 МТЧ,Техническое обслуживание 1,APP1,1100360932,Техническое обслуживание 1,ПЕЧТ ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП MOBI JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПРНТ СРОЧ МТРЦ ТКБЕ ПРЭК СГГС,2022-01-01,2022-01-19,1,1,без переноса в другой месяц,1,0,0,0,0,0,0,0,0,0,0,0,0,Экскаватор гидравл. PC220-8 №1214,03-RUD-EKSK-VOBR-EX06,1214011820.0,E03_01,Экскаваторы гидравлические,100000008679,Экскаватор гидравл. PC220-8 №1214,E03_01,Экскаваторы гидравли,Экскаватор №1214,03-RUD-EKSK-VOBR-EXCV,first03-RUD-EKSK-VOBR-EX06,first03,03,RUD,03-RUD,EKSK,-,EKSK,VOBR,no_data,Полюс Вернинское,3627,Экскаваторы,нет комментария,нет комментария
3,3,Самосвал карьерный HD1500-8 №1630,100000071921,Самосвал HD1500-8 №1630 МТЧ,Техническое обслуживание 1,APP1,1100364220,Техническое обслуживание 1,НЕВЫ ПКАЛ ЗАКР МТКУ ДМНП,ГОД  УТВГ УТВП МЕС  ГИП  СРОЧ МТРЦ ТКБЕ ССПЛ,2022-01-01,2022-02-01,1,2,перенос в другой месяц,0,1,1,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD1500-8 №1630,03-CTT-KM10,1213011320.0,E01_01,Самосвалы карьерные,100000071921,Самосвал карьерный HD1500-8 №1630,E01_01,Самосвалы карьерные,Самосвал №1630,03-CTT-K150,first03-CTT-KM10,first03,03,CTT,03-CTT,KM10,-,KM10,no_data,no_data,Полюс Вернинское,7064,Самосвалы Komatsu HD1500-8,Корректировка ремонтной программы,Корректировка ремонтной программы
4,4,Самосвал карьерный HD1500-8 №1624,100000021344,Самосвал HD1500-8 №1624 МТЧ,Техническое обслуживание 2,APP1,1100360738,Техническое обслуживание 2,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ СРОЧ МТРЦ ТКБЕ ПЗТГ СГГС,2022-01-01,2022-02-12,1,2,перенос в другой месяц,0,1,1,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD1500-8 №1624,03-CTT-KM04,1213011320.0,E01_01,Самосвалы карьерные,100000021344,Самосвал карьерный HD1500-8 №1624,E01_01,Самосвалы карьерные,Самосвал №1624,03-CTT-K150,first03-CTT-KM04,first03,03,CTT,03-CTT,KM04,-,KM04,no_data,no_data,Полюс Вернинское,7064,Самосвалы Komatsu HD1500-8,Корректировка ремонтной программы,Корректировка ремонтной программы
5,5,Экскаватор гидравл. PC400-7 №1202,100000008676,Экскаватор PC400-7 №1202 МТЧ,Техническое обслуживание 1,APP1,1100360771,Техническое обслуживание 1,ПЕЧТ ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП MOBI JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПРНТ МТРЦ ТКБЕ СГГС,2022-01-02,2022-01-22,1,1,без переноса в другой месяц,1,0,0,0,0,0,0,0,0,0,0,0,0,Экскаватор гидравл. PC400-7 №1202,03-RUD-EKSK-VOBR-EX02,1214011820.0,E03_01,Экскаваторы гидравлические,100000008676,Экскаватор гидравл. PC400-7 №1202,E03_01,Экскаваторы гидравли,Экскаватор №1202,03-RUD-EKSK-VOBR-EXCV,first03-RUD-EKSK-VOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,VOBR,no_data,Полюс Вернинское,3627,Экскаваторы,нет комментария,нет комментария
6,6,Экскаватор гидравл. PC400LC-7 №1209,100000022894,Экскаватор PC400LC-7 №1209 МТЧ,Текущий ремонт 1,APP1,1100360712,ТР1 рабочего оборудования,ПЕЧТ ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ ПРНТ МТРЦ ТКБЕ СГГС,2022-01-02,2022-01-08,1,1,без переноса в другой месяц,1,0,0,0,0,0,0,0,0,0,0,0,0,Экскаватор гидравл. PC400LC-7 №1209,03-RUD-EKSK-VOBR-EX07,1214011820.0,E03_01,Экскаваторы гидравлические,100000022894,Экскаватор гидравл. PC400LC-7 №1209,E03_01,Экскаваторы гидравли,Экскаватор №1209,03-RUD-EKSK-VOBR-EXCV,first03-RUD-EKSK-VOBR-EX07,first03,03,RUD,03-RUD,EKSK,-,EKSK,VOBR,no_data,Полюс Вернинское,3627,Экскаваторы,нет комментария,нет комментария
7,7,Экскаватор гидравл. PC400LC-7 №1209,100000022894,Экскаватор PC400LC-7 №1209 МТЧ,Техническое обслуживание 1,APP1,1100360982,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-01-02,2022-10-16,1,10,перенос в другой месяц,0,1,0,0,0,0,0,0,0,0,1,0,0,Экскаватор гидравл. PC400LC-7 №1209,03-RUD-EKSK-VOBR-EX07,1214011820.0,E03_01,Экскаваторы гидравлические,100000022894,Экскаватор гидравл. PC400LC-7 №1209,E03_01,Экскаваторы гидравли,Экскаватор №1209,03-RUD-EKSK-VOBR-EXCV,first03-RUD-EKSK-VOBR-EX07,first03,03,RUD,03-RUD,EKSK,-,EKSK,VOBR,no_data,Полюс Вернинское,3627,Экскаваторы,нет комментария,нет комментария
8,8,Экскаватор гидравл. PC400-7 №1202,100000008676,Экскаватор PC400-7 №1202 МТЧ,Текущий ремонт 1,APP1,1100361247,ТР1 рабочего оборудования,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ СРОЧ МТРЦ ТКБЕ ПЗТГ СГГС,2022-01-02,2022-02-13,1,2,перенос в другой месяц,0,1,1,0,0,0,0,0,0,0,0,0,0,Экскаватор гидравл. PC400-7 №1202,03-RUD-EKSK-VOBR-EX02,1214011820.0,E03_01,Экскаваторы гидравлические,100000008676,Экскаватор гидравл. PC400-7 №1202,E03_01,Экскаваторы гидравли,Экскаватор №1202,03-RUD-EKSK-VOBR-EXCV,first03-RUD-EKSK-VOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,VOBR,no_data,Полюс Вернинское,3627,Экскаваторы,"Перенос на более поздний срок, ввиду полученой информации от МТО по срокам поставки",сроки поставки запчастей (компонентов)
9,9,Экскаватор гидравл. PC400LC-7 №1210,100000006414,Экскаватор PC400LC-7 №1210 МТЧ,Текущий ремонт 1,APP1,1100360911,ТР1 рабочего оборудования,ПЕЧТ ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПРНТ СРОЧ МТРЦ ТКБЕ СГГС,2022-01-04,2022-01-26,1,1,без переноса в другой месяц,1,0,0,0,0,0,0,0,0,0,0,0,0,Экскаватор гидравл. PC400LC-7 №1210,03-RUD-EKSK-VOBR-EX03,1214011820.0,E03_01,Экскаваторы гидравлические,100000006414,Экскаватор гидравл. PC400LC-7 №1210,E03_01,Экскаваторы гидравли,Экскаватор №1210,03-RUD-EKSK-VOBR-EXCV,first03-RUD-EKSK-VOBR-EX03,first03,03,RUD,03-RUD,EKSK,-,EKSK,VOBR,no_data,Полюс Вернинское,3627,Экскаваторы,нет комментария,нет комментария
10,10,Экскаватор гидравл. PC400LC-7 №1210,100000006414,Экскаватор PC400LC-7 №1210 МТЧ,Текущий ремонт 1,APP1,1100360911,ТР1 рабочего оборудования,ПЕЧТ ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПРНТ СРОЧ МТРЦ ТКБЕ СГГС,2022-01-04,2022-01-26,1,1,без переноса в другой месяц,1,0,0,0,0,0,0,0,0,0,0,0,0,Экскаватор гидравл. PC400LC-7 №1210,03-RUD-EKSK-VOBR-EX03,1214011820.0,E03_01,Экскаваторы гидравлические,100000006414,Экскаватор гидравл. PC400LC-7 №1210,E03_01,Экскаваторы гидравли,Экскаватор №1210,03-RUD-EKSK-VOBR-EXCV,first03-RUD-EKSK-VOBR-EX03,first03,03,RUD,03-RUD,EKSK,-,EKSK,VOBR,no_data,Полюс Вернинское,3627,Экскаваторы,нет комментария,нет комментария
11,11,Экскаватор гидравл. PC400LC-7 №1210,100000006414,Экскаватор PC400LC-7 №1210 МТЧ,Техническое обслуживание 1,APP1,1100360949,Техническое обслуживание 1,ПЕЧТ ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП MOBI JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПРНТ МТРЦ ТКБЕ ПРЭК СГГС,2022-01-04,2022-01-15,1,1,без переноса в другой месяц,1,0,0,0,0,0,0,0,0,0,0,0,0,Экскаватор гидравл. PC400LC-7 №1210,03-RUD-EKSK-VOBR-EX03,1214011820.0,E03_01,Экскаваторы гидравлические,100000006414,Экскаватор гидравл. PC400LC-7 №1210,E03_01,Экскаваторы гидравли,Экскаватор №1210,03-RUD-EKSK-VOBR-EXCV,first03-RUD-EKSK-VOBR-EX03,first03,03,RUD,03-RUD,EKSK,-,EKSK,VOBR,no_data,Полюс Вернинское,3627,Экскаваторы,нет комментария,нет комментария
12,12,Самосвал карьерный HD1500-8 №1629,100000022783,ТР Самосвал HD1500-8 №1629,Текущий ремонт,APP1,1100381289,ТР Самосвал HD1500-8 №1629,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ СГГС,2022-01-04,2022-02-05,1,2,перенос в другой месяц,0,1,1,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD1500-8 №1629,03-CTT-KM09,1213011320.0,E01_01,Самосвалы карьерные,100000022783,Самосвал карьерный HD1500-8 №1629,E01_01,Самосвалы карьерные,Самосвал №1629,03-CTT-K150,first03-CTT-KM09,first03,03,CTT,03-CTT,KM09,-,KM09,no_data,no_data,Полюс Вернинское,7064,Самосвалы Komatsu HD1500-8,нет комментария,нет комментария
13,13,Самосвал карьерный HD785-7 №1610,100000008667,Самосвал HD785-7 №1610 МТЧ,Техническое обслуживание 1,APP1,1100359173,Техническое обслуживание 1,ПЕЧТ ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПРНТ СРОЧ МТРЦ ТКБЕ СГГС,2022-01-04,2022-01-10,1,1,без переноса в другой месяц,1,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD785-7 №1610,03-CTT-KD02,1213011220.0,E01_01,Самосвалы карьерные,100000008667,Самосвал карьерный HD785-7 №1610,E01_01,Самосвалы карьерные,Самосвал №1610,03-CTT-K787,first03-CTT-KD02,first03,03,CTT,03-CTT,KD02,-,KD02,no_data,no_data,Полюс Вернинское,4328,Самосвалы Komatsu HD785-7,нет комментария,нет комментария
14,14,Самосвал карьерный HD1500-8 №1629,100000022783,Самосвал HD1500-8 №1629 МТЧ,Техническое обслуживание 1,APP1,1100363036,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-01-04,2022-10-18,1,10,перенос в другой месяц,0,1,0,0,0,0,0,0,0,0,1,0,0,Самосвал карьерный HD1500-8 №1629,03-CTT-KM09,1213011320.0,E01_01,Самосвалы карьерные,100000022783,Самосвал карьерный HD1500-8 №1629,E01_01,Самосвалы карьерные,Самосвал №1629,03-CTT-K150,first03-CTT-KM09,first03,03,CTT,03-CTT,KM09,-,KM09,no_data,no_data,Полюс Вернинское,7064,Самосвалы Komatsu HD1500-8,нет комментария,нет комментария
15,15,Самосвал карьерный HD1500-8 №1621,100000006408,Самосвал HD1500-8 №1621 МТЧ,Техническое обслуживание 1,APP1,1100360305,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ СРОЧ МТРЦ ТКБЕ ПЗТГ СГГС,2022-01-04,2022-02-11,1,2,перенос в другой месяц,0,1,1,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD1500-8 №1621,03-CTT-KM01,1213011320.0,E01_01,Самосвалы карьерные,100000006408,Самосвал карьерный HD1500-8 №1621,E01_01,Самосвалы карьерные,Самосвал №1621,03-CTT-K150,first03-CTT-KM01,first03,03,CTT,03-CTT,KM01,-,KM01,no_data,no_data,Полюс Вернинское,7064,Самосвалы Komatsu HD1500-8,Корректировка ремонтной программы,Корректировка ремонтной программы
16,16,Самосвал карьерный HD785-7 №1610,100000008667,ТР Самосвал HD785-7 №1610,Текущий ремонт,APP1,1100381366,ТР Самосвал HD785-7 №1610,ПЕЧТ ПДТВ ПКАЛ ПРВВ ТЗКР ДМНП KKMP JBFI,ГОД  УТВГ МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПРНТ СГГС,2022-01-04,2022-01-15,1,1,без переноса в другой месяц,1,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD785-7 №1610,03-CTT-KD02,1213011220.0,E01_01,Самосвалы карьерные,100000008667,Самосвал карьерный HD785-7 №1610,E01_01,Самосвалы карьерные,Самосвал №1610,03-CTT-K787,first03-CTT-KD02,first03,03,CTT,03-CTT,KD02,-,KD02,no_data,no_data,Полюс Вернинское,4328,Самосвалы Komatsu HD785-7,нет комментария,нет комментария
17,17,Самосвал карьерный HD785-7 №1610,100000008667,ТР Самосвал HD785-7 №1610,Текущий ремонт,APP1,1100381366,ТР Самосвал HD785-7 №1610,ПЕЧТ ПДТВ ПКАЛ ПРВВ ТЗКР ДМНП KKMP JBFI,ГОД  УТВГ МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПРНТ СГГС,2022-01-04,2022-01-15,1,1,без переноса в другой месяц,1,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD785-7 №1610,03-CTT-KD02,1213011220.0,E01_01,Самосвалы карьерные,100000008667,Самосвал карьерный HD785-7 №1610,E01_01,Самосвалы карьерные,Самосвал №1610,03-CTT-K787,first03-CTT-KD02,first03,03,CTT,03-CTT,KD02,-,KD02,no_data,no_data,Полюс Вернинское,4328,Самосвалы Komatsu HD785-7,нет комментария,нет комментария
18,18,Самосвал карьерный БЕЛАЗ-7547 №2442,100000068228,(ТО) БелАЗ 7451 СЛ №2,Техническое обслуживание 3,APP1,1100368626,(ТО3) БелАЗ 7451 СЛ №2,ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПРНТ СРОЧ МТРЦ ТКБЕ СГГС,2022-01-05,2022-01-03,1,1,без переноса в другой месяц,1,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный БЕЛАЗ-7547 №2442,03-KON-OBSL-OB03,1245112123.0,E01_01,Самосвалы карьерные,100000068228,Самосвал карьерный БЕЛАЗ-7547 №2442,E01_01,Самосвалы карьерные,БелАЗ-7547 №2442,03-KON-OBSL-PBEL,first03-KON-OBSL-OB03,first03,03,KON,03-KON,OBSL,-,OBSL,OB03,no_data,Полюс Вернинское,8165,Самосвалы БелАЗ-7547,нет комментария,нет комментария
19,19,Ковш,100000009853,Экскаватор ЭКГ-10 №1207 МТЧ,Капитальный ремонт,APP1,1100354625,КР ковша,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ КРМТ СГГС,2022-01-05,2022-06-30,1,6,перенос в другой месяц,0,1,0,0,0,0,1,0,0,0,0,0,0,Ковш,03-RUD-EKSK-OOBR-EX02,1212011220.0,S00,Узлы,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,9327,Экскаваторы,нет комментария,нет комментария
20,20,Самосвал карьерный БЕЛАЗ-7547 №2442,100000068228,(ТО) БелАЗ 7451 СЛ №2,Техническое обслуживание 3,APP1,1100368626,(ТО3) БелАЗ 7451 СЛ №2,ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПРНТ СРОЧ МТРЦ ТКБЕ СГГС,2022-01-05,2022-01-03,1,1,без переноса в другой месяц,1,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный БЕЛАЗ-7547 №2442,03-KON-OBSL-OB03,1245112123.0,E01_01,Самосвалы карьерные,100000068228,Самосвал карьерный БЕЛАЗ-7547 №2442,E01_01,Самосвалы карьерные,БелАЗ-7547 №2442,03-KON-OBSL-PBEL,first03-KON-OBSL-OB03,first03,03,KON,03-KON,OBSL,-,OBSL,OB03,no_data,Полюс Вернинское,8165,Самосвалы БелАЗ-7547,нет комментария,нет комментария
21,21,Самосвал карьерный HD1500-8 №1622,100000006409,ТР Самосвал HD1500-8 №1622,Текущий ремонт,APP1,1100381243,ТР Самосвал HD1500-8 №1622,ПЕЧТ ПДТВ ПКАЛ ПРВВ ТЗКР ДМНП KKMP JBFI,ГОД  УТВГ МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПРНТ СГГС,2022-01-06,2022-01-04,1,1,без переноса в другой месяц,1,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD1500-8 №1622,03-CTT-KM02,1213011320.0,E01_01,Самосвалы карьерные,100000006409,Самосвал карьерный HD1500-8 №1622,E01_01,Самосвалы карьерные,Самосвал №1622,03-CTT-K150,first03-CTT-KM02,first03,03,CTT,03-CTT,KM02,-,KM02,no_data,no_data,Полюс Вернинское,7064,Самосвалы Komatsu HD1500-8,нет комментария,нет комментария
22,22,Самосвал карьерный HD1500-8 №1626,100000021466,Самосвал HD1500-8 №1626 МТЧ,Техническое обслуживание 2,APP1,1100361446,Техническое обслуживание 2,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ СРОЧ МТРЦ ТКБЕ ПЗТГ СГГС,2022-01-06,2022-02-06,1,2,перенос в другой месяц,0,1,1,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD1500-8 №1626,03-CTT-KM06,1213011320.0,E01_01,Самосвалы карьерные,100000021466,Самосвал карьерный HD1500-8 №1626,E01_01,Самосвалы карьерные,Самосвал №1626,03-CTT-K150,first03-CTT-KM06,first03,03,CTT,03-CTT,KM06,-,KM06,no_data,no_data,Полюс Вернинское,7064,Самосвалы Komatsu HD1500-8,Корректировка ремонтной программы,Корректировка ремонтной программы
23,23,Самосвал карьерный HD1500-8 №1622,100000006409,Самосвал HD1500-8 №1622 МТЧ,Техническое обслуживание 1,APP1,1100360699,Техническое обслуживание 1,ЧПЕЧ ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  ГИП  ПТОМ ПРНТ МТРЦ ТКБЕ СГГС,2022-01-06,2022-01-17,1,1,без переноса в другой месяц,1,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD1500-8 №1622,03-CTT-KM02,1213011320.0,E01_01,Самосвалы карьерные,100000006409,Самосвал карьерный HD1500-8 №1622,E01_01,Самосвалы карьерные,Самосвал №1622,03-CTT-K150,first03-CTT-KM02,first03,03,CTT,03-CTT,KM02,-,KM02,no_data,no_data,Полюс Вернинское,7064,Самосвалы Komatsu HD1500-8,нет комментария,нет комментария
24,24,Самосвал карьерный БЕЛАЗ-7547 №2446,100000068232,ТО БелАЗ 7451 СЛ №6,Техническое обслуживание 1,APP1,1100368764,ТО-1 БелАЗ 7451 СЛ №6,ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПРНТ МТРЦ ТКБЕ СГГС,2022-01-07,2022-01-24,1,1,без переноса в другой месяц,1,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный БЕЛАЗ-7547 №2446,03-KON-OBSL-OB07,1245112123.0,E01_01,Самосвалы карьерные,100000068232,Самосвал карьерный БЕЛАЗ-7547 №2446,E01_01,Самосвалы карьерные,БелАЗ-7547 №2446,03-KON-OBSL-PBEL,first03-KON-OBSL-OB07,first03,03,KON,03-KON,OBSL,-,OBSL,OB07,no_data,Полюс Вернинское,8165,Самосвалы БелАЗ-7547,нет комментария,нет комментария
25,25,Самосвал карьерный БЕЛАЗ-7547 №2446,100000068232,ТО БелАЗ 7451 СЛ №6,Техническое обслуживание 1,APP1,1100368764,ТО-1 БелАЗ 7451 СЛ №6,ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПРНТ МТРЦ ТКБЕ СГГС,2022-01-07,2022-01-24,1,1,без переноса в другой месяц,1,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный БЕЛАЗ-7547 №2446,03-KON-OBSL-OB07,1245112123.0,E01_01,Самосвалы карьерные,100000068232,Самосвал карьерный БЕЛАЗ-7547 №2446,E01_01,Самосвалы карьерные,БелАЗ-7547 №2446,03-KON-OBSL-PBEL,first03-KON-OBSL-OB07,first03,03,KON,03-KON,OBSL,-,OBSL,OB07,no_data,Полюс Вернинское,8165,Самосвалы БелАЗ-7547,нет комментария,нет комментария
26,26,Экскаватор электрический WK-20 №1220,100000007087,Экскаватор WK-20 МТЧ,Техническое обслуживание 2,APP1,1100354116,Техническое обслуживание 2,ПЕЧТ ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП MOBI JBFI,ГОД  УТВГ УТВП МЕС  НЕД  УТВН ГИП  ПТОМ ПРНТ СРОЧ МТРЦ ТКБЕ СГГС,2022-01-07,2022-01-06,1,1,без переноса в другой месяц,1,0,0,0,0,0,0,0,0,0,0,0,0,Экскаватор электрический WK-20 №1220,03-RUD-EKSK-OOBR-EX04,1212011520.0,E03_02,Экскаваторы электрические,100000007087,Экскаватор электрический WK-20 №1220,E03_02,Экскаваторы электрич,Экскаватор №1220,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX04,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,9327,Экскаваторы,нет комментария,нет комментария
27,27,Экскаватор гидравл. PC400-7 №1201,100000008675,Экскаватор PC400-7 №1201 МТЧ,Техническое обслуживание 1,APP1,1100360215,Техническое обслуживание 1,ДЕБЛ ПЕЧТ ПКАЛ ПРВВ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ СРОЧ МТРЦ ТКБЕ ПЗТГ СГГС,2022-01-08,2022-02-18,1,2,перенос в другой месяц,0,1,1,0,0,0,0,0,0,0,0,0,0,Экскаватор гидравл. PC400-7 №1201,03-RUD-EKSK-VOBR-EX01,1214011820.0,E03_01,Экскаваторы гидравлические,100000008675,Экскаватор гидравл. PC400-7 №1201,E03_01,Экскаваторы гидравли,Экскаватор №1201,03-RUD-EKSK-VOBR-EXCV,first03-RUD-EKSK-VOBR-EX01,first03,03,RUD,03-RUD,EKSK,-,EKSK,VOBR,no_data,Полюс Вернинское,3627,Экскаваторы,"без экипажа - перенос на 01.02 и сдвиг по году из-за отсутствия экипажа, поэтому всё равно в февраль включили, но понимания когда наберут экипаж нет ни у кого",без экипажа
28,28,Экскаватор гидравл. PC400-7 №1201,100000008675,Экскаватор PC400-7 №1201 МТЧ,Текущий ремонт 1,APP1,1100360071,ТР1 рабочего оборудования,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ СРОЧ МТРЦ ТКБЕ ПЗТГ СГГС,2022-01-08,2022-02-01,1,2,перенос в другой месяц,0,1,1,0,0,0,0,0,0,0,0,0,0,Экскаватор гидравл. PC400-7 №1201,03-RUD-EKSK-VOBR-EX01,1214011820.0,E03_01,Экскаваторы гидравлические,100000008675,Экскаватор гидравл. PC400-7 №1201,E03_01,Экскаваторы гидравли,Экскаватор №1201,03-RUD-EKSK-VOBR-EXCV,first03-RUD-EKSK-VOBR-EX01,first03,03,RUD,03-RUD,EKSK,-,EKSK,VOBR,no_data,Полюс Вернинское,3627,Экскаваторы,"Перенос на более поздний срок, ввиду полученой информации от МТО по срокам поставки",сроки поставки запчастей (компонентов)
