БЕ,Класс ЕО,Тип конструкции,Техместо,МВЗ,Модель ЕО,ЕО,Наименоваание ЕО,Дата начала эксплуатации,Дата завершения эксплуатации,Среднесуточная наработка,Наработка 1.03.2022,level_1
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD26,1113011920,Самосвалы CAT 793D,100000065542,Самосвал карьерный 793D №727,2018-08-02,2030-01-01,"20,7","26747,91",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD10,1113011920,Самосвалы CAT 793D,100000065524,Самосвал карьерный 793D №710,2018-01-31,2030-01-01,"20,9","31480,9",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD38,1113011920,Самосвалы CAT 793D,100000026807,Самосвал карьерный 793D №739,2019-11-06,2030-01-01,21,"17367,68",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD30,1113011920,Самосвалы CAT 793D,100000065547,Самосвал карьерный 793D №731,2018-09-03,2030-01-01,"20,7","26608,46",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD39,1113011920,Самосвалы CAT 793D,100000026808,Самосвал карьерный 793D №740,2019-11-14,2030-01-01,21,"17429,6",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD14,1113011920,Самосвалы CAT 793D,100000065529,Самосвал карьерный 793D №715,2018-04-12,2030-01-01,"20,7","29687,56",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD18,1113011920,Самосвалы CAT 793D,100000065532,Самосвал карьерный 793D №719,2018-05-11,2030-01-01,"20,7","28927,41",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD07,1113011920,Самосвалы CAT 793D,100000065521,Самосвал карьерный 793D №707,2017-12-18,2030-01-01,"20,9","32498,37",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD58,1113011920,Самосвалы CAT 793D,100000054859,Самосвал карьерный 793D №759,2021-01-15,2030-01-01,"21,5","9330,96",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD27,1113011920,Самосвалы CAT 793D,100000065543,Самосвал карьерный 793D №728,2018-08-10,2030-01-01,"20,7","26267,43",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD51,1113011920,Самосвалы CAT 793D,100000054852,Самосвал карьерный 793D №752,2020-11-20,2030-01-01,"21,5","10469,12",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD43,1113011920,Самосвалы CAT 793D,100000036420,Самосвал карьерный 793D №744,2020-01-01,2030-01-01,21,"15840,08",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD63,1113011920,Самосвалы CAT 793D,100000054980,Самосвал карьерный 793D №764,2021-05-10,2030-01-01,"21,5","6817,89",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD01,1113011920,Самосвалы CAT 793D,100000065514,Самосвал карьерный 793D №701,2017-11-01,2030-01-01,"20,9","33495,63",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD59,1113011920,Самосвалы CAT 793D,100000054860,Самосвал карьерный 793D №760,2021-02-01,2030-01-01,"21,5","8564,22",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD65,1113011920,Самосвалы CAT 793D,100000054982,Самосвал карьерный 793D №766,2021-07-20,2030-01-01,"21,5","5180,48",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD36,1113011920,Самосвалы CAT 793D,100000026805,Самосвал карьерный 793D №737,2019-10-01,2030-01-01,21,"18458,13",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD69,1113011920,Самосвалы CAT 793D,100000054986,Самосвал карьерный 793D №770,2021-08-19,2030-01-01,"21,5","4498,59",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD72,1113011920,Самосвалы CAT 793D,100000054989,Самосвал карьерный 793D №773,2021-09-09,2030-01-01,"21,5","4034,99",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD62,1113011920,Самосвалы CAT 793D,100000054979,Самосвал карьерный 793D №763,2021-05-04,2030-01-01,"21,5","6891,16",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD73,1113011920,Самосвалы CAT 793D,100000054990,Самосвал карьерный 793D №774,2021-09-18,2030-01-01,"21,5","3805,05",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD53,1113011920,Самосвалы CAT 793D,100000054854,Самосвал карьерный 793D №754,2020-11-28,2030-01-01,"21,5",10384,first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD61,1113011920,Самосвалы CAT 793D,100000054978,Самосвал карьерный 793D №762,2021-05-03,2030-01-01,"21,5","6986,6",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD04,1113011920,Самосвалы CAT 793D,100000065517,Самосвал карьерный 793D №704,2017-11-30,2030-01-01,"20,9","33507,17",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD06,1113011920,Самосвалы CAT 793D,100000065520,Самосвал карьерный 793D №706,2017-12-21,2030-01-01,"20,9","32875,91",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD79,1113011920,Самосвалы CAT 793D,100000054996,Самосвал карьерный 793D №780,2021-12-04,2030-01-01,"21,5","2275,04",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD76,1113011920,Самосвалы CAT 793D,100000054993,Самосвал карьерный 793D №777,2021-10-09,2030-01-01,"21,5","3390,51",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD66,1113011920,Самосвалы CAT 793D,100000054983,Самосвал карьерный 793D №767,2021-07-25,2030-01-01,"21,5","5045,97",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD49,1113011920,Самосвалы CAT 793D,100000054850,Самосвал карьерный 793D №750,2020-11-12,2030-01-01,"21,5","10812,3",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD68,1113011920,Самосвалы CAT 793D,100000054985,Самосвал карьерный 793D №769,2021-08-11,2030-01-01,"21,5","4652,64",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD08,1113011920,Самосвалы CAT 793D,100000065523,Самосвал карьерный 793D №708,2017-12-27,2030-01-01,"20,9","32076,2",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD80,1113011920,Самосвалы CAT 793D,100000054997,Самосвал карьерный 793D №781,2023-02-01,2030-01-01,"20,37",,first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD57,1113011920,Самосвалы CAT 793D,100000054858,Самосвал карьерный 793D №758,2020-12-25,2030-01-01,"21,5",9869,first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD75,1113011920,Самосвалы CAT 793D,100000054992,Самосвал карьерный 793D №776,2021-10-06,2030-01-01,"21,5","3496,52",first11
