,Заказ,БазисСрокНачала,Плановая дата,ПользСтатус (заказа),СистСтатус,ОбщееВремяПростояТК,Краткий текст,СистСтатСообщТОРО,ЕО; teh_mesto; СПП-ЗаголЗаказа
65,1600129539,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 1 смена Komatsu HD785-7 №1611,СОРА ЗКПР,"100000008668
03-CTT-KD03
LT-1200-2022-2-014-02"
66,1600129425,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 1 смена Самосвал HD1500-8 №1622,СОРА ЗКПР,"100000006409
03-CTT-KM02
LT-1200-2022-2-014-02"
67,1600129416,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 2 смена HD1500-8 №1629,СОРА ЗКПР,"100000022783
03-CTT-KM09
LT-1200-2022-2-014-02"
68,1600128570,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 1 смена Самосвал HD1500-8 №1626,СОРА ЗКПР,"100000021466
03-CTT-KM06
LT-1200-2022-2-014-02"
69,1600129263,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 2 смена Самосвал HD1500-8 №1626,СОРА ЗКПР,"100000021466
03-CTT-KM06
LT-1200-2022-2-014-02"
70,1600129676,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 1 смена Komatsu HD785-7 №1614,СОРА ЗКПР,"100000008671
03-CTT-KD06
LT-1200-2022-2-014-02"
71,1600129279,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 1 смена Komatsu HD785-5 №1606,СОРА ЗКПР,"100000008664
03-CTT-KH04
LT-1200-2022-2-014-02"
72,1600129312,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 2 смена Komatsu HD785-5 №1606,СОРА ЗКПР,"100000008664
03-CTT-KH04
LT-1200-2022-2-014-02"
73,1600129388,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 2 смена HD1500-8 №1628,СОРА ЗКПР,"100000022744
03-CTT-KM08
LT-1200-2022-2-014-02"
74,1600129381,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 1 смена HD1500-8 №1628,СОРА ЗКПР,"100000022744
03-CTT-KM08
LT-1200-2022-2-014-02"
