,Заказ,БазисСрокНачала,Плановая дата,ПользСтатус (заказа),СистСтатус,ОбщееВремяПростояТК,Краткий текст,СистСтатСообщТОРО,ЕО; teh_mesto; СПП-ЗаголЗаказа
140,1600129526,2022-01-29,1/29/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 1 БелАЗ 7547 №6 СЛ,СОРА ЗКПР,"100000068232
03-KON-OBSL-OB07
nan"
141,1600129660,2022-01-29,1/29/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 2 БелАЗ 7547 №4  СЛ,СОРА ЗКПР,"100000068230
03-KON-OBSL-OB05
nan"
142,1600129647,2022-01-29,1/29/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 1 БелАЗ 7547 №4  СЛ,СОРА ЗКПР,"100000068230
03-KON-OBSL-OB05
nan"
143,1600129507,2022-01-29,1/29/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 2 смена Самосвал HD1500-8 №1623,СОРА ЗКПР,"100000006410
03-CTT-KM03
LT-1200-2022-2-014-02"
144,1100368623,2022-01-29,12/19/2021,СГГС ГОД УТВГ УТВП МЕС УТВМ НЕД УТВН ГИП СРОЧ МТРЦ ТКБЕ,ДЕБЛ ПКАЛ ПРВВ ДМНП,"8,00",(ТО2) БелАЗ 7451 СЛ №2,СОРА ЗКПР,"100000068228
03-KON-OBSL-OB03
LT-1200-2022-4-024-02"
145,1100381308,2022-01-29,1/30/2022,СГГС ГОД УТВГ МЕС УТВМ НЕД УТВН ГИП ПТОМ,ОТКР ПКАЛ ДМНП KKMP,"24,00",ТР Самосвал HD1500-8 №1626,СОРА ЗКПР,"100000021466
03-CTT-KM06
LT-1200-2022-2-014-02"
146,1600128572,2022-01-29,1/29/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 1 смена Самосвал HD1500-8 №1626,СОРА ЗКПР,"100000021466
03-CTT-KM06
LT-1200-2022-2-014-02"
147,1600129266,2022-01-29,1/29/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 2 смена Самосвал HD1500-8 №1626,СОРА ЗКПР,"100000021466
03-CTT-KM06
LT-1200-2022-2-014-02"
148,1600129673,2022-01-29,1/29/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 1 БелАЗ 7547 №3  СЛ,СОРА ЗКПР,"100000068229
03-KON-OBSL-OB04
nan"
149,1600129433,2022-01-29,1/29/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 2 смена Самосвал HD1500-8 №1622,СОРА ЗКПР,"100000006409
03-CTT-KM02
LT-1200-2022-2-014-02"
150,1600129774,2022-01-29,1/29/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 2 БелАЗ 7547 №2  СЛ,СОРА ЗКПР,"100000068228
03-KON-OBSL-OB03
nan"
151,1600129514,2022-01-29,1/29/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 1 смена Самосвал 785C №1620,СОРА ЗКПР,"100000008674
03-CTT-CC02
LT-1200-2022-2-014-02"
152,1600129608,2022-01-29,1/29/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 1 смена Komatsu HD785-7 №1612,СОРА ЗКПР,"100000008669
03-CTT-KD04
LT-1200-2022-2-014-02"
153,1600129500,2022-01-29,1/29/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 1 смена Самосвал HD1500-8 №1623,СОРА ЗКПР,"100000006410
03-CTT-KM03
LT-1200-2022-2-014-02"
154,1600129426,2022-01-29,1/29/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 1 смена Самосвал HD1500-8 №1622,СОРА ЗКПР,"100000006409
03-CTT-KM02
LT-1200-2022-2-014-02"
155,1600129300,2022-01-29,1/29/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 1 смена Komatsu HD785-5 №1606,СОРА ЗКПР,"100000008664
03-CTT-KH04
LT-1200-2022-2-014-02"
156,1600129541,2022-01-29,1/29/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 2 смена Самосвал 785C №1620,СОРА ЗКПР,"100000008674
03-CTT-CC02
LT-1200-2022-2-014-02"
157,1600129314,2022-01-29,1/29/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 2 смена Komatsu HD785-5 №1606,СОРА ЗКПР,"100000008664
03-CTT-KH04
LT-1200-2022-2-014-02"
158,1600129389,2022-01-29,1/29/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 2 смена HD1500-8 №1628,СОРА ЗКПР,"100000022744
03-CTT-KM08
LT-1200-2022-2-014-02"
159,1600129382,2022-01-29,1/29/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 1 смена HD1500-8 №1628,СОРА ЗКПР,"100000022744
03-CTT-KM08
LT-1200-2022-2-014-02"
160,1600129615,2022-01-29,1/29/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 2 смена Komatsu HD785-7 №1612,СОРА ЗКПР,"100000008669
03-CTT-KD04
LT-1200-2022-2-014-02"
161,1600129574,2022-01-29,1/29/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 1 БелАЗ 7547 №5  СЛ,СОРА ЗКПР,"100000068231
03-KON-OBSL-OB06
nan"
162,1600129601,2022-01-29,1/29/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 2 БелАЗ 7547 №5  СЛ,СОРА ЗКПР,"100000068231
03-KON-OBSL-OB06
nan"
163,1600129560,2022-01-29,1/29/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 1 смена Komatsu HD785-7 №1611,СОРА ЗКПР,"100000008668
03-CTT-KD03
LT-1200-2022-2-014-02"
164,1600129567,2022-01-29,1/29/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 2 смена Komatsu HD785-7 №1611,СОРА ЗКПР,"100000008668
03-CTT-KD03
LT-1200-2022-2-014-02"
165,1600129760,2022-01-29,1/29/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 1 БелАЗ 7547 №2  СЛ,СОРА ЗКПР,"100000068228
03-KON-OBSL-OB03
nan"
166,1600129726,2022-01-29,1/29/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 2 БелАЗ 7547 №3  СЛ,СОРА ЗКПР,"100000068229
03-KON-OBSL-OB04
nan"
167,1600129520,2022-01-30,1/30/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 2 смена Komatsu HD785-7 №1610,СОРА ЗКПР,"100000008667
03-CTT-KD02
LT-1200-2022-2-014-02"
168,1600129418,2022-01-30,1/30/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 2 смена HD1500-8 №1629,СОРА ЗКПР,"100000022783
03-CTT-KM09
LT-1200-2022-2-014-02"
169,1600129720,2022-01-30,1/30/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 1 смена Komatsu HD785-7 №1614,СОРА ЗКПР,"100000008671
03-CTT-KD06
LT-1200-2022-2-014-02"
170,1600129411,2022-01-30,1/30/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 1 смена HD1500-8 №1629,СОРА ЗКПР,"100000022783
03-CTT-KM09
LT-1200-2022-2-014-02"
171,1600129493,2022-01-30,1/30/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 1 смена Komatsu HD785-7 №1610,СОРА ЗКПР,"100000008667
03-CTT-KD02
LT-1200-2022-2-014-02"
172,1600129568,2022-01-30,1/30/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 2 смена Komatsu HD785-7 №1611,СОРА ЗКПР,"100000008668
03-CTT-KD03
LT-1200-2022-2-014-02"
173,1600129281,2022-01-30,1/30/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 2 БелАЗ 7547 №1 СЛ,СОРА ЗКПР,"100000068227
03-KON-OBSL-OB02
nan"
174,1600129776,2022-01-30,1/30/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 2 БелАЗ 7547 №2  СЛ,СОРА ЗКПР,"100000068228
03-KON-OBSL-OB03
nan"
175,1600129762,2022-01-30,1/30/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 1 БелАЗ 7547 №2  СЛ,СОРА ЗКПР,"100000068228
03-KON-OBSL-OB03
nan"
176,1600129390,2022-01-30,1/30/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 2 смена HD1500-8 №1628,СОРА ЗКПР,"100000022744
03-CTT-KM08
LT-1200-2022-2-014-02"
177,1600129383,2022-01-30,1/30/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 1 смена HD1500-8 №1628,СОРА ЗКПР,"100000022744
03-CTT-KM08
LT-1200-2022-2-014-02"
178,1100359578,2022-01-30,1/10/2022,СГГС ГОД УТВГ УТВП МЕС УТВМ НЕД УТВН ГИП ПТОМ СРОЧ МТРЦ ТКБЕ,ДЕБЛ ПКАЛ ПРВВ ДМНП,"6,00",Техническое обслуживание 1,СОРА ЗКПР,"100000008670
03-CTT-KD05
LT-1200-2022-2-014-02"
179,1600129248,2022-01-30,1/30/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 1 БелАЗ 7547 №1 СЛ,СОРА ЗКПР,"100000068227
03-KON-OBSL-OB02
nan"
180,1100368901,2022-01-30,2/6/2022,СГГС ГОД УТВГ УТВП МЕС УТВМ НЕД УТВН ГИП МТРЦ ТКБЕ,ОТКР ПКАЛ ДМНП,"8,00",ТО-2 БелАЗ 7451 СЛ №3,СОРА ЗКПР,"100000068229
03-KON-OBSL-OB04
LT-1200-2022-4-024-02"
181,1600129675,2022-01-30,1/30/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 1 БелАЗ 7547 №3  СЛ,СОРА ЗКПР,"100000068229
03-KON-OBSL-OB04
nan"
182,1600129664,2022-01-30,1/30/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 2 смена Komatsu HD785-7 №1613,СОРА ЗКПР,"100000008670
03-CTT-KD05
LT-1200-2022-2-014-02"
183,1600129609,2022-01-30,1/30/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 1 смена Komatsu HD785-7 №1612,СОРА ЗКПР,"100000008669
03-CTT-KD04
LT-1200-2022-2-014-02"
184,1600129616,2022-01-30,1/30/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 2 смена Komatsu HD785-7 №1612,СОРА ЗКПР,"100000008669
03-CTT-KD04
LT-1200-2022-2-014-02"
185,1600129728,2022-01-30,1/30/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 2 БелАЗ 7547 №3  СЛ,СОРА ЗКПР,"100000068229
03-KON-OBSL-OB04
nan"
186,1600129732,2022-01-30,1/30/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 2 смена Komatsu HD785-7 №1614,СОРА ЗКПР,"100000008671
03-CTT-KD06
LT-1200-2022-2-014-02"
187,1600129561,2022-01-30,1/30/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 1 смена Komatsu HD785-7 №1611,СОРА ЗКПР,"100000008668
03-CTT-KD03
LT-1200-2022-2-014-02"
188,1600129650,2022-01-30,1/30/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 1 смена Komatsu HD785-7 №1613,СОРА ЗКПР,"100000008670
03-CTT-KD05
LT-1200-2022-2-014-02"
189,1600129711,2022-01-30,1/30/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 1 смена Самосвал HD1500-8 №1625,СОРА ЗКПР,"100000021364
03-CTT-KM05
LT-1200-2022-2-014-02"
190,1600129303,2022-01-30,1/30/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 1 смена Komatsu HD785-5 №1606,СОРА ЗКПР,"100000008664
03-CTT-KH04
LT-1200-2022-2-014-02"
191,1600129268,2022-01-30,1/30/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 2 смена Самосвал HD1500-8 №1626,СОРА ЗКПР,"100000021466
03-CTT-KM06
LT-1200-2022-2-014-02"
192,1600129501,2022-01-30,1/30/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 1 смена Самосвал HD1500-8 №1623,СОРА ЗКПР,"100000006410
03-CTT-KM03
LT-1200-2022-2-014-02"
193,1600128574,2022-01-30,1/30/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 1 смена Самосвал HD1500-8 №1626,СОРА ЗКПР,"100000021466
03-CTT-KM06
LT-1200-2022-2-014-02"
194,1600129556,2022-01-30,1/30/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 2 смена Самосвал 785C №1619,СОРА ЗКПР,"100000008673
03-CTT-CC01
LT-1200-2022-2-014-02"
195,1600129427,2022-01-30,1/30/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 1 смена Самосвал HD1500-8 №1622,СОРА ЗКПР,"100000006409
03-CTT-KM02
LT-1200-2022-2-014-02"
196,1600129508,2022-01-30,1/30/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 2 смена Самосвал HD1500-8 №1623,СОРА ЗКПР,"100000006410
03-CTT-KM03
LT-1200-2022-2-014-02"
197,1600129515,2022-01-30,1/30/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 1 смена Самосвал 785C №1620,СОРА ЗКПР,"100000008674
03-CTT-CC02
LT-1200-2022-2-014-02"
198,1600129663,2022-01-30,1/30/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 2 БелАЗ 7547 №4  СЛ,СОРА ЗКПР,"100000068230
03-KON-OBSL-OB05
nan"
199,1600129649,2022-01-30,1/30/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 1 БелАЗ 7547 №4  СЛ,СОРА ЗКПР,"100000068230
03-KON-OBSL-OB05
nan"
200,1600129549,2022-01-30,1/30/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 1 смена Самосвал 785C №1619,СОРА ЗКПР,"100000008673
03-CTT-CC01
LT-1200-2022-2-014-02"
201,1600129445,2022-01-30,1/30/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 1 смена Komatsu HD785-7 №1609,СОРА ЗКПР,"100000008666
03-CTT-KD01
LT-1200-2022-2-014-02"
202,1600129452,2022-01-30,1/30/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 2 смена Komatsu HD785-7 №1609,СОРА ЗКПР,"100000008666
03-CTT-KD01
LT-1200-2022-2-014-02"
203,1600129434,2022-01-30,1/30/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 2 смена Самосвал HD1500-8 №1622,СОРА ЗКПР,"100000006409
03-CTT-KM02
LT-1200-2022-2-014-02"
204,1600129316,2022-01-30,1/30/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 2 смена Komatsu HD785-5 №1606,СОРА ЗКПР,"100000008664
03-CTT-KH04
LT-1200-2022-2-014-02"
205,1600129301,2022-01-30,1/30/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 1 смена HD1500-8 №1627,СОРА ЗКПР,"100000022743
03-CTT-KM07
LT-1200-2022-2-014-02"
206,1600129315,2022-01-30,1/30/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 2 смена HD1500-8 №1627,СОРА ЗКПР,"100000022743
03-CTT-KM07
LT-1200-2022-2-014-02"
207,1600129542,2022-01-30,1/30/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 2 смена Самосвал 785C №1620,СОРА ЗКПР,"100000008674
03-CTT-CC02
LT-1200-2022-2-014-02"
208,1600129704,2022-01-30,1/30/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 2 смена Самосвал HD1500-8 №1624,СОРА ЗКПР,"100000021344
03-CTT-KM04
LT-1200-2022-2-014-02"
209,1600129637,2022-01-30,1/30/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 1 смена Самосвал HD1500-8 №1624,СОРА ЗКПР,"100000021344
03-CTT-KM04
LT-1200-2022-2-014-02"
210,1600129575,2022-01-30,1/30/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 1 БелАЗ 7547 №5  СЛ,СОРА ЗКПР,"100000068231
03-KON-OBSL-OB06
nan"
211,1600129718,2022-01-30,1/30/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 2 смена Самосвал HD1500-8 №1625,СОРА ЗКПР,"100000021364
03-CTT-KM05
LT-1200-2022-2-014-02"
212,1600129602,2022-01-30,1/30/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 2 БелАЗ 7547 №5  СЛ,СОРА ЗКПР,"100000068231
03-KON-OBSL-OB06
nan"
213,1600129527,2022-01-30,1/30/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 1 БелАЗ 7547 №6 СЛ,СОРА ЗКПР,"100000068232
03-KON-OBSL-OB07
nan"
214,1600129780,2022-01-30,1/30/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 2 смена Komatsu HD785-7 №1615,СОРА ЗКПР,"100000008672
03-CTT-KD07
LT-1200-2022-2-014-02"
215,1600129769,2022-01-30,1/30/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 1 смена Komatsu HD785-7 №1615,СОРА ЗКПР,"100000008672
03-CTT-KD07
LT-1200-2022-2-014-02"
216,1600129373,2022-01-30,1/30/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 1 смена Самосвал HD1500-8 №1621,СОРА ЗКПР,"100000006408
03-CTT-KM01
LT-1200-2022-2-014-02"
217,1600129420,2022-01-30,1/30/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 2 смена Самосвал HD1500-8 №1621,СОРА ЗКПР,"100000006408
03-CTT-KM01
LT-1200-2022-2-014-02"
218,1600129534,2022-01-30,1/30/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 2 БелАЗ 7547 №6 СЛ,СОРА ЗКПР,"100000068232
03-KON-OBSL-OB07
nan"
219,1100368917,2022-01-31,2/18/2022,СГГС ГОД УТВГ УТВП МЕС УТВМ ГИП МТРЦ ТКБЕ,ОТКР ПКАЛ ДМНП,"6,00",ТО-1 БелАЗ 7451 СЛ №4,СОРА ЗКПР,"100000068230
03-KON-OBSL-OB05
LT-1200-2022-4-024-02"
