Подсчёт,Операция,Позиция ОК,ТехнМесто,Название ТехнМеста,УрИерархЕО,ВышестЕО,НазваниеВышестЕО,КлассВышестЕО,НаимКлассВышестЕО,ЕО,Название ЕО,ПланПредупрТОРО,ТекстПланаПредупрТОРО,ПозПредупрТОРО,ПозицияПредупредительного ТОРО (описание,№ отзыва,ВидРаботТОРО,Название ВРТ,СтратегияОбсл,ТипТК,ГруппаТК,СГрТК,ОписаниеТК,Приоритет,ТипЗаказа,ВидЗаказа,Заказ,КраткийТекст заказа,СистСтатус,ПользСтатус,ПланДатаНачала,ПланДатаНачала (Время),ПланДатаОкончания,ПланДатаОкончания (Время),НовДатаНачала,НовДатаНачала (Время),НовДатаОкончания,НоваяДатаОкончания (Время),ФактНачало,ФактНачало (время),ФактОкончание,ФактОкончание (время),ПредлСистСтат,Создал,ДатаСозд,Изменил,ДатаИзм,ПрогнознНаработка,Трудоёмкость,Продолжительность,Фактическая трудоёмкость,ПлСтоимость,ФктСтоимость,Кол-во пересогласований заказа,Индикатор планирования,СостПрУст,Время ремонтного простоя,Время технологического простоя,Общее время простоя (Зкз) - План,Общее время простоя (Зкз) - Факт,СПП-элемент,СПП-элемент(КрТекст)
1,,Нет,03-KON-OBSL-OB02,БелАЗ-7547 №2441,1,100000068227,,,,100000068227,Самосвал карьерный БЕЛАЗ-7547 №2441,100000060161,БелАЗ 7547 №1 СЛ,161546,ТО-1 БелАЗ 7547 №1 СЛ,70,ТО1,Техническое обслуживание ТО №1,2-0175,A,M0003986,О1,(ТО1) БелАЗ 7451 СЛ,3-средний,30,APP1,1100368791,ТО-1 БелАЗ 7547 №1 СЛ,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,08.04.2022,9:00:00,08.04.2022,15:00:00,08.04.2022,9:00:00,08.04.2022,15:00:00,,0:00:00,,0:00:00,,AZAROVAV,10.02.2021,AZAROVAV,09.12.2021,8 729,12,6,0,"53 314,82",0,1,1,,6,0,6,0,LT-1200-2022-4-024-02,Прочие (Мех OPEX)
1,,Нет,03-KON-OBSL-OB02,БелАЗ-7547 №2441,1,100000068227,,,,100000068227,Самосвал карьерный БЕЛАЗ-7547 №2441,100000060161,БелАЗ 7547 №1 СЛ,162330,ТО-4 БелАЗ 7547 №1 СЛ,71,ТО4,Техническое обслуживание ТО №4,2-0175,A,M0003986,О4,,3-средний,30,APP1,1100368840,ТО-4 БелАЗ 7547 №1 СЛ,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,20.04.2022,9:00:00,21.04.2022,9:00:00,20.04.2022,9:00:00,21.04.2022,9:00:00,,0:00:00,,0:00:00,,AZAROVAV,10.02.2021,BOKOVIKOVVO,11.01.2022,8 975,48,24,0,"186 991,45",0,1,1,,24,0,24,0,LT-1200-2022-4-024-02,Прочие (Мех OPEX)
1,,Нет,03-KON-OBSL-OB02,БелАЗ-7547 №2441,1,100000068227,,,,100000068227,Самосвал карьерный БЕЛАЗ-7547 №2441,100000060161,БелАЗ 7547 №1 СЛ,161546,ТО-1 БелАЗ 7547 №1 СЛ,72,ТО1,Техническое обслуживание ТО №1,2-0175,A,M0003986,О1,(ТО1) БелАЗ 7451 СЛ,3-средний,30,APP1,1100368793,ТО-1 БелАЗ 7547 №1 СЛ,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,02.05.2022,9:00:00,02.05.2022,15:00:00,02.05.2022,9:00:00,02.05.2022,15:00:00,,0:00:00,,0:00:00,,AZAROVAV,10.02.2021,AZAROVAV,09.12.2021,9 222,12,6,0,"53 314,82",0,1,1,,6,0,6,0,LT-1200-2022-4-024-02,Прочие (Мех OPEX)
1,,Нет,03-KON-OBSL-OB02,БелАЗ-7547 №2441,1,100000068227,,,,100000068227,Самосвал карьерный БЕЛАЗ-7547 №2441,100000060161,БелАЗ 7547 №1 СЛ,161547,ТО-2 БелАЗ 7547 №1 СЛ,73,ТО2,Техническое обслуживание ТО №2,2-0175,A,M0003986,О2,,3-средний,30,APP1,1100368819,ТО-2 БелАЗ 7547 №1 СЛ,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,14.05.2022,9:00:00,14.05.2022,17:00:00,14.05.2022,9:00:00,14.05.2022,17:00:00,,0:00:00,,0:00:00,,AZAROVAV,10.02.2021,BOKOVIKOVVO,11.01.2022,9 468,16,8,0,"73 829,91",0,1,1,,8,0,8,0,LT-1200-2022-4-024-02,Прочие (Мех OPEX)
1,,Нет,03-KON-OBSL-OB02,БелАЗ-7547 №2441,1,100000068227,,,,100000068227,Самосвал карьерный БЕЛАЗ-7547 №2441,100000060161,БелАЗ 7547 №1 СЛ,161546,ТО-1 БелАЗ 7547 №1 СЛ,74,ТО1,Техническое обслуживание ТО №1,2-0175,A,M0003986,О1,(ТО1) БелАЗ 7451 СЛ,3-средний,30,APP1,1100368795,ТО-1 БелАЗ 7547 №1 СЛ,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,26.05.2022,9:00:00,26.05.2022,15:00:00,26.05.2022,9:00:00,26.05.2022,15:00:00,,0:00:00,,0:00:00,,AZAROVAV,10.02.2021,AZAROVAV,09.12.2021,9 715,12,6,0,"53 314,82",0,1,1,,6,0,6,0,LT-1200-2022-4-024-02,Прочие (Мех OPEX)
1,,Нет,03-KON-OBSL-OB02,БелАЗ-7547 №2441,1,100000068227,,,,100000068227,Самосвал карьерный БЕЛАЗ-7547 №2441,100000060161,БелАЗ 7547 №1 СЛ,161548,ТО-3 БелАЗ 7547 №1 СЛ,75,ТО3,Техническое обслуживание ТО №3,2-0175,A,M0003986,О3,,3-средний,30,APP1,1100368832,ТО-3 БелАЗ 7547 №1 СЛ,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,07.06.2022,9:00:00,07.06.2022,21:00:00,07.06.2022,9:00:00,07.06.2022,21:00:00,,0:00:00,,0:00:00,,AZAROVAV,10.02.2021,AZAROVAV,09.12.2021,9 962,24,12,0,"135 456,57",0,1,1,,12,0,12,0,LT-1200-2022-4-024-02,Прочие (Мех OPEX)
1,,Нет,03-KON-OBSL-OB02,БелАЗ-7547 №2441,1,100000068227,,,,100000068227,Самосвал карьерный БЕЛАЗ-7547 №2441,100000060161,БелАЗ 7547 №1 СЛ,161546,ТО-1 БелАЗ 7547 №1 СЛ,76,ТО1,Техническое обслуживание ТО №1,2-0175,A,M0003986,О1,(ТО1) БелАЗ 7451 СЛ,3-средний,30,APP1,1100368797,ТО-1 БелАЗ 7547 №1 СЛ,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,20.06.2022,9:00:00,20.06.2022,15:00:00,20.06.2022,9:00:00,20.06.2022,15:00:00,,0:00:00,,0:00:00,,AZAROVAV,10.02.2021,AZAROVAV,09.12.2021,10 229,12,6,0,"53 314,82",0,1,1,,6,0,6,0,LT-1200-2022-4-024-02,Прочие (Мех OPEX)
1,,Нет,03-KON-OBSL-OB02,БелАЗ-7547 №2441,1,100000068227,,,,100000068227,Самосвал карьерный БЕЛАЗ-7547 №2441,100000060161,БелАЗ 7547 №1 СЛ,161547,ТО-2 БелАЗ 7547 №1 СЛ,77,ТО2,Техническое обслуживание ТО №2,2-0175,A,M0003986,О2,,3-средний,30,APP1,1100368821,ТО-2 БелАЗ 7547 №1 СЛ,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,02.07.2022,9:00:00,02.07.2022,17:00:00,02.07.2022,9:00:00,02.07.2022,17:00:00,,0:00:00,,0:00:00,,AZAROVAV,10.02.2021,AZAROVAV,09.12.2021,10 475,16,8,0,"73 829,91",0,1,1,,8,0,8,0,LT-1200-2022-4-024-02,Прочие (Мех OPEX)
1,,Нет,03-KON-OBSL-OB02,БелАЗ-7547 №2441,1,100000068227,,,,100000068227,Самосвал карьерный БЕЛАЗ-7547 №2441,100000060161,БелАЗ 7547 №1 СЛ,161546,ТО-1 БелАЗ 7547 №1 СЛ,78,ТО1,Техническое обслуживание ТО №1,2-0175,A,M0003986,О1,(ТО1) БелАЗ 7451 СЛ,3-средний,30,APP1,1100368799,ТО-1 БелАЗ 7547 №1 СЛ,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,14.07.2022,9:00:00,14.07.2022,15:00:00,14.07.2022,9:00:00,14.07.2022,15:00:00,,0:00:00,,0:00:00,,AZAROVAV,10.02.2021,AZAROVAV,09.12.2021,10 722,12,6,0,"53 314,82",0,1,1,,6,0,6,0,LT-1200-2022-4-024-02,Прочие (Мех OPEX)
1,,Нет,03-KON-OBSL-OB02,БелАЗ-7547 №2441,1,100000068227,,,,100000068227,Самосвал карьерный БЕЛАЗ-7547 №2441,100000060161,БелАЗ 7547 №1 СЛ,162330,ТО-4 БелАЗ 7547 №1 СЛ,79,ТО4,Техническое обслуживание ТО №4,2-0175,A,M0003986,О4,,3-средний,30,APP1,1100368841,ТО-4 БелАЗ 7547 №1 СЛ,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,26.07.2022,9:00:00,27.07.2022,9:00:00,26.07.2022,9:00:00,27.07.2022,9:00:00,,0:00:00,,0:00:00,,AZAROVAV,10.02.2021,AZAROVAV,09.12.2021,10 968,48,24,0,"186 991,45",0,1,1,,24,0,24,0,LT-1200-2022-4-024-02,Прочие (Мех OPEX)
