,Название ЕО,ЕО,ТекстПланаПредупрТОРО,Название ВРТ,ВидЗаказа,Заказ,КраткийТекст заказа,СистСтатус,ПользСтатус,ПланДатаНачала,НовДатаНачала,ПланДатаНачала_month,НовДатаНачала_month,статус переноса
16,Самосвал карьерный HD1500-8 №1621,100000006408,Самосвал HD1500-8 №1621 МТЧ,Техническое обслуживание ТО №3,APP1,1100360317,Техническое обслуживание 3,ПЕЧТ ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПРНТ СРОЧ МТРЦ ТКБЕ СГГС,2022-01-16,2022-01-22,1,1,без переноса
49,Самосвал карьерный HD1500-8 №1621,100000006408,ТР Самосвал HD1500-8 №1621,Текущий ремонт,APP1,1100380358,ТР Самосвал HD1500-8 №1621,ДЕБЛ ПЕЧТ ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,ГОД  УТВГ МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПРНТ СГГС,2022-01-16,2022-01-22,1,1,без переноса
17,Самосвал карьерный HD1500-8 №1621,100000006408,Самосвал HD1500-8 №1621 МТЧ,Техническое обслуживание ТО №3,APP1,1100360317,Техническое обслуживание 3,ПЕЧТ ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПРНТ СРОЧ МТРЦ ТКБЕ СГГС,2022-01-16,2022-01-22,1,1,без переноса
190,Самосвал карьерный HD1500-8 №1623,100000006410,ТР Самосвал HD1500-8 №1623,Текущий ремонт,APP1,1100380777,ТР Самосвал HD1500-8 №1623,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ СГГС,2022-01-20,2022-03-29,1,3,перенос в другой месяц
156,Самосвал карьерный HD1500-8 №1623,100000006410,Самосвал HD1500-8 №1623 МТЧ,Техническое обслуживание ТО №1,APP1,1100360751,Техническое обслуживание 1,ПЕЧТ ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПРНТ МТРЦ ТКБЕ СГГС,2022-01-20,2022-01-12,1,1,без переноса
655,Самосвал карьерный HD1500-8 №1630,100000071921,ТР Самосвал HD1500-8 №1630,Текущий ремонт,APP1,1100381342,ТР Самосвал HD1500-8 №1630,НЕВЫ ПКАЛ ЗАКР МТКУ ДМНП KKMP,ГОД  УТВГ МЕС  ГИП  ССПЛ,2022-01-24,2022-02-01,1,2,перенос в другой месяц
278,Самосвал карьерный HD1500-8 №1624,100000021344,ТР Самосвал HD1500-8 №1624,Текущий ремонт,APP1,1100380736,ТР Самосвал HD1500-8 №1624,ДЕБЛ ПЕЧТ ПДТВ ПКАЛ ПРВВ KKMP JBFI,ГОД  УТВГ МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПРНТ СГГС,2022-01-24,2022-01-25,1,1,без переноса
237,Самосвал карьерный HD1500-8 №1624,100000021344,Самосвал HD1500-8 №1624 МТЧ,Техническое обслуживание ТО №1,APP1,1100360730,Техническое обслуживание 1,ПЕЧТ ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПРНТ МТРЦ ТКБЕ СГГС,2022-01-24,2022-01-20,1,1,без переноса
601,Самосвал карьерный HD1500-8 №1630,100000071921,Самосвал HD1500-8 №1630 МТЧ,Техническое обслуживание ТО №1,APP1,1100364221,Техническое обслуживание 1,НЕВЫ ПКАЛ ЗАКР МТКУ ДМНП,ГОД  УТВГ УТВП МЕС  ГИП  СРОЧ МТРЦ ТКБЕ ССПЛ,2022-01-24,2022-02-24,1,2,перенос в другой месяц
507,Самосвал карьерный HD1500-8 №1628,100000022744,ТР Самосвал HD1500-8 №1628,Текущий ремонт,APP1,1100381174,ТР Самосвал HD1500-8 №1628,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  ПТОМ ПЗТГ СГГС,2022-01-25,2022-02-16,1,2,перенос в другой месяц
471,Самосвал карьерный HD1500-8 №1628,100000022744,Самосвал HD1500-8 №1628 МТЧ,Техническое обслуживание ТО №2,APP1,1100360281,Техническое обслуживание 2,ЧПЕЧ ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  НЕД  УТВН ГИП  ПТОМ ПРНТ МТРЦ ТКБЕ СГГС,2022-01-25,2022-01-14,1,1,без переноса
380,Самосвал карьерный HD1500-8 №1626,100000021466,ТР Самосвал HD1500-8 №1626,Текущий ремонт,APP1,1100381308,ТР Самосвал HD1500-8 №1626,ДЕБЛ ПЕЧТ ПДТВ ПКАЛ ПРВВ KKMP JBFI,ГОД  УТВГ МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПРНТ СГГС,2022-01-27,2022-01-29,1,1,без переноса
