,месяц,Бизнес единица,Основной класс ЕО,Вышест. техместо,Заказ,Запланированные на январь и оставшиеся в январе,Запланированные на январь и перенесенные в другие месяцы,Перенесенные с января
60,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-7,1100360894,0,1,0
61,март,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-7,1100360894,0,0,1
62,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-7,1100359820,0,1,0
63,февраль,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-7,1100359820,0,0,1
64,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-7,1100359810,0,1,0
65,март,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-7,1100359810,0,0,1
66,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы БелАЗ-7547,1100368425,1,0,0
67,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,1100364236,0,1,0
68,февраль,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,1100364236,0,0,1
69,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы БелАЗ-7547,1100368838,0,1,0
70,февраль,Полюс Вернинское,Самосвалы карьерные,Самосвалы БелАЗ-7547,1100368838,0,0,1
71,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы БелАЗ-7547,1100368956,0,1,0
72,февраль,Полюс Вернинское,Самосвалы карьерные,Самосвалы БелАЗ-7547,1100368956,0,0,1
73,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы БелАЗ-7547,1100368844,0,1,0
74,февраль,Полюс Вернинское,Самосвалы карьерные,Самосвалы БелАЗ-7547,1100368844,0,0,1
75,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-7,1100381700,1,0,0
76,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-7,1100359651,1,0,0
77,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-7,1100381663,0,1,0
78,февраль,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-7,1100381663,0,0,1
79,январь,Полюс Вернинское,Экскаваторы электрич,Экскаваторы,1100369367,1,0,0
80,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-7,1100381400,1,0,0
81,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-7,1100381400,1,0,0
82,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-7,1100380637,0,1,0
83,февраль,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-7,1100380637,0,0,1
84,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-7,1100359578,1,0,0
85,январь,Полюс Вернинское,Экскаваторы электрич,Экскаваторы,1100354619,1,0,0
86,январь,Полюс Вернинское,Экскаваторы электрич,Экскаваторы,1100358778,1,0,0
87,январь,Полюс Вернинское,Экскаваторы электрич,Экскаваторы,1100358765,1,0,0
88,январь,Полюс Вернинское,Экскаваторы электрич,Экскаваторы,1100358955,1,0,0
89,январь,Полюс Вернинское,Экскаваторы электрич,Экскаваторы,1100354048,1,0,0
90,январь,Полюс Вернинское,Экскаваторы электрич,Экскаваторы,1100358911,1,0,0
91,январь,Полюс Вернинское,Экскаваторы гидравли,Экскаваторы,1100360998,1,0,0
92,январь,Полюс Вернинское,Экскаваторы гидравли,Экскаваторы,1100361094,1,0,0
93,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,1100360317,1,0,0
94,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,1100360317,1,0,0
95,январь,Полюс Вернинское,Экскаваторы электрич,Экскаваторы,1100358996,1,0,0
96,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,1100380358,1,0,0
97,январь,Полюс Вернинское,Экскаваторы гидравли,Экскаваторы,1100360276,0,1,0
98,апрель,Полюс Вернинское,Экскаваторы гидравли,Экскаваторы,1100360276,0,0,1
99,январь,Полюс Вернинское,Экскаваторы гидравли,Экскаваторы,1100360154,0,1,0
100,февраль,Полюс Вернинское,Экскаваторы гидравли,Экскаваторы,1100360154,0,0,1
101,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы БелАЗ-7547,1100368575,1,0,0
102,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы БелАЗ-7547,1100368835,0,1,0
103,февраль,Полюс Вернинское,Самосвалы карьерные,Самосвалы БелАЗ-7547,1100368835,0,0,1
104,январь,Полюс Вернинское,Экскаваторы электрич,Экскаваторы,1100354101,1,0,0
105,январь,Полюс Вернинское,Экскаваторы электрич,Экскаваторы,1100354101,1,0,0
106,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы БелАЗ-7547,1100368854,0,1,0
107,февраль,Полюс Вернинское,Самосвалы карьерные,Самосвалы БелАЗ-7547,1100368854,0,0,1
108,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-7,1100359462,0,1,0
109,февраль,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-7,1100359462,0,0,1
110,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-7,1200061027,0,1,0
111,февраль,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-7,1200061027,0,0,1
112,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,1100360751,1,0,0
113,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-7,1200061026,0,1,0
114,февраль,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-7,1200061026,0,0,1
115,январь,Полюс Вернинское,Экскаваторы электрич,Экскаваторы,1100358722,1,0,0
116,январь,Полюс Вернинское,Экскаваторы электрич,Экскаваторы,1100358700,1,0,0
117,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-7,1200061028,0,1,0
118,февраль,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-7,1200061028,0,0,1
119,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,1100380777,0,1,0
120,март,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,1100380777,0,0,1
121,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-5,1100532596,0,1,0
122,февраль,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-5,1100532596,0,0,1
123,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,1100381162,0,1,0
124,февраль,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,1100381162,0,0,1
125,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,1100358662,0,1,0
126,февраль,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,1100358662,0,0,1
127,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-7,1100380625,0,1,0
128,февраль,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-7,1100380625,0,0,1
129,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы БелАЗ-7547,1100368850,1,0,0
130,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы БелАЗ-7547,1100368850,1,0,0
131,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы БелАЗ-7547,1100368696,1,0,0
132,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы БелАЗ-7547,1100368848,0,1,0
133,февраль,Полюс Вернинское,Самосвалы карьерные,Самосвалы БелАЗ-7547,1100368848,0,0,1
134,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы БелАЗ-7547,1100368912,0,1,0
135,февраль,Полюс Вернинское,Самосвалы карьерные,Самосвалы БелАЗ-7547,1100368912,0,0,1
136,январь,Полюс Вернинское,Экскаваторы гидравли,Экскаваторы,1100354064,1,0,0
137,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы БелАЗ-7547,1100368852,0,1,0
138,февраль,Полюс Вернинское,Самосвалы карьерные,Самосвалы БелАЗ-7547,1100368852,0,0,1
139,январь,Полюс Вернинское,Экскаваторы гидравли,Экскаваторы,1100353786,0,1,0
140,март,Полюс Вернинское,Экскаваторы гидравли,Экскаваторы,1100353786,0,0,1
141,январь,Полюс Вернинское,Экскаваторы гидравли,Экскаваторы,1100353786,0,1,0
142,март,Полюс Вернинское,Экскаваторы гидравли,Экскаваторы,1100353786,0,0,1
143,январь,Полюс Вернинское,Экскаваторы гидравли,Экскаваторы,1100354064,1,0,0
144,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы БелАЗ-7547,1100368465,0,1,0
145,февраль,Полюс Вернинское,Самосвалы карьерные,Самосвалы БелАЗ-7547,1100368465,0,0,1
146,январь,Полюс Вернинское,Экскаваторы гидравли,Экскаваторы,1100354064,1,0,0
147,январь,Полюс Вернинское,Экскаваторы гидравли,Экскаваторы,1100361245,0,1,0
148,февраль,Полюс Вернинское,Экскаваторы гидравли,Экскаваторы,1100361245,0,0,1
149,январь,Полюс Вернинское,Экскаваторы гидравли,Экскаваторы,1100485593,0,1,0
150,май,Полюс Вернинское,Экскаваторы гидравли,Экскаваторы,1100485593,0,0,1
151,январь,Полюс Вернинское,Экскаваторы электрич,Экскаваторы,1100359559,1,0,0
152,январь,Полюс Вернинское,Экскаваторы электрич,Экскаваторы,1100359878,1,0,0
153,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,1100381342,0,1,0
154,февраль,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,1100381342,0,0,1
155,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,1100364221,0,1,0
156,февраль,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,1100364221,0,0,1
157,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,1100381231,1,0,0
158,январь,Полюс Вернинское,Экскаваторы гидравли,Экскаваторы,1100360966,0,1,0
159,июль,Полюс Вернинское,Экскаваторы гидравли,Экскаваторы,1100360966,0,0,1
160,январь,Полюс Вернинское,Экскаваторы электрич,Экскаваторы,1100359616,1,0,0
161,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,1100358734,1,0,0
162,январь,Полюс Вернинское,Экскаваторы гидравли,Экскаваторы,1100360996,1,0,0
163,январь,Полюс Вернинское,Экскаваторы электрич,Экскаваторы,1100359355,1,0,0
164,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,1100380736,1,0,0
165,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,1100360730,1,0,0
166,январь,Полюс Вернинское,Экскаваторы электрич,Экскаваторы,1100359538,1,0,0
167,январь,Полюс Вернинское,Экскаваторы электрич,Экскаваторы,1100359459,1,0,0
168,январь,Полюс Вернинское,Экскаваторы электрич,Экскаваторы,1100359526,1,0,0
169,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,1100381174,0,1,0
170,февраль,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,1100381174,0,0,1
171,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы БелАЗ-7547,1100368785,1,0,0
172,январь,Полюс Вернинское,Экскаваторы электрич,Экскаваторы,1100358843,1,0,0
173,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы БелАЗ-7547,1100368785,1,0,0
174,январь,Полюс Вернинское,Экскаваторы электрич,Экскаваторы,1100358677,1,0,0
175,январь,Полюс Вернинское,Экскаваторы электрич,Экскаваторы,1100358932,1,0,0
176,январь,Полюс Вернинское,Экскаваторы электрич,Экскаваторы,1100358943,1,0,0
177,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,1100360281,1,0,0
178,январь,Полюс Вернинское,Экскаваторы электрич,Экскаваторы,1100359183,1,0,0
179,январь,Полюс Вернинское,Экскаваторы электрич,Экскаваторы,1100359043,1,0,0
180,январь,Полюс Вернинское,Экскаваторы электрич,Экскаваторы,1100359031,1,0,0
181,январь,Полюс Вернинское,Экскаваторы гидравли,Экскаваторы,1100361043,0,1,0
182,март,Полюс Вернинское,Экскаваторы гидравли,Экскаваторы,1100361043,0,0,1
183,январь,Полюс Вернинское,Экскаваторы электрич,Экскаваторы,1100359097,1,0,0
184,январь,Полюс Вернинское,Экскаваторы электрич,Экскаваторы,1100359055,1,0,0
185,январь,Полюс Вернинское,Экскаваторы электрич,Экскаваторы,1100359014,1,0,0
