,Название ЕО,ЕО,ТекстПланаПредупрТОРО,Название ВРТ,ВидЗаказа,Заказ,КраткийТекст заказа,СистСтатус,ПользСтатус,ПланДатаНачала,НовДатаНачала,ПланДатаНачала_month,НовДатаНачала_month,статус переноса,planned_in_jan_and_remaining_in_jan,planned_in_jan_moved_to_somewhere,planned_in_jan_moved_to_feb,planned_in_jan_moved_to_mar,planned_in_jan_moved_to_apr,planned_in_jan_moved_to_may,planned_in_jan_moved_to_jun,planned_in_jan_moved_to_jul,planned_in_jan_moved_to_aug,planned_in_jan_moved_to_sep,planned_in_jan_moved_to_oct,planned_in_jan_moved_to_nov,planned_in_jan_moved_to_dec,eo_description,teh_mesto,mvz,eo_class_code,eo_class_description,eo_main_code,eo_main_description,eo_main_class_code,eo_main_class_description,teh_mesto_description,level_upper,code,level_1,level_1_code,level_2_code,level_2_path,level_3_code,level_5,level_6,level_7,level_8,level_1_description,Unnamed: 0,Название технического места
365,Самосвал карьерный HD785-5 №1606,100000008664,,Технич освидетельств и ЭПБ,APB1,1350000057,Мероприятия ЭПБ,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-03-23,2022-03-23,3,3,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD785-5 №1606,03-CTT-KH04,1213011220.0,E01_01,Самосвалы карьерные,100000008664,Самосвал карьерный HD785-5 №1606,E01_01,Самосвалы карьерные,Самосвал №1606,03-CTT-K785,first03-CTT-KH04,first03,03,CTT,03-CTT,KH04,-,KH04,no_data,no_data,Полюс Вернинское,472,Самосвалы Komatsu HD785-5
366,Самосвал карьерный HD1500-8 №1621,100000006408,Самосвал HD1500-8 №1621 МТЧ,Техническое обслуживание 1,APP1,1100360306,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-03-23,2022-04-06,3,4,перенос в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD1500-8 №1621,03-CTT-KM01,1213011320.0,E01_01,Самосвалы карьерные,100000006408,Самосвал карьерный HD1500-8 №1621,E01_01,Самосвалы карьерные,Самосвал №1621,03-CTT-K150,first03-CTT-KM01,first03,03,CTT,03-CTT,KM01,-,KM01,no_data,no_data,Полюс Вернинское,8146,Самосвалы Komatsu HD1500-8
367,Самосвал карьерный HD1500-8 №1621,100000006408,Самосвал HD1500-8 №1621,Текущий ремонт,APP1,1100360706,ТР гидросистемы,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-03-23,2022-03-27,3,3,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD1500-8 №1621,03-CTT-KM01,1213011320.0,E01_01,Самосвалы карьерные,100000006408,Самосвал карьерный HD1500-8 №1621,E01_01,Самосвалы карьерные,Самосвал №1621,03-CTT-K150,first03-CTT-KM01,first03,03,CTT,03-CTT,KM01,-,KM01,no_data,no_data,Полюс Вернинское,8146,Самосвалы Komatsu HD1500-8
368,Самосвал карьерный БЕЛАЗ-7547 №2443,100000068229,ТО БелАЗ 7451 СЛ №3,Техническое обслуживание 1,APP1,1100368888,ТО-1 БелАЗ 7451 СЛ №3,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-03-24,2022-03-24,3,3,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный БЕЛАЗ-7547 №2443,03-KON-OBSL-OB04,1245112123.0,E01_01,Самосвалы карьерные,100000068229,Самосвал карьерный БЕЛАЗ-7547 №2443,E01_01,Самосвалы карьерные,БелАЗ-7547 №2443,03-KON-OBSL-PBEL,first03-KON-OBSL-OB04,first03,03,KON,03-KON,OBSL,-,OBSL,OB04,no_data,Полюс Вернинское,573,Самосвалы БелАЗ-7547
369,Экскаватор электрический WK-20 №1220,100000007087,Экскаватор WK-20 МТЧ,Техническое обслуживание 5,APP1,1100354548,Техническое обслуживание 5,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-25,2022-03-30,3,3,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,Экскаватор электрический WK-20 №1220,03-RUD-EKSK-OOBR-EX04,1212011520.0,E03_02,Экскаваторы электрические,100000007087,Экскаватор электрический WK-20 №1220,E03_02,Экскаваторы электрич,Экскаватор №1220,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX04,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
370,Экскаватор PC1250-8 №1204,100000068233,Экскаватор РС1250-8 СЛ,Техническое обслуживание 1,APP1,1100363583,ТО-1 Экскаватор РС1250-8 СЛ,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-25,2022-03-12,3,3,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,Экскаватор PC1250-8 №1204,03-RUD-EKSK-OOBR-EX05,1214011923.0,E03_01,Экскаваторы гидравлические,100000068233,Экскаватор PC1250-8 №1204,E03_01,Экскаваторы гидравли,Экскаватор №1204,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX05,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
371,ЭД асинх YJ80A1,100000025407,(ТО)YJ80A1,Техническое обслуживание,APP1,1100359581,(ТО)YJ80A1,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-03-25,2022-03-25,3,3,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх YJ80A1,03-RUD-EKSK-OOBR-EX04,1212011520.0,E32_01,Двигатели асинхронные,100000007087,Экскаватор электрический WK-20 №1220,E03_02,Экскаваторы электрич,Экскаватор №1220,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX04,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
372,Самосвал карьерный БЕЛАЗ-7547 №2445,100000068231,БелАЗ 7547 №5 СЛ,Техническое обслуживание 1,APP1,1100368428,ТО-1 БелАЗ 7547 №5 СЛ,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-03-25,2022-03-25,3,3,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный БЕЛАЗ-7547 №2445,03-KON-OBSL-OB06,1245112123.0,E01_01,Самосвалы карьерные,100000068231,Самосвал карьерный БЕЛАЗ-7547 №2445,E01_01,Самосвалы карьерные,БелАЗ-7547 №2445,03-KON-OBSL-PBEL,first03-KON-OBSL-OB06,first03,03,KON,03-KON,OBSL,-,OBSL,OB06,no_data,Полюс Вернинское,573,Самосвалы БелАЗ-7547
373,ЭД асинх YJ56E,100000025401,(ТО)YJ56E,Техническое обслуживание,APP1,1100359528,(ТО)YJ56E,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-03-25,2022-03-25,3,3,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх YJ56E,03-RUD-EKSK-OOBR-EX04,1212011520.0,E32_01,Двигатели асинхронные,100000007087,Экскаватор электрический WK-20 №1220,E03_02,Экскаваторы электрич,Экскаватор №1220,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX04,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
374,ЭД асинх YJ13L4,100000025393,(ТО) YJ13L4,Техническое обслуживание,APP1,1100359357,(ТО) YJ13L4,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-03-25,2022-03-25,3,3,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх YJ13L4,03-RUD-EKSK-OOBR-EX04,1212011520.0,E32_01,Двигатели асинхронные,100000007087,Экскаватор электрический WK-20 №1220,E03_02,Экскаваторы электрич,Экскаватор №1220,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX04,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
375,ЭД асинх YJ80A1,100000025406,(ТО)YJ80A1,Техническое обслуживание,APP1,1100359564,(ТО)YJ80A1,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-03-25,2022-03-25,3,3,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх YJ80A1,03-RUD-EKSK-OOBR-EX04,1212011520.0,E32_01,Двигатели асинхронные,100000007087,Экскаватор электрический WK-20 №1220,E03_02,Экскаваторы электрич,Экскаватор №1220,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX04,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
376,ЭД асинх YJ142A,100000025403,(ТО) YJ142A,Техническое обслуживание,APP1,1100359618,(ТО) YJ142A,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-03-25,2022-03-25,3,3,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх YJ142A,03-RUD-EKSK-OOBR-EX04,1212011520.0,E32_01,Двигатели асинхронные,100000007087,Экскаватор электрический WK-20 №1220,E03_02,Экскаваторы электрич,Экскаватор №1220,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX04,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
377,ЭД асинх YX3-121M-4,100000025398,(ТО)YX3-121M-4,Техническое обслуживание,APP1,1100359880,(ТО)YX3-121M-4,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-03-25,2022-03-25,3,3,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх YX3-121M-4,03-RUD-EKSK-OOBR-EX04,1212011520.0,E32_01,Двигатели асинхронные,100000007087,Экскаватор электрический WK-20 №1220,E03_02,Экскаваторы электрич,Экскаватор №1220,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX04,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
378,ЭД асинх YJ56E,100000025402,(ТО)YJ56E,Техническое обслуживание,APP1,1100359540,(ТО)YJ56E,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-03-25,2022-03-25,3,3,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх YJ56E,03-RUD-EKSK-OOBR-EX04,1212011520.0,E32_01,Двигатели асинхронные,100000007087,Экскаватор электрический WK-20 №1220,E03_02,Экскаваторы электрич,Экскаватор №1220,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX04,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
379,Генератор подъёма_ 4ГПЭМ 600-1/1,100000009355,(ТО) 4ГПЭМ 600-1/1,Техническое обслуживание,APP1,1100358945,(ТО) 4ГПЭМ 600-1/1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-26,2022-04-15,3,4,перенос в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,Генератор подъёма_ 4ГПЭМ 600-1/1,03-RUD-EKSK-OOBR-EX02,1212011220.0,E32_03,Двигатели постоянного тока,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
380,ЭД асинх Д-31,100000009357,(ТО) Д-31,Текущий ремонт,APP1,1100359096,(ТР) Д-31,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-26,2022-03-08,3,3,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх Д-31,03-RUD-EKSK-OOBR-EX02,1212011220.0,E32_01,Двигатели асинхронные,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
381,ЭД синх ДСЭ-750-6,100000009354,(ТО) ДСЭ-750-6,Техническое обслуживание,APP1,1100358845,(ТО) ДСЭ-750-6,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-26,2022-04-15,3,4,перенос в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД синх ДСЭ-750-6,03-RUD-EKSK-OOBR-EX02,1212011220.0,E32_02,Двигатели синхронные,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
382,ЭД пост тока 4ГПЭ 300-1/2,100000009353,(ТО) 4ГПЭ 300-1/2,Техническое обслуживание,APP1,1100358679,(ТО) 4ГПЭ 300-1/2,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-26,2022-04-15,3,4,перенос в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД пост тока 4ГПЭ 300-1/2,03-RUD-EKSK-OOBR-EX02,1212011220.0,E32_03,Двигатели постоянного тока,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
383,ЭД асинх Д-31,100000009372,(ТО) Д-31,Текущий ремонт,APP1,1100359128,(ТР) Д-31 К 026,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-26,2022-08-15,3,8,перенос в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх Д-31,03-RUD-EKSK-OOBR-EX03,1212011220.0,E32_01,Двигатели асинхронные,100000009137,Экскаватор электрический ЭКГ-10 №1208,E03_02,Экскаваторы электрич,Экскаватор №1208,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX03,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
384,ЭД асинх 4МТКН411-8,100000009600,(ТО) 4МТКН411-8,Техническое обслуживание,APP1,1100358859,(ТО) 4МТКН411-8,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-26,2022-02-26,3,2,перенос в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх 4МТКН411-8,03-RUD-EKSK-OOBR-EX03,1212011220.0,E32_01,Двигатели асинхронные,100000009137,Экскаватор электрический ЭКГ-10 №1208,E03_02,Экскаваторы электрич,Экскаватор №1208,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX03,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
385,Генератор напора_4ГПЭМ 170-1/1,100000009352,(ТО) 4ГПЭМ 170-1/1,Техническое обслуживание,APP1,1100358934,(ТО) 4ГПЭМ 170-1/1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-26,2022-04-15,3,4,перенос в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,Генератор напора_4ГПЭМ 170-1/1,03-RUD-EKSK-OOBR-EX02,1212011220.0,E32_03,Двигатели постоянного тока,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
386,Самосвал карьерный БЕЛАЗ-7547 №2441,100000068227,БелАЗ 7547 №1 СЛ,Техническое обслуживание 2,APP1,1100368817,ТО-2 БелАЗ 7547 №1 СЛ,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-03-26,2022-03-26,3,3,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный БЕЛАЗ-7547 №2441,03-KON-OBSL-OB02,1245112123.0,E01_01,Самосвалы карьерные,100000068227,Самосвал карьерный БЕЛАЗ-7547 №2441,E01_01,Самосвалы карьерные,БелАЗ-7547 №2441,03-KON-OBSL-PBEL,first03-KON-OBSL-OB02,first03,03,KON,03-KON,OBSL,-,OBSL,OB02,no_data,Полюс Вернинское,573,Самосвалы БелАЗ-7547
387,ЭД пост тока Д-12,100000009356,(ТО) Д-12,Техническое обслуживание,APP1,1100359016,(ТО) Д-12,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-27,2022-04-15,3,4,перенос в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД пост тока Д-12,03-RUD-EKSK-OOBR-EX02,1212011220.0,E32_03,Двигатели постоянного тока,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
388,ЭД пост тока ДЭ-818,100000009712,(ТО) ДЭ-818,Техническое обслуживание,APP1,1100359057,(ТО) ДЭ-818 К 023,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-27,2022-04-15,3,4,перенос в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД пост тока ДЭ-818,03-RUD-EKSK-OOBR-EX02,1212011220.0,E32_03,Двигатели постоянного тока,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
389,ЭД пост тока ДЭВ-814,100000009350,(ТО) ДЭВ-814,Техническое обслуживание,APP1,1100359185,(ТО) ДЭВ-814 К 004,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-27,2022-04-15,3,4,перенос в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД пост тока ДЭВ-814,03-RUD-EKSK-OOBR-EX02,1212011220.0,E32_03,Двигатели постоянного тока,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
390,ЭД пост тока ДЭ-818,100000009351,(ТО) ДЭ-818,Техническое обслуживание,APP1,1100359045,(ТО) ДЭ-818 К 005,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-27,2022-04-15,3,4,перенос в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД пост тока ДЭ-818,03-RUD-EKSK-OOBR-EX02,1212011220.0,E32_03,Двигатели постоянного тока,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
391,ЭД пост тока ДЭВ-814,100000009349,(ТО) ДЭВ-814,Техническое обслуживание,APP1,1100359033,(ТО) ДЭВ-814,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-27,2022-04-15,3,4,перенос в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД пост тока ДЭВ-814,03-RUD-EKSK-OOBR-EX02,1212011220.0,E32_03,Двигатели постоянного тока,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
392,ЭД асинх АИР132S4,100000009596,(ТО) АИР132S4,Техническое обслуживание,APP1,1100359257,(ТО) АИР132S4E3,НЕВЫ ПКАЛ ЗАКР ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  МТРЦ ТКБЕ СГГС,2022-03-27,2022-01-17,3,1,перенос в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх АИР132S4,03-RUD-EKSK-OOBR-EX03,1212011220.0,E32_01,Двигатели асинхронные,100000009137,Экскаватор электрический ЭКГ-10 №1208,E03_02,Экскаваторы электрич,Экскаватор №1208,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX03,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
393,Самосвал карьерный HD785-7 №1611,100000008668,Самосвал HD785-7 №1611 МТЧ,Техническое обслуживание 1,APP1,1100359369,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-28,2022-03-20,3,3,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD785-7 №1611,03-CTT-KD03,1213011220.0,E01_01,Самосвалы карьерные,100000008668,Самосвал карьерный HD785-7 №1611,E01_01,Самосвалы карьерные,Самосвал №1611,03-CTT-K787,first03-CTT-KD03,first03,03,CTT,03-CTT,KD03,-,KD03,no_data,no_data,Полюс Вернинское,3079,Самосвалы Komatsu HD785-7
394,ЭД пост тока ДЭ-812,100000009711,(ТО) ДЭ-812,Техническое обслуживание,APP1,1100359116,(ТО) ДЭ-812 К 022,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-28,2022-04-15,3,4,перенос в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД пост тока ДЭ-812,03-RUD-EKSK-OOBR-EX02,1212011220.0,E32_03,Двигатели постоянного тока,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
395,Самосвал карьерный HD785-7 №1611,100000008668,ТР Самосвал HD785-7 №1611,Текущий ремонт,APP1,1100380627,ТР Самосвал HD785-7 №1611,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-03-28,2022-03-20,3,3,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD785-7 №1611,03-CTT-KD03,1213011220.0,E01_01,Самосвалы карьерные,100000008668,Самосвал карьерный HD785-7 №1611,E01_01,Самосвалы карьерные,Самосвал №1611,03-CTT-K787,first03-CTT-KD03,first03,03,CTT,03-CTT,KD03,-,KD03,no_data,no_data,Полюс Вернинское,3079,Самосвалы Komatsu HD785-7
396,ЭД асинх АИР100S4,100000009719,(ТО) АИР100S4У2,Техническое обслуживание,APP1,1100359159,(ТО) АИР100S4У2,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-28,2022-03-28,3,3,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх АИР100S4,03-RUD-EKSK-OOBR-EX03,1212011220.0,E32_01,Двигатели асинхронные,100000009137,Экскаватор электрический ЭКГ-10 №1208,E03_02,Экскаваторы электрич,Экскаватор №1208,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX03,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
397,ЭД асинх АИР100S4,100000009370,(ТО) АИР100S4У2,Техническое обслуживание,APP1,1100359403,(ТО) АИР100S4У2,ДЕБЛ ПЕЧТ ПКАЛ ПРВВ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  МТРЦ ТКБЕ СГГС,2022-03-28,2022-01-17,3,1,перенос в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх АИР100S4,03-RUD-EKSK-OOBR-EX03,1212011220.0,E32_01,Двигатели асинхронные,100000009137,Экскаватор электрический ЭКГ-10 №1208,E03_02,Экскаваторы электрич,Экскаватор №1208,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX03,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
398,ЭД асинх АИР80S4,100000009717,(ТО) АИР80S4,Техническое обслуживание,APP1,1100359721,(ТО) АИР80S4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-29,2022-03-29,3,3,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх АИР80S4,03-RUD-EKSK-OOBR-EX03,1212011220.0,E32_01,Двигатели асинхронные,100000009137,Экскаватор электрический ЭКГ-10 №1208,E03_02,Экскаваторы электрич,Экскаватор №1208,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX03,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
