,Название ЕО,ЕО,ТекстПланаПредупрТОРО,Название ВРТ,ВидЗаказа,Заказ,КраткийТекст заказа,СистСтатус,ПользСтатус,ПланДатаНачала,НовДатаНачала,ПланДатаНачала_month,НовДатаНачала_month,статус переноса,planned_in_jan_and_remaining_in_jan,planned_in_jan_moved_to_somewhere,planned_in_jan_moved_to_feb,planned_in_jan_moved_to_mar,planned_in_jan_moved_to_apr,planned_in_jan_moved_to_may,planned_in_jan_moved_to_jun,planned_in_jan_moved_to_jul,planned_in_jan_moved_to_aug,planned_in_jan_moved_to_sep,planned_in_jan_moved_to_oct,planned_in_jan_moved_to_nov,planned_in_jan_moved_to_dec,eo_description,teh_mesto,mvz,eo_class_code,eo_class_description,eo_main_code,eo_main_description,eo_main_class_code,eo_main_class_description,teh_mesto_description,level_upper,code,level_1,level_1_code,level_2_code,level_2_path,level_3_code,level_5,level_6,level_7,level_8,level_1_description,Unnamed: 0,Название технического места
10,Экскаватор гидравл. PC400LC-7 №1210,100000006414,Экскаватор PC400LC-7 №1210 МТЧ,Текущий ремонт 1,APP1,1100360911,ТР1 рабочего оборудования,ПЕЧТ ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПРНТ СРОЧ МТРЦ ТКБЕ СГГС,2022-01-04,2022-01-26,1,1,без переноса в другой месяц,1,0,0,0,0,0,0,0,0,0,0,0,0,Экскаватор гидравл. PC400LC-7 №1210,03-RUD-EKSK-VOBR-EX03,1214011820.0,E03_01,Экскаваторы гидравлические,100000006414,Экскаватор гидравл. PC400LC-7 №1210,E03_01,Экскаваторы гидравли,Экскаватор №1210,03-RUD-EKSK-VOBR-EXCV,first03-RUD-EKSK-VOBR-EX03,first03,03,RUD,03-RUD,EKSK,-,EKSK,VOBR,no_data,Полюс Вернинское,5189,Экскаваторы
11,Экскаватор гидравл. PC400LC-7 №1210,100000006414,Экскаватор PC400LC-7 №1210 МТЧ,Техническое обслуживание 1,APP1,1100360949,Техническое обслуживание 1,ПЕЧТ ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП MOBI JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПРНТ МТРЦ ТКБЕ ПРЭК СГГС,2022-01-04,2022-01-15,1,1,без переноса в другой месяц,1,0,0,0,0,0,0,0,0,0,0,0,0,Экскаватор гидравл. PC400LC-7 №1210,03-RUD-EKSK-VOBR-EX03,1214011820.0,E03_01,Экскаваторы гидравлические,100000006414,Экскаватор гидравл. PC400LC-7 №1210,E03_01,Экскаваторы гидравли,Экскаватор №1210,03-RUD-EKSK-VOBR-EXCV,first03-RUD-EKSK-VOBR-EX03,first03,03,RUD,03-RUD,EKSK,-,EKSK,VOBR,no_data,Полюс Вернинское,5189,Экскаваторы
12,Самосвал карьерный HD1500-8 №1629,100000022783,ТР Самосвал HD1500-8 №1629,Текущий ремонт,APP1,1100381289,ТР Самосвал HD1500-8 №1629,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ СГГС,2022-01-04,2022-02-05,1,2,перенос в другой месяц,0,1,1,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD1500-8 №1629,03-CTT-KM09,1213011320.0,E01_01,Самосвалы карьерные,100000022783,Самосвал карьерный HD1500-8 №1629,E01_01,Самосвалы карьерные,Самосвал №1629,03-CTT-K150,first03-CTT-KM09,first03,03,CTT,03-CTT,KM09,-,KM09,no_data,no_data,Полюс Вернинское,8146,Самосвалы Komatsu HD1500-8
13,Самосвал карьерный HD785-7 №1610,100000008667,Самосвал HD785-7 №1610 МТЧ,Техническое обслуживание 1,APP1,1100359173,Техническое обслуживание 1,ПЕЧТ ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПРНТ СРОЧ МТРЦ ТКБЕ СГГС,2022-01-04,2022-01-10,1,1,без переноса в другой месяц,1,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD785-7 №1610,03-CTT-KD02,1213011220.0,E01_01,Самосвалы карьерные,100000008667,Самосвал карьерный HD785-7 №1610,E01_01,Самосвалы карьерные,Самосвал №1610,03-CTT-K787,first03-CTT-KD02,first03,03,CTT,03-CTT,KD02,-,KD02,no_data,no_data,Полюс Вернинское,3079,Самосвалы Komatsu HD785-7
14,Самосвал карьерный HD1500-8 №1629,100000022783,Самосвал HD1500-8 №1629 МТЧ,Техническое обслуживание 1,APP1,1100363036,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-01-04,2022-10-18,1,10,перенос в другой месяц,0,1,0,0,0,0,0,0,0,0,1,0,0,Самосвал карьерный HD1500-8 №1629,03-CTT-KM09,1213011320.0,E01_01,Самосвалы карьерные,100000022783,Самосвал карьерный HD1500-8 №1629,E01_01,Самосвалы карьерные,Самосвал №1629,03-CTT-K150,first03-CTT-KM09,first03,03,CTT,03-CTT,KM09,-,KM09,no_data,no_data,Полюс Вернинское,8146,Самосвалы Komatsu HD1500-8
15,Самосвал карьерный HD1500-8 №1621,100000006408,Самосвал HD1500-8 №1621 МТЧ,Техническое обслуживание 1,APP1,1100360305,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ СРОЧ МТРЦ ТКБЕ ПЗТГ СГГС,2022-01-04,2022-02-11,1,2,перенос в другой месяц,0,1,1,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD1500-8 №1621,03-CTT-KM01,1213011320.0,E01_01,Самосвалы карьерные,100000006408,Самосвал карьерный HD1500-8 №1621,E01_01,Самосвалы карьерные,Самосвал №1621,03-CTT-K150,first03-CTT-KM01,first03,03,CTT,03-CTT,KM01,-,KM01,no_data,no_data,Полюс Вернинское,8146,Самосвалы Komatsu HD1500-8
16,Самосвал карьерный HD785-7 №1610,100000008667,ТР Самосвал HD785-7 №1610,Текущий ремонт,APP1,1100381366,ТР Самосвал HD785-7 №1610,ПЕЧТ ПДТВ ПКАЛ ПРВВ ТЗКР ДМНП KKMP JBFI,ГОД  УТВГ МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПРНТ СГГС,2022-01-04,2022-01-15,1,1,без переноса в другой месяц,1,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD785-7 №1610,03-CTT-KD02,1213011220.0,E01_01,Самосвалы карьерные,100000008667,Самосвал карьерный HD785-7 №1610,E01_01,Самосвалы карьерные,Самосвал №1610,03-CTT-K787,first03-CTT-KD02,first03,03,CTT,03-CTT,KD02,-,KD02,no_data,no_data,Полюс Вернинское,3079,Самосвалы Komatsu HD785-7
17,Самосвал карьерный HD785-7 №1610,100000008667,ТР Самосвал HD785-7 №1610,Текущий ремонт,APP1,1100381366,ТР Самосвал HD785-7 №1610,ПЕЧТ ПДТВ ПКАЛ ПРВВ ТЗКР ДМНП KKMP JBFI,ГОД  УТВГ МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПРНТ СГГС,2022-01-04,2022-01-15,1,1,без переноса в другой месяц,1,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD785-7 №1610,03-CTT-KD02,1213011220.0,E01_01,Самосвалы карьерные,100000008667,Самосвал карьерный HD785-7 №1610,E01_01,Самосвалы карьерные,Самосвал №1610,03-CTT-K787,first03-CTT-KD02,first03,03,CTT,03-CTT,KD02,-,KD02,no_data,no_data,Полюс Вернинское,3079,Самосвалы Komatsu HD785-7
18,Самосвал карьерный БЕЛАЗ-7547 №2442,100000068228,(ТО) БелАЗ 7451 СЛ №2,Техническое обслуживание 3,APP1,1100368626,(ТО3) БелАЗ 7451 СЛ №2,ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПРНТ СРОЧ МТРЦ ТКБЕ СГГС,2022-01-05,2022-01-03,1,1,без переноса в другой месяц,1,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный БЕЛАЗ-7547 №2442,03-KON-OBSL-OB03,1245112123.0,E01_01,Самосвалы карьерные,100000068228,Самосвал карьерный БЕЛАЗ-7547 №2442,E01_01,Самосвалы карьерные,БелАЗ-7547 №2442,03-KON-OBSL-PBEL,first03-KON-OBSL-OB03,first03,03,KON,03-KON,OBSL,-,OBSL,OB03,no_data,Полюс Вернинское,573,Самосвалы БелАЗ-7547
19,Ковш,100000009853,Экскаватор ЭКГ-10 №1207 МТЧ,Капитальный ремонт,APP1,1100354625,КР ковша,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ КРМТ СГГС,2022-01-05,2022-06-30,1,6,перенос в другой месяц,0,1,0,0,0,0,1,0,0,0,0,0,0,Ковш,03-RUD-EKSK-OOBR-EX02,1212011220.0,S00,Узлы,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
