,Название ЕО,ЕО,ТекстПланаПредупрТОРО,Название ВРТ,ВидЗаказа,Заказ,КраткийТекст заказа,СистСтатус,ПользСтатус,ПланДатаНачала,НовДатаНачала,ПланДатаНачала_month,НовДатаНачала_month
860,ЭД асинх YJ80A1,100000025406,(ТО)YJ80A1,Техническое обслуживание,APP1,1100359559,(ТО)YJ80A1,ПКАЛ ПРВВ ЗАКР МТКУ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ НЕД  УТВН ГИП  СГГС,2022-01-24,2022-01-06,1,1
140,ЭД пост тока 4ГПЭ 300-1/2,100000009353,(ТО) 4ГПЭ 300-1/2,Техническое обслуживание,APP1,1100358677,(ТО) 4ГПЭ 300-1/2,ПЕЧТ ЧПДТ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПРНТ МТРЦ ТКБЕ СГГС,2022-01-25,2022-01-10,1,1
116,Генератор напора_4ГПЭМ 170-1/1,100000009352,(ТО) 4ГПЭМ 170-1/1,Техническое обслуживание,APP1,1100358932,(ТО) 4ГПЭМ 170-1/1,ПЕЧТ ЧПДТ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПРНТ МТРЦ ТКБЕ СГГС,2022-01-25,2022-01-10,1,1
187,Генератор подъёма_ 4ГПЭМ 600-1/1,100000009355,(ТО) 4ГПЭМ 600-1/1,Техническое обслуживание,APP1,1100358943,(ТО) 4ГПЭМ 600-1/1,ПЕЧТ ЧПДТ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПРНТ МТРЦ ТКБЕ СГГС,2022-01-25,2022-01-10,1,1
164,ЭД синх ДСЭ-750-6,100000009354,(ТО) ДСЭ-750-6,Техническое обслуживание,APP1,1100358843,(ТО) ДСЭ-750-6,ПЕЧТ ПКАЛ ПРВВ ЗАКР МТКУ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  МТРЦ ТКБЕ СГГС,2022-01-25,2022-01-10,1,1
68,ЭД пост тока ДЭВ-814,100000009350,(ТО) ДЭВ-814,Техническое обслуживание,APP1,1100359183,(ТО) ДЭВ-814 К 004,ПЕЧТ ЧПДТ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПРНТ МТРЦ ТКБЕ СГГС,2022-01-26,2022-01-10,1,1
92,ЭД пост тока ДЭ-818,100000009351,(ТО) ДЭ-818,Техническое обслуживание,APP1,1100359043,(ТО) ДЭ-818 К 005,ПЕЧТ ЧПДТ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПРНТ МТРЦ ТКБЕ СГГС,2022-01-26,2022-01-10,1,1
234,ЭД асинх Д-31,100000009357,(ТО) Д-31,Техническое обслуживание,APP1,1100359030,(ТО) Д-31,ПКАЛ ПРВВ ЗАКР ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  МТРЦ ТКБЕ СГГС,2022-01-26,2022-01-10,1,1
431,ЭД асинх Д-31,100000009372,(ТО) Д-31,Техническое обслуживание,APP1,1100359097,(ТО) Д-31 К 026,ПЕЧТ ЧПДТ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПРНТ МТРЦ ТКБЕ СГГС,2022-01-26,2022-01-17,1,1
571,ЭД пост тока ДЭ-818,100000009712,(ТО) ДЭ-818,Техническое обслуживание,APP1,1100359055,(ТО) ДЭ-818 К 023,ПЕЧТ ЧПДТ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПРНТ МТРЦ ТКБЕ СГГС,2022-01-26,2022-01-10,1,1
44,ЭД пост тока ДЭВ-814,100000009349,(ТО) ДЭВ-814,Техническое обслуживание,APP1,1100359031,(ТО) ДЭВ-814,ПЕЧТ ЧПДТ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПРНТ МТРЦ ТКБЕ СГГС,2022-01-26,2022-01-10,1,1
211,ЭД пост тока Д-12,100000009356,(ТО) Д-12,Техническое обслуживание,APP1,1100359014,(ТО) Д-12,ПКАЛ ПРВВ ЗАКР МТКУ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  МТРЦ ТКБЕ СГГС,2022-01-26,2022-01-10,1,1
548,ЭД пост тока ДЭ-812,100000009711,(ТО) ДЭ-812,Техническое обслуживание,APP1,1100359158,(ТО) ДЭ-812,ПКАЛ ПРВВ ЗАКР МТКУ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  МТРЦ ТКБЕ СГГС,2022-01-27,2022-01-10,1,1
22,ЭД пост тока ДЭ-812,100000009347,Электродвигатель ДЭ-812 ЧАС,Техническое обслуживание,APP1,1100369368,(ТО) ДЭ-812 К 001,ДЕБЛ ПКАЛ ПРВВ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-02-12,2022-02-02,2,2
456,ЭД синх ДСЭ-750-6,100000009373,(ТО) ДСЭ-750-6,Техническое обслуживание,APP1,1100358779,(ТО) ДСЭ-750-6,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  МТРЦ ТКБЕ СГГС,2022-02-14,2022-02-24,2,2
376,Генератор подъёма_4ГПЭМ 600-1/1,100000009369,(ТО) 4ГПЭМ 600-1/1,Техническое обслуживание,APP1,1100358956,(ТО) 4ГПЭМ 600-1/1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  МТРЦ ТКБЕ СГГС,2022-02-14,2022-02-24,2,2
328,ЭД пост тока 4ГПЭ 300-1/2,100000009367,(ТО) 4ГПЭ 300-1/2,Техническое обслуживание,APP1,1100358912,(ТО) 4ГПЭ 300-1/2,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  МТРЦ ТКБЕ СГГС,2022-02-14,2022-02-24,2,2
352,Генератор напора_4ГПЭМ 170-1/1,100000009368,(ТО) 4ГПЭМ 170-1/1,Техническое обслуживание,APP1,1100358766,(ТО) 4ГПЭМ 170-1/1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  МТРЦ ТКБЕ СГГС,2022-02-14,2022-02-24,2,2
408,ЭД пост тока Д-12,100000009371,(ТО) Д-12,Техническое обслуживание,APP1,1100358997,(ТО) Д-12,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  МТРЦ ТКБЕ СГГС,2022-02-15,2022-02-24,2,2
659,ЭД асинх  YJ13L3,100000025392,ТО Хода №2;  YJ13L3 К 047,Техническое обслуживание,APP1,1100358701,ТО Хода №2;  YJ13L3 К 047,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  СГГС,2022-02-19,2022-02-09,2,2
636,ЭД асинх  YJ13L3,100000025391,ТО YJ13L3 К 047,Техническое обслуживание,APP1,1100358723,ТО Хода №1;  YJ13L3 К 047,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  СГГС,2022-02-19,2022-02-09,2,2
861,ЭД асинх YJ80A1,100000025406,(ТО)YJ80A1,Техническое обслуживание,APP1,1100359561,(ТО)YJ80A1,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  СГГС,2022-02-23,2022-02-10,2,2
852,ЭД асинх 1LE0002-1BC2 3-3FA4 132M,100000025405,(ТО)1LE0002-1BC,Техническое обслуживание,APP1,1100359900,(ТО)1LE0002-1BC,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  СГГС,2022-02-23,2022-02-10,2,2
822,ЭД асинх YJ142A,100000025403,(ТО) YJ142A,Техническое обслуживание,APP1,1100359617,(ТО) YJ142A,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  СГГС,2022-02-23,2022-02-10,2,2
712,ЭД асинх YE2-90S,100000025395,(ТО)YE2-90S-4,Техническое обслуживание,APP1,1100359731,(ТО)YE2-90S-4,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  СГГС,2022-02-23,2022-02-09,2,2
799,ЭД асинх YJ56E,100000025402,(ТО)YJ56E,Техническое обслуживание,APP1,1100359539,(ТО)YJ56E,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  СГГС,2022-02-23,2022-02-10,2,2
737,ЭД асинх YX3-121M-4,100000025398,(ТО)YX3-121M-4,Техническое обслуживание,APP1,1100359879,(ТО)YX3-121M-4,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  СГГС,2022-02-23,2022-02-09,2,2
759,ЭД асинх DYP-132S-4G,100000025399,(ТО) DYP-132S-4G,Техническое обслуживание,APP1,1100359864,(ТО) DYP-132S-4G,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  СГГС,2022-02-23,2022-02-10,2,2
682,ЭД асинх YJ13L4,100000025393,(ТО) YJ13L4,Техническое обслуживание,APP1,1100359356,(ТО) YJ13L4,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  СГГС,2022-02-23,2022-02-09,2,2
844,ЭД асинх 1LE0002-1BC2 3-3FA4 132M,100000025404,(ТО)1LE0002-1BC,Техническое обслуживание,APP1,1100359853,(ТО)1LE0002-1BC,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  СГГС,2022-02-23,2022-02-10,2,2
704,ЭД асинх YE2-132S,100000025394,(ТО) YE2-132S-4,Техническое обслуживание,APP1,1100359596,(ТО) YE2-132S-4,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  СГГС,2022-02-23,2022-02-09,2,2
776,ЭД асинх YJ56E,100000025401,(ТО)YJ56E,Техническое обслуживание,APP1,1100359527,(ТО)YJ56E,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  СГГС,2022-02-23,2022-02-10,2,2
767,ЭД асинх HM2-100L-8,100000025400,(ТО)HM2-100L-8,Техническое обслуживание,APP1,1100359317,(ТО)HM2-100L-8,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  СГГС,2022-02-23,2022-02-10,2,2
728,ЭД асинх  M2BAX 100LB 4,100000025397,(ТО) M2BAX 100L К 052,Техническое обслуживание,APP1,1100359602,(ТО) M2BAX 100L К 052,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  СГГС,2022-02-23,2022-02-09,2,2
720,ЭД асинх  M2BAX 100LB 4,100000025396,(ТО) M2BAX 100L К 052,Техническое обслуживание,APP1,1100359395,(ТО) M2BAX 100L К 052,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  СГГС,2022-02-23,2022-02-09,2,2
884,ЭД асинх YJ80A1,100000025407,(ТО)YJ80A1,Техническое обслуживание,APP1,1100359580,(ТО)YJ80A1,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  СГГС,2022-02-23,2022-02-10,2,2
188,Генератор подъёма_ 4ГПЭМ 600-1/1,100000009355,(ТО) 4ГПЭМ 600-1/1,Техническое обслуживание,APP1,1100358944,(ТО) 4ГПЭМ 600-1/1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-02-24,2022-02-07,2,2
165,ЭД синх ДСЭ-750-6,100000009354,(ТО) ДСЭ-750-6,Техническое обслуживание,APP1,1100358844,(ТО) ДСЭ-750-6,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-02-24,2022-02-07,2,2
117,Генератор напора_4ГПЭМ 170-1/1,100000009352,(ТО) 4ГПЭМ 170-1/1,Техническое обслуживание,APP1,1100358933,(ТО) 4ГПЭМ 170-1/1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-02-24,2022-02-07,2,2
141,ЭД пост тока 4ГПЭ 300-1/2,100000009353,(ТО) 4ГПЭ 300-1/2,Техническое обслуживание,APP1,1100358678,(ТО) 4ГПЭ 300-1/2,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-02-24,2022-02-07,2,2
572,ЭД пост тока ДЭ-818,100000009712,(ТО) ДЭ-818,Техническое обслуживание,APP1,1100359056,(ТО) ДЭ-818 К 023,ДЕБЛ ПКАЛ ПРВВ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-02-25,2022-02-01,2,2
45,ЭД пост тока ДЭВ-814,100000009349,(ТО) ДЭВ-814,Техническое обслуживание,APP1,1100359032,(ТО) ДЭВ-814,ДЕБЛ ПКАЛ ПРВВ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-02-25,2022-02-02,2,2
235,ЭД асинх Д-31,100000009357,(ТО) Д-31,Техническое обслуживание,APP1,1100359086,(ТО) Д-31,ДЕБЛ ПКАЛ ПРВВ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-02-25,2022-02-02,2,2
432,ЭД асинх Д-31,100000009372,(ТО) Д-31,Техническое обслуживание,APP1,1100359098,(ТО) Д-31 К 026,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  МТРЦ ТКБЕ СГГС,2022-02-25,2022-02-25,2,2
69,ЭД пост тока ДЭВ-814,100000009350,(ТО) ДЭВ-814,Техническое обслуживание,APP1,1100359184,(ТО) ДЭВ-814 К 004,ДЕБЛ ПКАЛ ПРВВ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-02-25,2022-02-01,2,2
212,ЭД пост тока Д-12,100000009356,(ТО) Д-12,Техническое обслуживание,APP1,1100359015,(ТО) Д-12,ДЕБЛ ПКАЛ ПРВВ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-02-25,2022-02-02,2,2
93,ЭД пост тока ДЭ-818,100000009351,(ТО) ДЭ-818,Техническое обслуживание,APP1,1100359044,(ТО) ДЭ-818 К 005,ДЕБЛ ПКАЛ ПРВВ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-02-25,2022-02-01,2,2
549,ЭД пост тока ДЭ-812,100000009711,(ТО) ДЭ-812,Техническое обслуживание,APP1,1100359115,(ТО) ДЭ-812 К 022,ДЕБЛ ПКАЛ ПРВВ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-02-26,2022-02-02,2,2
23,ЭД пост тока ДЭ-812,100000009347,Электродвигатель ДЭ-812 ЧАС,Техническое обслуживание,APP1,1100369369,(ТО) ДЭ-812 К 001,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-14,2022-04-15,3,4
353,Генератор напора_4ГПЭМ 170-1/1,100000009368,(ТО) 4ГПЭМ 170-1/1,Техническое обслуживание,APP1,1100358767,(ТО) 4ГПЭМ 170-1/1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-16,2022-03-16,3,3
329,ЭД пост тока 4ГПЭ 300-1/2,100000009367,(ТО) 4ГПЭ 300-1/2,Техническое обслуживание,APP1,1100358913,(ТО) 4ГПЭ 300-1/2,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-16,2022-03-16,3,3
457,ЭД синх ДСЭ-750-6,100000009373,(ТО) ДСЭ-750-6,Техническое обслуживание,APP1,1100359020,(ТО) ДСЭ-750-6,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-16,2022-03-16,3,3
377,Генератор подъёма_4ГПЭМ 600-1/1,100000009369,(ТО) 4ГПЭМ 600-1/1,Техническое обслуживание,APP1,1100358957,(ТО) 4ГПЭМ 600-1/1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-16,2022-03-16,3,3
409,ЭД пост тока Д-12,100000009371,(ТО) Д-12,Техническое обслуживание,APP1,1100358998,(ТО) Д-12,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-17,2022-03-17,3,3
637,ЭД асинх  YJ13L3,100000025391,ТО YJ13L3 К 047,Техническое обслуживание,APP1,1100358724,ТО Хода №1;  YJ13L3 К 047,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-03-21,2022-03-21,3,3
660,ЭД асинх  YJ13L3,100000025392,ТО Хода №2;  YJ13L3 К 047,Техническое обслуживание,APP1,1100358702,ТО Хода №2;  YJ13L3 К 047,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-03-21,2022-03-21,3,3
823,ЭД асинх YJ142A,100000025403,(ТО) YJ142A,Техническое обслуживание,APP1,1100359618,(ТО) YJ142A,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-03-25,2022-03-25,3,3
885,ЭД асинх YJ80A1,100000025407,(ТО)YJ80A1,Техническое обслуживание,APP1,1100359581,(ТО)YJ80A1,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-03-25,2022-03-25,3,3
862,ЭД асинх YJ80A1,100000025406,(ТО)YJ80A1,Техническое обслуживание,APP1,1100359564,(ТО)YJ80A1,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-03-25,2022-03-25,3,3
683,ЭД асинх YJ13L4,100000025393,(ТО) YJ13L4,Техническое обслуживание,APP1,1100359357,(ТО) YJ13L4,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-03-25,2022-03-25,3,3
738,ЭД асинх YX3-121M-4,100000025398,(ТО)YX3-121M-4,Техническое обслуживание,APP1,1100359880,(ТО)YX3-121M-4,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-03-25,2022-03-25,3,3
800,ЭД асинх YJ56E,100000025402,(ТО)YJ56E,Техническое обслуживание,APP1,1100359540,(ТО)YJ56E,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-03-25,2022-03-25,3,3
777,ЭД асинх YJ56E,100000025401,(ТО)YJ56E,Техническое обслуживание,APP1,1100359528,(ТО)YJ56E,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-03-25,2022-03-25,3,3
166,ЭД синх ДСЭ-750-6,100000009354,(ТО) ДСЭ-750-6,Техническое обслуживание,APP1,1100358845,(ТО) ДСЭ-750-6,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-26,2022-04-15,3,4
118,Генератор напора_4ГПЭМ 170-1/1,100000009352,(ТО) 4ГПЭМ 170-1/1,Техническое обслуживание,APP1,1100358934,(ТО) 4ГПЭМ 170-1/1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-26,2022-04-15,3,4
189,Генератор подъёма_ 4ГПЭМ 600-1/1,100000009355,(ТО) 4ГПЭМ 600-1/1,Техническое обслуживание,APP1,1100358945,(ТО) 4ГПЭМ 600-1/1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-26,2022-04-15,3,4
508,ЭД асинх 4МТКН411-8,100000009600,(ТО) 4МТКН411-8,Техническое обслуживание,APP1,1100358859,(ТО) 4МТКН411-8,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-26,2022-02-26,3,2
433,ЭД асинх Д-31,100000009372,(ТО) Д-31,Текущий ремонт,APP1,1100359128,(ТР) Д-31 К 026,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-26,2022-08-15,3,8
236,ЭД асинх Д-31,100000009357,(ТО) Д-31,Текущий ремонт,APP1,1100359096,(ТР) Д-31,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-26,2022-03-08,3,3
142,ЭД пост тока 4ГПЭ 300-1/2,100000009353,(ТО) 4ГПЭ 300-1/2,Техническое обслуживание,APP1,1100358679,(ТО) 4ГПЭ 300-1/2,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-26,2022-04-15,3,4
573,ЭД пост тока ДЭ-818,100000009712,(ТО) ДЭ-818,Техническое обслуживание,APP1,1100359057,(ТО) ДЭ-818 К 023,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-27,2022-04-15,3,4
213,ЭД пост тока Д-12,100000009356,(ТО) Д-12,Техническое обслуживание,APP1,1100359016,(ТО) Д-12,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-27,2022-04-15,3,4
94,ЭД пост тока ДЭ-818,100000009351,(ТО) ДЭ-818,Техническое обслуживание,APP1,1100359045,(ТО) ДЭ-818 К 005,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-27,2022-04-15,3,4
46,ЭД пост тока ДЭВ-814,100000009349,(ТО) ДЭВ-814,Техническое обслуживание,APP1,1100359033,(ТО) ДЭВ-814,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-27,2022-04-15,3,4
70,ЭД пост тока ДЭВ-814,100000009350,(ТО) ДЭВ-814,Техническое обслуживание,APP1,1100359185,(ТО) ДЭВ-814 К 004,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-27,2022-04-15,3,4
479,ЭД асинх АИР132S4,100000009596,(ТО) АИР132S4,Техническое обслуживание,APP1,1100359257,(ТО) АИР132S4E3,НЕВЫ ПКАЛ ЗАКР ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  МТРЦ ТКБЕ СГГС,2022-03-27,2022-01-17,3,1
627,ЭД асинх АИР100S4,100000009719,(ТО) АИР100S4У2,Техническое обслуживание,APP1,1100359159,(ТО) АИР100S4У2,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-28,2022-03-28,3,3
399,ЭД асинх АИР100S4,100000009370,(ТО) АИР100S4У2,Техническое обслуживание,APP1,1100359403,(ТО) АИР100S4У2,ДЕБЛ ПЕЧТ ПКАЛ ПРВВ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  МТРЦ ТКБЕ СГГС,2022-03-28,2022-01-17,3,1
550,ЭД пост тока ДЭ-812,100000009711,(ТО) ДЭ-812,Техническое обслуживание,APP1,1100359116,(ТО) ДЭ-812 К 022,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-28,2022-04-15,3,4
595,ЭД асинх АИР132S4,100000009713,(ТО) АИР132S4,Техническое обслуживание,APP1,1100359707,(ТО) АИР132S4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  МТРЦ ТКБЕ СГГС,2022-03-29,2022-02-25,3,2
532,ЭД асинх АИР80S4,100000009709,(ТО) АИР80S4,Техническое обслуживание,APP1,1100359309,(ТО) АИР80S4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  МТРЦ ТКБЕ СГГС,2022-03-29,2022-02-26,3,2
619,ЭД асинх АИР80S4,100000009718,(ТО) АИР80S4,Техническое обслуживание,APP1,1100359725,(ТО) АИР80S4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-29,2022-03-29,3,3
500,ЭД асинх АИР132S4,100000009599,(ТО) АИР132S4,Техническое обслуживание,APP1,1100359703,(ТО) АИР132S4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-29,2022-02-26,3,2
603,ЭД асинх АИР132S4,100000009714,(ТО) АИР132S4,Техническое обслуживание,APP1,1100359697,(ТО) АИР132S4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-29,2022-03-29,3,3
611,ЭД асинх АИР80S4,100000009717,(ТО) АИР80S4,Техническое обслуживание,APP1,1100359721,(ТО) АИР80S4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-03-29,2022-03-29,3,3
486,ЭД асинх АИР132S4,100000009597,(ТО) АИР132S4,Техническое обслуживание,APP1,1100359495,(ТО) АИР132S4,НЕВЫ ПКАЛ ЗАКР ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  МТРЦ ТКБЕ СГГС,2022-03-29,2022-01-17,3,1
493,ЭД асинх АИР132S4,100000009598,(ТО) АИР132S4,Техническое обслуживание,APP1,1100359499,(ТО) АИР132S4,НЕВЫ ПКАЛ ЗАКР ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  МТРЦ ТКБЕ СГГС,2022-03-29,2022-01-17,3,1
