,Заказ,Базисный срок начала,Базисный срок конца,БЕ,Группа плановиков,Сообщение,Вид заказа,Вид работы ТОРО,Время ремонтного простоя (Зкз),Общее время простоя (Зкз),Метка удаления,СистСтатус,ПользСтатус,Системный статус сообщения ТОРО,Наименование класса ЕО,Краткий текст,Единица оборудования,Техническое место,Название технического места,СПП - заголовок заказа,basis_start_year,basis_start_month,basis_start_month_name,basis_start_date,basis_start_month_year,basis_start_monthname_year,order_system_status,ТЗКР; Технически закрыто,ПДТВ; Подтверждено,ПКАЛ; ПредвКалькуляция проведена,ПРВВ; Правило расчета введено,ДМНП; ДоступностьМтрл не проверена,KKMP; Без компонентов материала,JBFI; Задача завершена,ЗАКР; Закрыто,МТКУ; Метка удаления,НЕВЫ; Не выполнено,ДВМА; Движение материала произошло,ПЕЧТ; Напечатано,MOBI; Данные на мобильном устройстве,ЧПДТ; Частично подтверждено,ЧПЕЧ; Частично напечатано,ОШОЗ; Ошибка при определении затрат,ОТКР; Открыто,ДЕБЛ; Деблокировано,СРНА; Сроки не актуальны,iw39,Вид заказа Описание,Вид_заказа,count
0,1600123856,2022-01-01,1/1/2022,1200,100,7940363870,AETG,ЕСО,"0,33","0,33",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,УТВН ЗАПЛ,СОЗА ЗКПР,Экскаваторы гидравлические,ЕСО 1 смена,100000006414,03-RUD-EKSK-VOBR-EX03,Экскаватор №1210,LT-1200-2022-4-024-02,2022,1,январь,2022-01-01,1_2022,январь_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39,ЕТО на ГТК,AETG; ЕТО на ГТК,1
1,1200080327,2022-01-01,1/1/2022,1200,100,7200143567,AVS1,ТР,"0,01","0,01",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,СГГС ПРНТ,СОЗА ЗКПР ВСМИ,Экскаваторы гидравлические,Замена ремней вентилятора,100000006414,03-RUD-EKSK-VOBR-EX03,Экскаватор №1210,LT-1200-2022-4-024-02,2022,1,январь,2022-01-01,1_2022,январь_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39,Внеплановое ТОРО,AVS1; Внеплановое ТОРО,1
2,1600123863,2022-01-01,1/1/2022,1200,100,7940363877,AETG,ЕСО,"0,33","0,33",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,УТВН ЗАПЛ,СОЗА ЗКПР,Экскаваторы гидравлические,ЕСО 2 смена,100000006414,03-RUD-EKSK-VOBR-EX03,Экскаватор №1210,LT-1200-2022-4-024-02,2022,1,январь,2022-01-01,1_2022,январь_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39,ЕТО на ГТК,AETG; ЕТО на ГТК,1
3,1200080433,2022-01-01,1/1/2022,1200,100,7200143572,AVS1,ТР,"0,01","0,01",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,СГГС ПРНТ,СОЗА ЗКПР ВСМИ,Самосвалы карьерные,Доведение тех. жидкости до уровня,100000068229,03-KON-OBSL-OB04, БелАЗ-7547 №2443,LT-1200-2022-4-024-02,2022,1,январь,2022-01-01,1_2022,январь_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39,Внеплановое ТОРО,AVS1; Внеплановое ТОРО,1
4,1600123760,2022-01-01,1/1/2022,1200,100,7940363774,AETG,ЕСО,"0,33","0,33",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,УТВН ЗАПЛ,СОЗА ЗКПР,Экскаваторы гидравлические,ЕСО 1 смена,100000008675,03-RUD-EKSK-VOBR-EX01,Экскаватор №1201,LT-1200-2022-4-024-02,2022,1,январь,2022-01-01,1_2022,январь_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39,ЕТО на ГТК,AETG; ЕТО на ГТК,1
5,1600123767,2022-01-01,1/1/2022,1200,100,7940363781,AETG,ЕСО,"0,33","0,33",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,УТВН ЗАПЛ,СОЗА ЗКПР,Экскаваторы гидравлические,ЕСО 2 смена,100000008675,03-RUD-EKSK-VOBR-EX01,Экскаватор №1201,LT-1200-2022-4-024-02,2022,1,январь,2022-01-01,1_2022,январь_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39,ЕТО на ГТК,AETG; ЕТО на ГТК,1
6,1600123835,2022-01-01,1/1/2022,1200,100,7940363839,AETG,ЕСО,"0,33","0,33",X,ЗАКР ПКАЛ ПРВВ МТКУ ДМНП KKMP,УТВН ЗАПЛ,СОЗА ЗКПР МТКУ,Экскаваторы гидравлические,ЕСО 2 смена,100000008676,03-RUD-EKSK-VOBR-EX02,Экскаватор №1202,LT-1200-2022-4-024-02,2022,1,январь,2022-01-01,1_2022,январь_2022,"['ЗАКР', 'ПКАЛ', 'ПРВВ', 'МТКУ', 'ДМНП', 'KKMP']",0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,iw39,ЕТО на ГТК,AETG; ЕТО на ГТК,1
7,1600123712,2022-01-01,1/1/2022,1200,100,7940363726,AETG,ЕСО,"0,33","0,33",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,УТВН ЗАПЛ,СОЗА ЗКПР,Экскаваторы гидравлические,ЕСО 1 смена,100000008679,03-RUD-EKSK-VOBR-EX06,Экскаватор №1214,LT-1200-2022-4-024-02,2022,1,январь,2022-01-01,1_2022,январь_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39,ЕТО на ГТК,AETG; ЕТО на ГТК,1
8,1600123719,2022-01-01,1/1/2022,1200,100,7940363733,AETG,ЕСО,"0,33","0,33",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,УТВН ЗАПЛ,СОЗА ЗКПР,Экскаваторы гидравлические,ЕСО 2 смена,100000008679,03-RUD-EKSK-VOBR-EX06,Экскаватор №1214,LT-1200-2022-4-024-02,2022,1,январь,2022-01-01,1_2022,январь_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39,ЕТО на ГТК,AETG; ЕТО на ГТК,1
9,1200080329,2022-01-01,1/1/2022,1200,100,7200143510,AVS1,ТР,"0,01","0,01",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,СГГС ПРНТ,СОЗА ЗКПР ВСМИ,Экскаваторы гидравлические,Замена клапана,100000009138,03-RUD-EKSK-OOBR-EX01,Экскаватор №1203,LT-1200-2022-2-010-02,2022,1,январь,2022-01-01,1_2022,январь_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39,Внеплановое ТОРО,AVS1; Внеплановое ТОРО,1
10,1200080423,2022-01-01,1/1/2022,1200,100,7200143498,AVS1,ТР,"0,01","0,01",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,СГГС ПРНТ,СОЗА ЗКПР ВСМИ,Самосвалы карьерные,Замена фильтров,100000068231,03-KON-OBSL-OB06, БелАЗ-7547 №2445,LT-1200-2022-4-024-02,2022,1,январь,2022-01-01,1_2022,январь_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39,Внеплановое ТОРО,AVS1; Внеплановое ТОРО,1
11,1600123931,2022-01-01,1/1/2022,1200,100,7940363935,AETG,ЕСО,"0,33","0,33",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,УТВН ЗАПЛ,СОЗА ЗКПР,Экскаваторы гидравлические,ЕСО 2 смена,100000008677,03-RUD-EKSK-VOBR-EX04,Экскаватор №1211,LT-1200-2022-4-024-02,2022,1,январь,2022-01-01,1_2022,январь_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39,ЕТО на ГТК,AETG; ЕТО на ГТК,1
12,1600123924,2022-01-01,1/1/2022,1200,100,7940363918,AETG,ЕСО,"0,33","0,33",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,УТВН ЗАПЛ,СОЗА ЗКПР,Экскаваторы гидравлические,ЕСО 1 смена,100000008677,03-RUD-EKSK-VOBR-EX04,Экскаватор №1211,LT-1200-2022-4-024-02,2022,1,январь,2022-01-01,1_2022,январь_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39,ЕТО на ГТК,AETG; ЕТО на ГТК,1
13,1200080442,2022-01-01,1/1/2022,1200,100,7200143391,AVS1,ТР,"0,01","0,01",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,СГГС ПРНТ,СОЗА ЗКПР ВСМИ,Самосвалы карьерные,Доведение тех.жидкости до уровня,100000008671,03-CTT-KD06,Самосвал №1614,LT-1200-2022-2-014-02,2022,1,январь,2022-01-01,1_2022,январь_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39,Внеплановое ТОРО,AVS1; Внеплановое ТОРО,1
14,1800005315,2022-01-01,1/2/2022,1200,100,,ATU1,ПТР,"24,00","24,00",X,ЗАКР НЕВЫ ПКАЛ МТКУ ДМНП KKMP,ПЛАН ГОД УТВП ГИП КОРР ТКБЕ,,Экскаваторы электрические,Канаты WK 20,100000007087,03-RUD-EKSK-OOBR-EX04,Экскаватор №1220,LT-1200-2022-2-010-02,2022,1,январь,2022-01-01,1_2022,январь_2022,"['ЗАКР', 'НЕВЫ', 'ПКАЛ', 'МТКУ', 'ДМНП', 'KKMP']",0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,iw39,Технический заказ ТОРО,ATU1; Технический заказ ТОРО,1
