BE_id,ЗаводРасположТехнОб,BE_name,eo_code,eo_subclass_id,eo_subclass_name,eo_model_id,eo_model_name,ТипЕдОборуд,eo_description,Группа плановиков,teh_mesto_id,teh_mesto_name,mvz,Серийный номер изготовителя,constr_type_id,constr_type_descr,Номер модели,operation_start_date,operation_finish_date_sap,expected_operation_finish_date,last_overhaul_date,konserv_start_date,konserv_finish_date,Вышестоящая ЕО,Инвентарный номер,Центр затрат,Название Центра затрат,Название вида оборудования,Название типа оборудования,Наименование МВЗ
1400,1402,"АО ""Полюс Магадан""",100000084492,E01_01,Самосвалы карьерные,68,Самосвалы Komatsu 730E-10,O,Самосвал карьерный 730E-10 №37,100,05-KAR-UTTR-K101,Самосвал карьерный №37,1413011320,,960011512,730E-10_E01_01,,01.03.2022,,,,,,,000000000,141301,Парки БА,Транспорт,Основной,АТЦПркАвтKomat730E
1400,1402,"АО ""Полюс Магадан""",100000084493,E01_01,Самосвалы карьерные,68,Самосвалы Komatsu 730E-10,O,Самосвал карьерный 730E-10 №38,100,05-KAR-UTTR-K102,Самосвал карьерный №38,1413011320,,960011512,730E-10_E01_01,,01.03.2022,,,,,,,000000000,141301,Парки БА,Транспорт,Основной,АТЦПркАвтKomat730E
1400,1402,"АО ""Полюс Магадан""",100000084494,E01_01,Самосвалы карьерные,68,Самосвалы Komatsu 730E-10,O,Самосвал карьерный 730E-10 №39,100,05-KAR-UTTR-K103,Самосвал карьерный №39,1413011320,,960011512,730E-10_E01_01,,01.03.2022,,,,,,,000000000,141301,Парки БА,Транспорт,Основной,АТЦПркАвтKomat730E
1400,1402,"АО ""Полюс Магадан""",100000084495,E01_01,Самосвалы карьерные,68,Самосвалы Komatsu 730E-10,O,Самосвал карьерный 730E-10 №40,100,05-KAR-UTTR-K104,Самосвал карьерный №40,1413011320,,960011512,730E-10_E01_01,,01.03.2022,,,,,,,000000000,141301,Парки БА,Транспорт,Основной,АТЦПркАвтKomat730E
1400,1402,"АО ""Полюс Магадан""",100000084496,E01_01,Самосвалы карьерные,68,Самосвалы Komatsu 730E-10,O,Самосвал карьерный 730E-10 №41,100,05-KAR-UTTR-K105,Самосвал карьерный №41,1413011320,,960011512,730E-10_E01_01,,01.04.2022,,,,,,,000000000,141301,Парки БА,Транспорт,Основной,АТЦПркАвтKomat730E
1400,1402,"АО ""Полюс Магадан""",100000084497,E01_01,Самосвалы карьерные,68,Самосвалы Komatsu 730E-10,O,Самосвал карьерный 730E-10 №42,100,05-KAR-UTTR-K106,Самосвал карьерный №42,1413011320,,960011512,730E-10_E01_01,,01.04.2022,,,,,,,000000000,141301,Парки БА,Транспорт,Основной,АТЦПркАвтKomat730E
1400,1402,"АО ""Полюс Магадан""",100000084498,E01_01,Самосвалы карьерные,68,Самосвалы Komatsu 730E-10,O,Самосвал карьерный 730E-10 №43,100,05-KAR-UTTR-K107,Самосвал карьерный №43,1413011320,,960011512,730E-10_E01_01,,01.05.2022,,,,,,,000000000,141301,Парки БА,Транспорт,Основной,АТЦПркАвтKomat730E
1400,1402,"АО ""Полюс Магадан""",100000084499,E01_01,Самосвалы карьерные,68,Самосвалы Komatsu 730E-10,O,Самосвал карьерный 730E-10 №44,100,05-KAR-UTTR-K108,Самосвал карьерный 44,1413011320,,960011512,730E-10_E01_01,730E-10,01.05.2022,,,,,,,000000000,141301,Парки БА,Транспорт,Основной,АТЦПркАвтKomat730E
1400,1402,"АО ""Полюс Магадан""",100000084500,E01_01,Самосвалы карьерные,68,Самосвалы Komatsu 730E-10,O,Самосвал карьерный 730E-10 №45,100,05-KAR-UTTR-K109,Самосвал карьерный №45,1413011320,,960011512,730E-10_E01_01,,01.06.2022,,,,,,,000000000,141301,Парки БА,Транспорт,Основной,АТЦПркАвтKomat730E
1400,1402,"АО ""Полюс Магадан""",100000084501,E01_01,Самосвалы карьерные,68,Самосвалы Komatsu 730E-10,O,Самосвал карьерный 730E-10 №46,100,05-KAR-UTTR-K110,Самосвал карьерный №46,1413011320,,960011512,730E-10_E01_01,,01.06.2022,,,,,,,000000000,141301,Парки БА,Транспорт,Основной,АТЦПркАвтKomat730E
1400,1402,"АО ""Полюс Магадан""",100000084502,E01_01,Самосвалы карьерные,68,Самосвалы Komatsu 730E-10,O,Самосвал карьерный 730E-10 №47,100,05-KAR-UTTR-K111,Самосвал карьерный №47,1413011320,,960011512,730E-10_E01_01,,01.06.2022,,,,,,,000000000,141301,Парки БА,Транспорт,Основной,АТЦПркАвтKomat730E
1400,1402,"АО ""Полюс Магадан""",100000084503,E01_01,Самосвалы карьерные,68,Самосвалы Komatsu 730E-10,O,Самосвал карьерный 730E-10 №48,100,05-KAR-UTTR-K112,Самосвал карьерный №48,1413011320,,960011512,730E-10_E01_01,,01.06.2022,,,,,,,000000000,141301,Парки БА,Транспорт,Основной,АТЦПркАвтKomat730E
1400,1402,"АО ""Полюс Магадан""",100000084504,E01_01,Самосвалы карьерные,68,Самосвалы Komatsu 730E-10,O,Самосвал карьерный 730E-10 №49,100,05-KAR-UTTR-K113,Самосвал карьерный №49,1413011320,,960011512,730E-10_E01_01,,01.07.2022,,,,,,,000000000,141301,Парки БА,Транспорт,Основной,АТЦПркАвтKomat730E
1400,1402,"АО ""Полюс Магадан""",100000084505,E01_01,Самосвалы карьерные,68,Самосвалы Komatsu 730E-10,O,Самосвал карьерный 730E-10 №50,100,05-KAR-UTTR-K114,Самосвал карьерный №50,1413011320,,960011512,730E-10_E01_01,,01.07.2022,,,,,,,000000000,141301,Парки БА,Транспорт,Основной,АТЦПркАвтKomat730E
1400,1402,"АО ""Полюс Магадан""",100000084506,E01_01,Самосвалы карьерные,68,Самосвалы Komatsu 730E-10,O,Самосвал карьерный 730E-10 №51,100,05-KAR-UTTR-K115,Самосвал карьерный №51,1413011320,,960011512,730E-10_E01_01,,01.07.2022,,,,,,,000000000,141301,Парки БА,Транспорт,Основной,АТЦПркАвтKomat730E
1100,1105,"АО ""Полюс Красноярск""",100000065576,E01_01,Самосвалы карьерные,61,Самосвалы БелАЗ-7540,O,Самосвал карьерный БЕЛАЗ-7540А №06,100,11-RUD-CGTR-SEBT-BE01,Самосвал карьерный №06,1113011520,Y3В7540A030022238,960003984,БЕЛАЗ-7540А_E01_01,,29.02.2004,,01.12.2022,,,,,000010759,111301,Парки БА,Транспорт,Основной,СЭБТ - Белазы
1100,1105,"АО ""Полюс Красноярск""",100000055510,E01_01,Самосвалы карьерные,73,Самосвалы Komatsu HD785-5,O,Самосвал карьерный HD785-5 №219,100,11-RUD-CGTR-SEBT-KH02,Самосвал карьерный №219,1113012020,4453,960000003,HD785-5_E01_01,,24.06.2004,,01.12.2022,,,,,000011403,111301,Парки БА,Транспорт,Основной,СЭБТ - Коматсу141тн
1100,1105,"АО ""Полюс Красноярск""",100000055509,E01_01,Самосвалы карьерные,73,Самосвалы Komatsu HD785-5,O,Самосвал карьерный HD785-5 №218,100,11-RUD-CGTR-SEBT-KH01,Самосвал карьерный №218,1113012020,4452,960000003,HD785-5_E01_01,,24.06.2004,,01.12.2022,,,,,000011404,111301,Парки БА,Транспорт,Основной,СЭБТ - Коматсу141тн
1100,1105,"АО ""Полюс Красноярск""",100000065577,E01_01,Самосвалы карьерные,61,Самосвалы БелАЗ-7540,O,Самосвал карьерный БЕЛАЗ-7540А №52,100,11-RUD-CGTR-SEBT-BE07,Самосвал карьерный №52,1113011520,Y3B7540A50022542,960003984,БЕЛАЗ-7540А_E01_01,,01.06.2005,01.03.2022,,,,,,000014281,111301,Парки БА,Транспорт,Основной,СЭБТ - Белазы
