,Название ЕО,ЕО,Название ВРТ,ВидЗаказа,Заказ,КраткийТекст заказа,СистСтатус,ПользСтатус,ПланДатаНачала,НовДатаНачала,eo_main_class_description,level_1_description,Вышестоящее техместо,Комментарий,comment_category,calc
34,Экскаватор PC1250-8 №1204,100000068233,Техническое обслуживание 4,APP1,1100363595,ТО-4 Экскаватор РС1250-8 СЛ,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-01-09,2022-10-05,Экскаваторы гидравли,Полюс Вернинское,Экскаваторы,нет комментария,нет комментария,1
35,Экскаватор PC1250-8 №1204,100000068233,Текущий ремонт,APP1,1100363597,ТР Экскаватор РС1250-8 СЛ,ДЕБЛ ПЕЧТ ПКАЛ ПРВВ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ СРОЧ МТРЦ ТКБЕ СГГС,2022-01-09,2022-02-28,Экскаваторы гидравли,Полюс Вернинское,Экскаваторы,нет комментария,нет комментария,1
36,Самосвал карьерный HD785-7 №1615,100000008672,Замена,APP1,1100359715,Замена колеса,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-01-10,2022-06-19,Самосвалы карьерные,Полюс Вернинское,Самосвалы Komatsu HD785-7,нет комментария,нет комментария,1
43,Самосвал карьерный HD785-7 №1614,100000008671,Текущий ремонт,APP1,1100360894,ТР гидросистемы,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  ГИП  СГГС,2022-01-11,2022-03-06,Самосвалы карьерные,Полюс Вернинское,Самосвалы Komatsu HD785-7,нет комментария,нет комментария,1
44,Самосвал карьерный HD785-7 №1614,100000008671,Текущий ремонт,APP1,1100359820,ТР трансмиссии,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  ПТОМ ПЗТГ СГГС,2022-01-11,2022-02-24,Самосвалы карьерные,Полюс Вернинское,Самосвалы Komatsu HD785-7,Корректировка ремонтной программы,Корректировка ремонтной программы,1
45,Самосвал карьерный HD785-7 №1614,100000008671,Техническое обслуживание 4,APP1,1100359810,Техническое обслуживание 4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-01-11,2022-03-22,Самосвалы карьерные,Полюс Вернинское,Самосвалы Komatsu HD785-7,нет комментария,нет комментария,1
47,Самосвал карьерный HD1500-8 №1630,100000071921,Техническое обслуживание 2,APP1,1100364236,Техническое обслуживание 2,НЕВЫ ПКАЛ ЗАКР МТКУ ДМНП,ГОД  УТВГ УТВП МЕС  ГИП  СРОЧ МТРЦ ТКБЕ ССПЛ,2022-01-12,2022-02-12,Самосвалы карьерные,Полюс Вернинское,Самосвалы Komatsu HD1500-8,Корректировка ремонтной программы,Корректировка ремонтной программы,1
48,Самосвал карьерный БЕЛАЗ-7547 №2441,100000068227,Техническое обслуживание 4,APP1,1100368838,ТО-4 БелАЗ 7547 №1 СЛ,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ МТРЦ ТКБЕ ПЗТГ СГГС,2022-01-12,2022-02-25,Самосвалы карьерные,Полюс Вернинское,Самосвалы БелАЗ-7547,Корректировка ремонтной программы,Корректировка ремонтной программы,1
49,Самосвал карьерный БЕЛАЗ-7547 №2441,100000068227,Текущий ремонт,APP1,1100368956,ТР электрооборудования БелАЗ 7547 №1,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  ПТОМ ПЗТГ СГГС,2022-01-12,2022-02-15,Самосвалы карьерные,Полюс Вернинское,Самосвалы БелАЗ-7547,Корректировка ремонтной программы,Корректировка ремонтной программы,1
50,Самосвал карьерный БЕЛАЗ-7547 №2441,100000068227,Текущий ремонт,APP1,1100368844,ТР БелАЗ 7547 №1 СЛ,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  ПТОМ ПЗТГ СГГС,2022-01-12,2022-02-25,Самосвалы карьерные,Полюс Вернинское,Самосвалы БелАЗ-7547,Корректировка ремонтной программы,Корректировка ремонтной программы,1
