Подсчёт,Операция,Позиция ОК,ТехнМесто,Название ТехнМеста,УрИерархЕО,ВышестЕО,НазваниеВышестЕО,КлассВышестЕО,НаимКлассВышестЕО,ЕО,Название ЕО,ПланПредупрТОРО,ТекстПланаПредупрТОРО,ПозПредупрТОРО,ПозицияПредупредительного ТОРО (описание,№ отзыва,ВидРаботТОРО,Название ВРТ,СтратегияОбсл,ТипТК,ГруппаТК,СГрТК,ОписаниеТК,Приоритет,ТипЗаказа,ВидЗаказа,Заказ,КраткийТекст заказа,СистСтатус,ПользСтатус,ПланДатаНачала,ПланДатаНачала (Время),ПланДатаОкончания,ПланДатаОкончания (Время),НовДатаНачала,НовДатаНачала (Время),НовДатаОкончания,НоваяДатаОкончания (Время),ФактНачало,ФактНачало (время),ФактОкончание,ФактОкончание (время),ПредлСистСтат,Создал,ДатаСозд,Изменил,ДатаИзм,ПрогнознНаработка,Трудоёмкость,Продолжительность,Фактическая трудоёмкость,ПлСтоимость,ФктСтоимость,Кол-во пересогласований заказа,Индикатор планирования,СостПрУст,Время ремонтного простоя,Время технологического простоя,Общее время простоя (Зкз) - План,Общее время простоя (Зкз) - Факт,СПП-элемент,СПП-элемент(КрТекст),НеСоглТК,НеКорТК,Срок<ВвВЭкспл,Срок>ВывИзЭкспл,Срок=ТПиР,Консервация,Срочная потребность
1,,Нет,03-KON-OBSL-OB02, БелАЗ-7547 №2441,1,100000068227,,,,100000068227,Самосвал карьерный БЕЛАЗ-7547 №2441,100000060161,БелАЗ 7547 №1 СЛ,161546,ТО-1 БелАЗ 7547 №1 СЛ,66,ТО1,Техническое обслуживание 1,2-0175,A,M0003986,О1,(ТО1) БелАЗ 7451 СЛ,3-средний,30,APP1,1100368786,ТО-1 БелАЗ 7547 №1 СЛ,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ МТРЦ ТКБЕ ПЗТГ СГГС,2/18/2022,9:00:00 AM,2/18/2022,3:00:00 PM,2/15/2022,9:00:00 AM,2/15/2022,3:00:00 PM,,12:00:00 AM,,12:00:00 AM,,AZAROVAV,2/10/2021,TSYDENOVSL,1/27/2022,7 722,"12,0","6,0","0,0","53 314,82","0,00",1,1,,"6,00","0,00","6,00","0,00",LT-1200-2022-4-024-02,Прочие (Мех OPEX),,,,,,,
1,,Нет,03-KON-OBSL-OB02, БелАЗ-7547 №2441,1,100000068227,,,,100000068227,Самосвал карьерный БЕЛАЗ-7547 №2441,100000060161,БелАЗ 7547 №1 СЛ,161548,ТО-3 БелАЗ 7547 №1 СЛ,67,ТО3,Техническое обслуживание 3,2-0175,A,M0003986,О3,,3-средний,30,APP1,1100368830,ТО-3 БелАЗ 7547 №1 СЛ,ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПРНТ МТРЦ ТКБЕ СГГС,3/2/2022,9:00:00 AM,3/2/2022,9:00:00 PM,1/22/2022,7:00:00 AM,1/22/2022,7:00:00 PM,1/22/2022,6:23:15 AM,1/22/2022,8:59:02 PM,,AZAROVAV,2/10/2021,PROSTIBOZHOS,2/1/2022,7 968,"24,0","12,0","24,0","136 094,73","119 452,50",1,1,,"12,00","0,00","12,00","14,60",LT-1200-2022-4-024-02,Прочие (Мех OPEX),,,,,,,
1,,Нет,03-KON-OBSL-OB02, БелАЗ-7547 №2441,1,100000068227,,,,100000068227,Самосвал карьерный БЕЛАЗ-7547 №2441,100000060161,БелАЗ 7547 №1 СЛ,161546,ТО-1 БелАЗ 7547 №1 СЛ,68,ТО1,Техническое обслуживание 1,2-0175,A,M0003986,О1,(ТО1) БелАЗ 7451 СЛ,3-средний,30,APP1,1100368789,ТО-1 БелАЗ 7547 №1 СЛ,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,3/14/2022,9:00:00 AM,3/14/2022,3:00:00 PM,3/14/2022,9:00:00 AM,3/14/2022,3:00:00 PM,,12:00:00 AM,,12:00:00 AM,,AZAROVAV,2/10/2021,AZAROVAV,12/9/2021,8 215,"12,0","6,0","0,0","53 314,82","0,00",1,1,,"6,00","0,00","6,00","0,00",LT-1200-2022-4-024-02,Прочие (Мех OPEX),,,,,,,
1,,Нет,03-KON-OBSL-OB02, БелАЗ-7547 №2441,1,100000068227,,,,100000068227,Самосвал карьерный БЕЛАЗ-7547 №2441,100000060161,БелАЗ 7547 №1 СЛ,161547,ТО-2 БелАЗ 7547 №1 СЛ,69,ТО2,Техническое обслуживание 2,2-0175,A,M0003986,О2,,3-средний,30,APP1,1100368817,ТО-2 БелАЗ 7547 №1 СЛ,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,3/26/2022,9:00:00 AM,3/26/2022,5:00:00 PM,3/26/2022,9:00:00 AM,3/26/2022,5:00:00 PM,,12:00:00 AM,,12:00:00 AM,,AZAROVAV,2/10/2021,AZAROVAV,12/9/2021,8 462,"16,0","8,0","0,0","74 468,07","0,00",1,1,,"8,00","0,00","8,00","0,00",LT-1200-2022-4-024-02,Прочие (Мех OPEX),,,,,,,
1,,Нет,03-KON-OBSL-OB02, БелАЗ-7547 №2441,1,100000068227,,,,100000068227,Самосвал карьерный БЕЛАЗ-7547 №2441,100000060161,БелАЗ 7547 №1 СЛ,161546,ТО-1 БелАЗ 7547 №1 СЛ,70,ТО1,Техническое обслуживание 1,2-0175,A,M0003986,О1,(ТО1) БелАЗ 7451 СЛ,3-средний,30,APP1,1100368791,ТО-1 БелАЗ 7547 №1 СЛ,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,4/8/2022,9:00:00 AM,4/8/2022,3:00:00 PM,4/8/2022,9:00:00 AM,4/8/2022,3:00:00 PM,,12:00:00 AM,,12:00:00 AM,,AZAROVAV,2/10/2021,AZAROVAV,12/9/2021,8 729,"12,0","6,0","0,0","53 314,82","0,00",1,1,,"6,00","0,00","6,00","0,00",LT-1200-2022-4-024-02,Прочие (Мех OPEX),,,,,,,
1,,Нет,03-KON-OBSL-OB02, БелАЗ-7547 №2441,1,100000068227,,,,100000068227,Самосвал карьерный БЕЛАЗ-7547 №2441,100000060161,БелАЗ 7547 №1 СЛ,162330,ТО-4 БелАЗ 7547 №1 СЛ,71,ТО4,Техническое обслуживание 4,2-0175,A,M0003986,О4,,3-средний,30,APP1,1100368840,ТО-4 БелАЗ 7547 №1 СЛ,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,4/20/2022,9:00:00 AM,4/21/2022,9:00:00 AM,4/20/2022,9:00:00 AM,4/21/2022,9:00:00 AM,,12:00:00 AM,,12:00:00 AM,,AZAROVAV,2/10/2021,BOKOVIKOVVO,1/11/2022,8 975,"48,0","24,0","0,0","186 991,45","0,00",1,1,,"24,00","0,00","24,00","0,00",LT-1200-2022-4-024-02,Прочие (Мех OPEX),,,,,,,
1,,Нет,03-KON-OBSL-OB02, БелАЗ-7547 №2441,1,100000068227,,,,100000068227,Самосвал карьерный БЕЛАЗ-7547 №2441,100000060161,БелАЗ 7547 №1 СЛ,161546,ТО-1 БелАЗ 7547 №1 СЛ,72,ТО1,Техническое обслуживание 1,2-0175,A,M0003986,О1,(ТО1) БелАЗ 7451 СЛ,3-средний,30,APP1,1100368793,ТО-1 БелАЗ 7547 №1 СЛ,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,5/2/2022,9:00:00 AM,5/2/2022,3:00:00 PM,5/2/2022,9:00:00 AM,5/2/2022,3:00:00 PM,,12:00:00 AM,,12:00:00 AM,,AZAROVAV,2/10/2021,AZAROVAV,12/9/2021,9 222,"12,0","6,0","0,0","53 314,82","0,00",1,1,,"6,00","0,00","6,00","0,00",LT-1200-2022-4-024-02,Прочие (Мех OPEX),,,,,,,
1,,Нет,03-KON-OBSL-OB02, БелАЗ-7547 №2441,1,100000068227,,,,100000068227,Самосвал карьерный БЕЛАЗ-7547 №2441,100000060161,БелАЗ 7547 №1 СЛ,161547,ТО-2 БелАЗ 7547 №1 СЛ,73,ТО2,Техническое обслуживание 2,2-0175,A,M0003986,О2,,3-средний,30,APP1,1100368819,ТО-2 БелАЗ 7547 №1 СЛ,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,5/14/2022,9:00:00 AM,5/14/2022,5:00:00 PM,5/14/2022,9:00:00 AM,5/14/2022,5:00:00 PM,,12:00:00 AM,,12:00:00 AM,,AZAROVAV,2/10/2021,BOKOVIKOVVO,1/11/2022,9 468,"16,0","8,0","0,0","73 829,91","0,00",1,1,,"8,00","0,00","8,00","0,00",LT-1200-2022-4-024-02,Прочие (Мех OPEX),,,,,,,
1,,Нет,03-KON-OBSL-OB02, БелАЗ-7547 №2441,1,100000068227,,,,100000068227,Самосвал карьерный БЕЛАЗ-7547 №2441,100000060161,БелАЗ 7547 №1 СЛ,161546,ТО-1 БелАЗ 7547 №1 СЛ,74,ТО1,Техническое обслуживание 1,2-0175,A,M0003986,О1,(ТО1) БелАЗ 7451 СЛ,3-средний,30,APP1,1100368795,ТО-1 БелАЗ 7547 №1 СЛ,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,5/26/2022,9:00:00 AM,5/26/2022,3:00:00 PM,5/26/2022,9:00:00 AM,5/26/2022,3:00:00 PM,,12:00:00 AM,,12:00:00 AM,,AZAROVAV,2/10/2021,AZAROVAV,12/9/2021,9 715,"12,0","6,0","0,0","53 314,82","0,00",1,1,,"6,00","0,00","6,00","0,00",LT-1200-2022-4-024-02,Прочие (Мех OPEX),,,,,,,
1,,Нет,03-KON-OBSL-OB02, БелАЗ-7547 №2441,1,100000068227,,,,100000068227,Самосвал карьерный БЕЛАЗ-7547 №2441,100000060161,БелАЗ 7547 №1 СЛ,161548,ТО-3 БелАЗ 7547 №1 СЛ,75,ТО3,Техническое обслуживание 3,2-0175,A,M0003986,О3,,3-средний,30,APP1,1100368832,ТО-3 БелАЗ 7547 №1 СЛ,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,6/7/2022,9:00:00 AM,6/7/2022,9:00:00 PM,6/7/2022,9:00:00 AM,6/7/2022,9:00:00 PM,,12:00:00 AM,,12:00:00 AM,,AZAROVAV,2/10/2021,GABIDULINRR,1/30/2022,9 962,"24,0","12,0","0,0","132 219,57","0,00",1,1,,"12,00","0,00","12,00","0,00",LT-1200-2022-4-024-02,Прочие (Мех OPEX),,,,,,,
