Вид заказа,Вид заказа Описание
QL01,Затраты на КонтрлКачества - ГруппвРасчет
QL02,Затраты на КонтрлКачества - РасчетПоОтдл
QM01,QM: Инструкция по взятию проб
QM02,QM-инструкция: проведение КонтрКачества
QM03,QM: этикетка пробы
QN01,Затраты на дефекты
RM01,Коллектор затрат на продукт
RM02,
RM03,
SAPF,
SAPS,
SC99,Статист. заказы для COVID в составе УСО
SD01,Календарное планирование отгрузки
SN10,Статист. заказы для непроизв (БЕ 1000)
SN11,Статист. заказы для непроизв (БЕ 1100)
SN12,Статист. заказы для непроизв (БЕ 1200)
SN14,Статист. заказы для непроизв (БЕ 1400)
SN15,Статист. заказы для непроизв (БЕ 1500)
SO10,"Статист. заказы для ОТ, ПБ и Э (БЕ 1000)"
SO11,"Статист. заказы для ОТ, ПБ и Э (БЕ 1100)"
SO12,"Статист. заказы для ОТ, ПБ и Э (БЕ 1200)"
SO14,"Статист. заказы для ОТ, ПБ и Э (БЕ 1400)"
SO15,"Статист. заказы для ОТ, ПБ и Э (БЕ 1500)"
T000,Технический заказ
US00,Оказание транспортных услуг
US01,Оказание энергетических услуг
US03,Оказание прочих услуг без НЗП
VBR1,Всп.пр-во. Бурение
VDR1,Всп.пр-во. Дробление
VEX1,Всп.пр-во. Экскавация
VPR1,Всп.пр-во. Прочее
VSD1,Всп.пр-во. Добычное
VST1,Всп.пр-во. Сортировка
VTR1,Всп.пр-во. Транспортировка
VVZ1,Всп.пр-во. Взрывание
VZR1,Всп.пр-во. Заряжание
ZKFK,Корректировки по флотоконцентрату
ZP01,Вспом.производство ЦРММ ТОРО
ZP02,Вспом.производство ЦРММ Прочее
ZUNT,Смена ОЗМ
