year,month,calendar_fond,downtime,eto,to250,tr1,to500,to1000,to1500,lining_partitial,to2000,to2500,to4000,to5000,to8000,lining_full,tr2,overhaul_total,tr3,eo_code,level_1,eo_model_name,eo_model_id,eo_description,teh_mesto,mvz,constr_type,avearage_day_operation_hours_updated,operation_start_date,avearage_day_operation_hours,operation_finish_date,eo_main_class_description
2024,5,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",sl_730_1,first06,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №1 (для расчета),05-KAR-UTTR-K817,no_data,960003680,"20,37",2024-09-01,"20,37",2034-09-01,Самосвалы карьерные
2024,6,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",sl_730_1,first06,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №1 (для расчета),05-KAR-UTTR-K817,no_data,960003680,"20,37",2024-09-01,"20,37",2034-09-01,Самосвалы карьерные
2024,7,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",sl_730_1,first06,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №1 (для расчета),05-KAR-UTTR-K817,no_data,960003680,"20,37",2024-09-01,"20,37",2034-09-01,Самосвалы карьерные
2024,8,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",sl_730_1,first06,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №1 (для расчета),05-KAR-UTTR-K817,no_data,960003680,"20,37",2024-09-01,"20,37",2034-09-01,Самосвалы карьерные
2024,9,720,"49,14","19,8","1,0","20,0","11,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",sl_730_1,first06,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №1 (для расчета),05-KAR-UTTR-K817,no_data,960003680,"20,37",2024-09-01,"20,37",2034-09-01,Самосвалы карьерные
2024,10,744,"53,800000000000004","20,46","2,0","20,0","0,0","12,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",sl_730_1,first06,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №1 (для расчета),05-KAR-UTTR-K817,no_data,960003680,"20,37",2024-09-01,"20,37",2034-09-01,Самосвалы карьерные
2024,11,720,"63,480000000000004","19,8","2,0","30,0","0,0","0,0","13,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",sl_730_1,first06,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №1 (для расчета),05-KAR-UTTR-K817,no_data,960003680,"20,37",2024-09-01,"20,37",2034-09-01,Самосвалы карьерные
2024,12,744,"56,800000000000004","20,46","1,0","20,0","0,0","0,0","0,0","12,0","14,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",sl_730_1,first06,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №1 (для расчета),05-KAR-UTTR-K817,no_data,960003680,"20,37",2024-09-01,"20,37",2034-09-01,Самосвалы карьерные
2025,1,744,"92,14","20,46","1,0","30,0","0,0","12,0","13,0","0,0","0,0","19,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",sl_730_1,first06,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №1 (для расчета),05-KAR-UTTR-K817,no_data,960003680,"20,37",2024-09-01,"20,37",2034-09-01,Самосвалы карьерные
2025,2,672,"49,160000000000004","18,48","1,0","20,0","11,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",sl_730_1,first06,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №1 (для расчета),05-KAR-UTTR-K817,no_data,960003680,"20,37",2024-09-01,"20,37",2034-09-01,Самосвалы карьерные
2025,3,744,"61,800000000000004","20,46","2,0","20,0","0,0","0,0","0,0","12,0","0,0","0,0","20,0","0,0","0,0","0,0","0,0","0,0","0,0",sl_730_1,first06,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №1 (для расчета),05-KAR-UTTR-K817,no_data,960003680,"20,37",2024-09-01,"20,37",2034-09-01,Самосвалы карьерные
