код стратегии,Название стратерии,Текст цикла ПредупрТОРО,КраткНазвЦикла,Сцепка,Цикл,Единица,код стратегии_счетчик
1-0137,ЧАС ТО720-Т12160-Т24320-Т3-Т4,Текущий ремонт 4,Т4,1-0137Т4,"17280,00",ЧАС,1-0137Т4
1-0138,ЧАС Summit Valley5MT362E2B,Техническое обслуживание,ТО,1-0138ТО,"2160,00",ЧАС,1-0138ТО
1-0138,ЧАС Summit Valley5MT362E2B,Текущий ремонт 1,Т1,1-0138Т1,"4320,00",ЧАС,1-0138Т1
1-0138,ЧАС Summit Valley5MT362E2B,Текущий ремонт 2,Т2,1-0138Т2,"8640,00",ЧАС,1-0138Т2
1-0138,ЧАС Summit Valley5MT362E2B,Текущий ремонт 3,Т3,1-0138Т3,"34560,00",ЧАС,1-0138Т3
1-0138,ЧАС Summit Valley5MT362E2B,Капитальный ремонт,КР,1-0138КР,"69120,00",ЧАС,1-0138КР
1-0139,ЧАС ТО2160-ТР4320,Техническое обслуживание,ТО,1-0139ТО,"2160,00",ЧАС,1-0139ТО
1-0139,ЧАС ТО2160-ТР4320,Текущий ремонт,ТР,1-0139ТР,"4320,00",ЧАС,1-0139ТР
1-0140,ЧАС ТО720-Т11440-Т28640,Техническое обслуживание,ТО,1-0140ТО,"720,00",ЧАС,1-0140ТО
1-0140,ЧАС ТО720-Т11440-Т28640,Текущий ремонт 1,Т1,1-0140Т1,"1440,00",ЧАС,1-0140Т1
1-0140,ЧАС ТО720-Т11440-Т28640,Текущий ремонт 2,Т2,1-0140Т2,"8640,00",ЧАС,1-0140Т2
1-0141,ЧАС ТО1440-ТР8640,Техническое обслуживание,ТО,1-0141ТО,"1440,00",ЧАС,1-0141ТО
1-0141,ЧАС ТО1440-ТР8640,Текущий ремонт,ТР,1-0141ТР,"8640,00",ЧАС,1-0141ТР
1-0142,ЧАС ТО1080-Т12160-Т28640,Техническое обслуживание,ТО,1-0142ТО,"1080,00",ЧАС,1-0142ТО
1-0142,ЧАС ТО1080-Т12160-Т28640,Текущий ремонт 1,Т1,1-0142Т1,"2160,00",ЧАС,1-0142Т1
1-0142,ЧАС ТО1080-Т12160-Т28640,Текущий ремонт 2,Т2,1-0142Т2,"8640,00",ЧАС,1-0142Т2
1-0143,ЧАС ТО2160-Т14320-Т2-Т317280,Техническое обслуживание,ТО,1-0143ТО,"2160,00",ЧАС,1-0143ТО
1-0143,ЧАС ТО2160-Т14320-Т2-Т317280,Текущий ремонт 1,Т1,1-0143Т1,"4320,00",ЧАС,1-0143Т1
1-0143,ЧАС ТО2160-Т14320-Т2-Т317280,Текущий ремонт 2,Т2,1-0143Т2,"8640,00",ЧАС,1-0143Т2
1-0143,ЧАС ТО2160-Т14320-Т2-Т317280,Текущий ремонт 3,Т3,1-0143Т3,"17280,00",ЧАС,1-0143Т3
1-0144,ЧАС ТО360-Т14320-Т28640,Техническое обслуживание,ТО,1-0144ТО,"360,00",ЧАС,1-0144ТО
1-0144,ЧАС ТО360-Т14320-Т28640,Текущий ремонт 1,Т1,1-0144Т1,"4320,00",ЧАС,1-0144Т1
1-0144,ЧАС ТО360-Т14320-Т28640,Текущий ремонт 2,Т2,1-0144Т2,"8640,00",ЧАС,1-0144Т2
1-0145,ЧАС ТО720-Т12160-Т28640,Техническое обслуживание,ТО,1-0145ТО,"720,00",ЧАС,1-0145ТО
1-0145,ЧАС ТО720-Т12160-Т28640,Текущий ремонт 1,Т1,1-0145Т1,"2160,00",ЧАС,1-0145Т1
1-0145,ЧАС ТО720-Т12160-Т28640,Текущий ремонт 2,Т2,1-0145Т2,"8640,00",ЧАС,1-0145Т2
1-0146,ЧАС ТО360-Т12160-Т24320,Техническое обслуживание,ТО,1-0146ТО,"360,00",ЧАС,1-0146ТО
1-0146,ЧАС ТО360-Т12160-Т24320,Текущий ремонт 1,Т1,1-0146Т1,"2160,00",ЧАС,1-0146Т1
1-0146,ЧАС ТО360-Т12160-Т24320,Текущий ремонт 2,Т2,1-0146Т2,"4320,00",ЧАС,1-0146Т2
1-0147,ЧАС О1168-О2720,Техническое обслуживание 1,О1,1-0147О1,"168,00",ЧАС,1-0147О1
1-0147,ЧАС О1168-О2720,Техническое обслуживание 2,О2,1-0147О2,"720,00",ЧАС,1-0147О2
1-0148,ЧАС Т14320-Т28760,Текущий ремонт 1,Т1,1-0148Т1,"4320,00",ЧАС,1-0148Т1
1-0148,ЧАС Т14320-Т28760,Текущий ремонт 2,Т2,1-0148Т2,"8760,00",ЧАС,1-0148Т2
1-0149,ЧАС ТО720-Т14320-Т217280,Техническое обслуживание,ТО,1-0149ТО,"720,00",ЧАС,1-0149ТО
1-0149,ЧАС ТО720-Т14320-Т217280,Текущий ремонт 1,Т1,1-0149Т1,"4320,00",ЧАС,1-0149Т1
1-0149,ЧАС ТО720-Т14320-Т217280,Текущий ремонт 2,Т2,1-0149Т2,"17280,00",ЧАС,1-0149Т2
1-0150,ЧАС ТО360-Т12160-Т28640,Техническое обслуживание,ТО,1-0150ТО,"360,00",ЧАС,1-0150ТО
1-0150,ЧАС ТО360-Т12160-Т28640,Текущий ремонт 1,Т1,1-0150Т1,"2160,00",ЧАС,1-0150Т1
1-0150,ЧАС ТО360-Т12160-Т28640,Текущий ремонт 2,Т2,1-0150Т2,"8640,00",ЧАС,1-0150Т2
1-0151,ЧАС ТО1440-Т14320-Т28640-Т3-Т4,Техническое обслуживание,ТО,1-0151ТО,"1440,00",ЧАС,1-0151ТО
1-0151,ЧАС ТО1440-Т14320-Т28640-Т3-Т4,Текущий ремонт 1,Т1,1-0151Т1,"4320,00",ЧАС,1-0151Т1
1-0151,ЧАС ТО1440-Т14320-Т28640-Т3-Т4,Текущий ремонт 2,Т2,1-0151Т2,"8640,00",ЧАС,1-0151Т2
1-0151,ЧАС ТО1440-Т14320-Т28640-Т3-Т4,Текущий ремонт 3,Т3,1-0151Т3,"17280,00",ЧАС,1-0151Т3
1-0151,ЧАС ТО1440-Т14320-Т28640-Т3-Т4,Текущий ремонт 4,Т4,1-0151Т4,"34560,00",ЧАС,1-0151Т4
1-0152,ЧАС ТО2160-Т14320-Т2-Т334560,Техническое обслуживание,ТО,1-0152ТО,"2160,00",ЧАС,1-0152ТО
