Год,Месяц,БЕ,Класс ЕО,Модель ЕО,count,month_year
2020,2,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,69,2_2020
2020,2,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,44,2_2020
2020,2,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,2_2020
2020,2,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,2_2020
2020,3,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,69,3_2020
2020,3,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,44,3_2020
2020,3,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,3_2020
2020,3,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,3_2020
2020,4,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,69,4_2020
2020,4,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,44,4_2020
2020,4,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,4_2020
2020,4,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,4_2020
2020,5,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,69,5_2020
2020,5,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,44,5_2020
2020,5,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,5_2020
2020,5,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,5_2020
2020,6,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,69,6_2020
2020,6,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,44,6_2020
2020,6,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,6_2020
2020,6,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,6_2020
2020,7,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,69,7_2020
2020,7,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,44,7_2020
2020,7,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,7_2020
2020,7,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,7_2020
2020,8,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,69,8_2020
2020,8,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,44,8_2020
2020,8,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,8_2020
2020,8,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,8_2020
2020,9,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,69,9_2020
2020,9,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,44,9_2020
2020,9,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,9_2020
2020,9,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,9_2020
2020,10,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,69,10_2020
2020,10,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,49,10_2020
2020,10,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,10_2020
2020,10,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,10_2020
2020,11,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,69,11_2020
2020,11,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,53,11_2020
2020,11,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,11_2020
2020,11,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,11_2020
2020,12,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,69,12_2020
2020,12,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,57,12_2020
2020,12,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,12_2020
2020,12,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,12_2020
2021,1,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,69,1_2021
2021,1,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,58,1_2021
2021,1,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,1_2021
2021,1,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,1_2021
2021,2,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,69,2_2021
2021,2,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,60,2_2021
2021,2,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,2_2021
2021,2,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,2_2021
2021,3,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,69,3_2021
2021,3,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,60,3_2021
2021,3,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,3_2021
2021,3,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,3_2021
2021,4,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,69,4_2021
2021,4,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,60,4_2021
2021,4,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,4_2021
2021,4,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,4_2021
2021,5,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,69,5_2021
2021,5,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,64,5_2021
2021,5,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,5_2021
2021,5,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,5_2021
2021,6,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,69,6_2021
2021,6,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,64,6_2021
2021,6,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,6_2021
2021,6,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,6_2021
2021,7,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,70,7_2021
2021,7,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,66,7_2021
2021,7,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,7_2021
2021,7,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,7_2021
2021,8,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,70,8_2021
2021,8,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,70,8_2021
2021,8,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,8_2021
2021,8,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,8_2021
2021,9,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,70,9_2021
2021,9,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,74,9_2021
2021,9,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,9_2021
2021,9,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,9_2021
2021,10,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,70,10_2021
2021,10,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,77,10_2021
2021,10,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,10_2021
2021,10,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,10_2021
2021,11,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,70,11_2021
2021,11,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,78,11_2021
2021,11,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,11_2021
2021,11,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,11_2021
2021,12,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,70,12_2021
2021,12,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,79,12_2021
2021,12,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,12_2021
2021,12,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,12_2021
2022,1,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,70,1_2022
2022,1,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,79,1_2022
2022,1,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,1_2022
2022,1,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,1_2022
2022,2,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,70,2_2022
2022,2,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,79,2_2022
2022,2,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,2_2022
2022,2,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,2_2022
2022,3,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,70,3_2022
2022,3,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,79,3_2022
2022,3,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,3_2022
2022,3,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,3_2022
2022,4,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,70,4_2022
2022,4,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,79,4_2022
2022,4,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,4_2022
2022,4,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,4_2022
2022,5,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,70,5_2022
2022,5,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,79,5_2022
2022,5,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,5_2022
2022,5,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,5_2022
2022,6,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,70,6_2022
2022,6,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,79,6_2022
