eo,year,month,calendar_fond,downtime_status
100000062379,2021,11,720,"58,480000000000004"
100000062379,2021,12,744,"78,48"
100000062379,2022,1,744,"79,14"
100000062379,2022,2,672,"57,160000000000004"
100000062379,2022,3,744,"78,48"
100000062379,2022,4,720,"58,480000000000004"
100000062379,2022,5,744,"78,48"
100000062379,2022,6,720,"79,14"
100000062379,2022,7,744,"59,14"
100000062379,2022,8,744,"78,48"
100000062379,2022,9,720,"77,82000000000001"
100000062379,2022,10,744,"274,86"
100000062379,2022,11,720,"388,24"
100000062379,2022,12,744,"76,48"
100000062379,2023,1,744,"61,14"
100000065514,2017,11,719,"33,8"
100000065514,2017,12,744,"41,46"
100000065514,2018,1,744,"43,46"
100000065514,2018,2,672,"32,480000000000004"
100000065514,2018,3,744,"41,46"
100000065514,2018,4,720,"49,14"
100000065514,2018,5,744,"41,46"
100000065514,2018,6,720,"33,800000000000004"
100000065514,2018,7,744,"44,46"
100000065514,2018,8,744,"41,46"
100000065514,2018,9,720,"40,800000000000004"
100000065514,2018,10,744,"49,800000000000004"
100000065514,2018,11,720,"33,800000000000004"
100000065514,2018,12,744,"40,14"
100000065514,2019,1,744,"302,54"
100000065514,2019,2,672,"32,480000000000004"
100000065514,2019,3,744,"46,46"
100000065514,2019,4,720,"59,480000000000004"
100000065514,2019,5,744,"55,14"
100000065514,2019,6,720,"43,14"
100000065514,2019,7,744,"55,14"
100000065514,2019,8,744,"55,800000000000004"
100000065514,2019,9,720,"54,480000000000004"
100000065514,2019,10,744,"47,8"
100000065514,2019,11,720,"55,14"
100000065514,2019,12,744,"55,14"
100000065514,2020,1,744,"46,46"
100000065514,2020,2,696,"51,160000000000004"
100000065514,2020,3,744,"55,800000000000004"
100000065514,2020,4,720,"303,22"
100000065514,2020,5,744,"343,22"
100000065514,2020,6,720,"55,14"
100000065514,2020,7,744,"54,480000000000004"
100000065514,2020,8,744,"47,46"
100000065514,2020,9,720,"63,480000000000004"
100000065514,2020,10,744,"64,14"
100000065514,2020,11,720,"51,14"
100000065514,2020,12,744,"64,14"
100000065514,2021,1,744,"64,14"
100000065514,2021,2,672,"47,160000000000004"
100000065514,2021,3,744,"64,14"
100000065514,2021,4,720,"63,480000000000004"
100000065514,2021,5,744,"50,800000000000004"
100000065514,2021,6,720,"63,480000000000004"
100000065514,2021,7,744,"64,14"
100000065514,2021,8,744,"301,54"
100000065514,2021,9,720,"57,480000000000004"
100000065514,2021,10,744,"64,14"
100000065514,2021,11,720,"62,480000000000004"
100000065514,2021,12,744,"51,14"
100000065514,2022,1,744,"64,14"
100000065514,2022,2,672,"47,82"
100000065514,2022,3,744,"64,14"
100000065514,2022,4,720,"63,480000000000004"
100000065514,2022,5,744,"66,14"
100000065514,2022,6,720,"49,14"
100000065514,2022,7,744,"64,14"
100000065514,2022,8,744,"64,14"
100000065514,2022,9,720,"48,480000000000004"
100000065514,2022,10,744,"64,14"
100000065514,2022,11,720,"362,56"
100000065514,2022,12,744,"291,2"
100000065514,2023,1,744,"64,14"
100000065514,2023,2,672,"55,160000000000004"
100000065514,2023,3,744,"56,14"
100000065514,2023,4,720,"63,480000000000004"
100000065514,2023,5,744,"64,14"
100000065514,2023,6,720,"58,14"
100000065514,2023,7,744,"87,48"
100000065514,2023,8,744,"86,48"
100000065514,2023,9,720,"65,48"
100000065514,2023,10,744,"87,48"
100000065514,2023,11,720,"64,48"
100000065514,2023,12,744,"87,48"
100000065514,2024,1,744,"87,48"
100000065514,2024,2,696,"63,82"
100000065514,2024,3,744,"318,54"
100000065514,2024,4,720,"64,48"
