ЕО,eo_model_id,Дата начала эксплуатации,Дата завершения эксплуатации,БЕ,Класс ЕО,Модель ЕО,Наименование ЕО,count
100000058898,24,2012-05-28,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозер D375A-5 №38,1
100000058918,19,2012-09-17,2023-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер Т-11,Бульдозер Т-11.02ЯБР-1 №15,1
100000058899,24,2013-03-14,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозер D375A-5 №39,1
100000065577,Списание,2005-06-01,2019-06-19,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы БелАЗ-7540,Самосвал карьерный БЕЛАЗ-7540А №52,1
100000065578,Списание,2005-06-01,2019-06-19,Олимпиадинский ГОК,no_data,no_data,Самосвал карьерный БЕЛАЗ-7540А №51,1
100000065579,Списание,2005-07-01,2019-06-19,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы БелАЗ-7540,Самосвал карьерный БЕЛАЗ-7540А №54,1
100000065580,Списание,2005-07-01,2019-06-19,Олимпиадинский ГОК,no_data,no_data,Самосвал карьерный БЕЛАЗ-7540А №53,1
100000058908,21,2012-08-02,2022-09-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D155A-5,Бульдозер D155A-5 №49,1
100000058907,21,2012-08-02,2022-09-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D155A-5,Бульдозер D155A-5 №48,1
100000058902,24,2012-11-02,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозер D375A-5 №44,1
100000059054,24,2017-08-10,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозер D375A-5 №209,1
100000059061,30,2017-12-26,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D85ESS,Бульдозер D85ESS-2A №304,1
100000059058,24,2018-03-17,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозер D375A-5 №3213,1
100000059056,25,2018-04-03,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D475A-5,Бульдозер D475A-5 №3211,1
100000059048,25,2018-04-11,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D475A-5,Бульдозер D475A-5 №3206,1
100000059046,25,2018-04-06,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D475A-5,Бульдозер D475A-5 №3204,1
100000059047,25,2018-04-06,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D475A-5,Бульдозер D475A-5 №3205,1
100000065583,Списание,2006-06-02,2021-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы БелАЗ-7540,Самосвал карьерный БЕЛАЗ-7540А №25,1
100000065584,Списание,2006-06-02,2021-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы БелАЗ-7540,Самосвал карьерный БЕЛАЗ-7540А №22,1
100000059057,25,2018-04-07,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D475A-5,Бульдозер D475A-5 №3212,1
100000059055,25,2018-04-14,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D475A-5,Бульдозер D475A-5 №3210,1
100000059059,24,2018-05-01,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозер D375A-5 №3214,1
