ЕО,Дата начала эксплуатации,first_day_of_month_datetime,Год,Месяц,day,age_in_sec,Дата завершения эксплуатации,БЕ,Класс ЕО,Модель ЕО,Наименование ЕО,prev_year,count
100000065608,2010-12-16,2016-01-01,2016,1,1,159148800.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №503,2015,1
100000065608,2010-12-16,2017-01-01,2017,1,1,190771200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №503,2016,1
100000065608,2010-12-16,2018-01-01,2018,1,1,222307200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №503,2017,1
100000065608,2010-12-16,2019-01-01,2019,1,1,253843200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №503,2018,1
100000065608,2010-12-16,2020-01-01,2020,1,1,285379200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №503,2019,1
100000065608,2010-12-16,2021-01-01,2021,1,1,317001600.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №503,2020,1
100000065608,2010-12-16,2022-01-01,2022,1,1,348537600.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №503,2021,1
100000065608,2010-12-16,2023-01-01,2023,1,1,380073600.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №503,2022,1
100000065609,2010-12-31,2011-01-01,2011,1,1,86400.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №504,2010,1
100000065609,2010-12-31,2012-01-01,2012,1,1,31622400.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №504,2011,1
100000065609,2010-12-31,2013-01-01,2013,1,1,63244800.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №504,2012,1
100000065609,2010-12-31,2014-01-01,2014,1,1,94780800.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №504,2013,1
100000065609,2010-12-31,2015-01-01,2015,1,1,126316800.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №504,2014,1
100000065609,2010-12-31,2016-01-01,2016,1,1,157852800.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №504,2015,1
100000065609,2010-12-31,2017-01-01,2017,1,1,189475200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №504,2016,1
100000065609,2010-12-31,2018-01-01,2018,1,1,221011200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №504,2017,1
100000065609,2010-12-31,2019-01-01,2019,1,1,252547200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №504,2018,1
100000065609,2010-12-31,2020-01-01,2020,1,1,284083200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №504,2019,1
100000065609,2010-12-31,2021-01-01,2021,1,1,315705600.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №504,2020,1
100000065609,2010-12-31,2022-01-01,2022,1,1,347241600.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №504,2021,1
100000065609,2010-12-31,2023-01-01,2023,1,1,378777600.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №504,2022,1
100000065611,2010-12-31,2011-01-01,2011,1,1,86400.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №505,2010,1
100000065611,2010-12-31,2012-01-01,2012,1,1,31622400.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №505,2011,1
100000065611,2010-12-31,2013-01-01,2013,1,1,63244800.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №505,2012,1
100000065611,2010-12-31,2014-01-01,2014,1,1,94780800.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №505,2013,1
100000065611,2010-12-31,2015-01-01,2015,1,1,126316800.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №505,2014,1
100000065611,2010-12-31,2016-01-01,2016,1,1,157852800.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №505,2015,1
100000065611,2010-12-31,2017-01-01,2017,1,1,189475200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №505,2016,1
100000065611,2010-12-31,2018-01-01,2018,1,1,221011200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №505,2017,1
100000065611,2010-12-31,2019-01-01,2019,1,1,252547200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №505,2018,1
100000065611,2010-12-31,2020-01-01,2020,1,1,284083200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №505,2019,1
100000065611,2010-12-31,2021-01-01,2021,1,1,315705600.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №505,2020,1
100000065611,2010-12-31,2022-01-01,2022,1,1,347241600.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №505,2021,1
100000065611,2010-12-31,2023-01-01,2023,1,1,378777600.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №505,2022,1
100000065967,2011-05-20,2012-01-01,2012,1,1,19526400.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №423,2011,1
100000065967,2011-05-20,2013-01-01,2013,1,1,51148800.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №423,2012,1
100000065967,2011-05-20,2014-01-01,2014,1,1,82684800.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №423,2013,1
100000065967,2011-05-20,2015-01-01,2015,1,1,114220800.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №423,2014,1
100000065967,2011-05-20,2016-01-01,2016,1,1,145756800.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №423,2015,1
100000065967,2011-05-20,2017-01-01,2017,1,1,177379200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №423,2016,1
100000065967,2011-05-20,2018-01-01,2018,1,1,208915200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №423,2017,1
100000065967,2011-05-20,2019-01-01,2019,1,1,240451200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №423,2018,1
100000065967,2011-05-20,2020-01-01,2020,1,1,271987200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №423,2019,1
100000065967,2011-05-20,2021-01-01,2021,1,1,303609600.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №423,2020,1
100000065967,2011-05-20,2022-01-01,2022,1,1,335145600.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №423,2021,1
100000065967,2011-05-20,2023-01-01,2023,1,1,366681600.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №423,2022,1
100000065612,2011-01-31,2012-01-01,2012,1,1,28944000.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №506,2011,1
100000065612,2011-01-31,2013-01-01,2013,1,1,60566400.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №506,2012,1
100000065612,2011-01-31,2014-01-01,2014,1,1,92102400.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №506,2013,1
100000065612,2011-01-31,2015-01-01,2015,1,1,123638400.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №506,2014,1
100000065612,2011-01-31,2016-01-01,2016,1,1,155174400.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №506,2015,1
100000065612,2011-01-31,2017-01-01,2017,1,1,186796800.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №506,2016,1
100000065612,2011-01-31,2018-01-01,2018,1,1,218332800.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №506,2017,1
100000065612,2011-01-31,2019-01-01,2019,1,1,249868800.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №506,2018,1
100000065612,2011-01-31,2020-01-01,2020,1,1,281404800.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №506,2019,1
100000065612,2011-01-31,2021-01-01,2021,1,1,313027200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №506,2020,1
100000065612,2011-01-31,2022-01-01,2022,1,1,344563200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №506,2021,1
100000065612,2011-01-31,2023-01-01,2023,1,1,376099200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №506,2022,1
100000065613,2011-01-31,2012-01-01,2012,1,1,28944000.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №507,2011,1
100000065613,2011-01-31,2013-01-01,2013,1,1,60566400.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №507,2012,1
100000065613,2011-01-31,2014-01-01,2014,1,1,92102400.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №507,2013,1
100000065613,2011-01-31,2015-01-01,2015,1,1,123638400.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №507,2014,1
100000065613,2011-01-31,2016-01-01,2016,1,1,155174400.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №507,2015,1
100000065613,2011-01-31,2017-01-01,2017,1,1,186796800.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №507,2016,1
100000065613,2011-01-31,2018-01-01,2018,1,1,218332800.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №507,2017,1
100000065613,2011-01-31,2019-01-01,2019,1,1,249868800.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №507,2018,1
100000065613,2011-01-31,2020-01-01,2020,1,1,281404800.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №507,2019,1
100000065613,2011-01-31,2021-01-01,2021,1,1,313027200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №507,2020,1
100000065613,2011-01-31,2022-01-01,2022,1,1,344563200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №507,2021,1
100000065613,2011-01-31,2023-01-01,2023,1,1,376099200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №507,2022,1
100000065614,2011-02-28,2012-01-01,2012,1,1,26524800.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №508,2011,1
100000065614,2011-02-28,2013-01-01,2013,1,1,58147200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №508,2012,1
100000065614,2011-02-28,2014-01-01,2014,1,1,89683200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №508,2013,1
100000065614,2011-02-28,2015-01-01,2015,1,1,121219200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №508,2014,1
100000065614,2011-02-28,2016-01-01,2016,1,1,152755200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №508,2015,1
100000065614,2011-02-28,2017-01-01,2017,1,1,184377600.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №508,2016,1
100000065614,2011-02-28,2018-01-01,2018,1,1,215913600.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №508,2017,1
100000065614,2011-02-28,2019-01-01,2019,1,1,247449600.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №508,2018,1
100000065614,2011-02-28,2020-01-01,2020,1,1,278985600.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №508,2019,1
100000065614,2011-02-28,2021-01-01,2021,1,1,310608000.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №508,2020,1
100000065614,2011-02-28,2022-01-01,2022,1,1,342144000.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №508,2021,1
100000065614,2011-02-28,2023-01-01,2023,1,1,373680000.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №508,2022,1
100000065615,2011-02-18,2012-01-01,2012,1,1,27388800.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №509,2011,1
100000065615,2011-02-18,2013-01-01,2013,1,1,59011200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №509,2012,1
100000065615,2011-02-18,2014-01-01,2014,1,1,90547200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №509,2013,1
