,level_1_description,eo_class_description,eo_model_name,year,month,eo_code,count
54,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2014,4,100000062379,1
55,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2014,5,100000062379,1
56,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2014,6,100000062379,1
57,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2014,7,100000062379,1
58,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2014,8,100000062379,1
59,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2014,9,100000062379,1
60,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2014,10,100000062379,1
61,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2014,11,100000062379,1
62,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2014,12,100000062379,1
63,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2015,1,100000062379,1
64,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2015,2,100000062379,1
65,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2015,3,100000062379,1
66,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2015,4,100000062379,1
67,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2015,5,100000062379,1
68,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2015,6,100000062379,1
69,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2015,7,100000062379,1
70,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2015,8,100000062379,1
71,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2015,9,100000062379,1
72,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2015,10,100000062379,1
73,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2015,11,100000062379,1
74,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2015,12,100000062379,1
75,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2016,1,100000062379,1
76,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2016,2,100000062379,1
77,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2016,3,100000062379,1
